method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,30,26,0.867,1.0420,1.0303,36.5,22.9,2.606,1.650
hexspline_cl,90,30,26,0.867,1.0435,1.0377,35.3,21.0,2.526,1.499
hexspline_cl,80,30,25,0.833,1.0628,1.0473,34.6,21.7,2.472,1.537
hexspline_cl,70,30,23,0.767,1.1197,1.0996,47.0,26.7,3.350,1.944
hexspline_cl,60,30,15,0.500,1.1129,1.0845,45.0,20.2,3.208,1.453
hexspline_cl,50,30,10,0.333,1.1603,1.1226,65.1,84.5,4.610,6.081
hexspline_cl,40,30,5,0.167,1.1713,1.1619,65.3,79.4,4.668,5.669
hexspline_cl,30,30,3,0.100,1.2623,1.1678,101.6,94.4,7.318,6.678
straight_cont,100,30,8,0.267,0.9182,0.9610,18.8,18.5,1.357,1.351
straight_cont,90,30,6,0.200,0.9505,0.9813,18.7,18.1,1.345,1.306
straight_cont,80,30,4,0.133,0.9298,0.9721,18.0,17.8,1.294,1.294
straight_cont,70,30,2,0.067,0.9728,0.9728,18.1,18.1,1.303,1.303
straight_cont,60,30,2,0.067,0.9729,0.9729,18.0,18.0,1.298,1.298
straight_cont,50,30,2,0.067,0.9744,0.9744,18.0,18.0,1.298,1.298
straight_cont,40,30,2,0.067,0.9748,0.9748,17.2,17.2,1.237,1.237
straight_cont,30,30,1,0.033,0.9529,0.9529,17.3,17.3,1.266,1.266
discrete_only,100,30,21,0.700,1.1138,1.0938,38.5,25.9,2.746,1.875
discrete_only,90,30,21,0.700,1.1138,1.0938,37.3,25.1,2.664,1.819
discrete_only,80,30,15,0.500,1.1186,1.1068,38.3,25.9,2.746,1.823
discrete_only,70,30,8,0.267,1.1435,1.1379,47.8,22.2,3.448,1.630
discrete_only,60,30,5,0.167,1.1014,1.0772,49.3,26.4,3.553,1.926
discrete_only,50,30,2,0.067,1.1231,1.1231,61.9,61.9,4.462,4.462
discrete_only,40,30,1,0.033,1.1939,1.1939,104.1,104.1,7.535,7.535
discrete_only,30,30,1,0.033,1.1939,1.1939,124.8,124.8,9.035,9.035
greedy,100,30,22,0.733,1.0985,1.0896,17.4,17.1,1.245,1.244
greedy,90,30,20,0.667,1.0925,1.0877,16.6,16.6,1.190,1.195
greedy,80,30,15,0.500,1.0954,1.0644,16.9,16.4,1.203,1.210
greedy,70,30,9,0.300,1.1100,1.0716,15.7,15.4,1.121,1.085
greedy,60,30,7,0.233,1.1175,1.0880,16.1,15.5,1.159,1.143
greedy,50,30,3,0.100,1.1330,1.1427,15.7,15.7,1.132,1.137
greedy,40,30,0,0.000,,,,,,
greedy,30,30,0,0.000,,,,,,
formation,100,30,28,0.933,1.1310,1.1283,16.7,16.4,1.196,1.170
formation,90,30,22,0.733,1.4515,1.3670,16.9,16.4,1.208,1.177
formation,80,30,16,0.533,1.3785,1.3884,16.7,16.4,1.200,1.191
formation,70,30,14,0.467,1.4594,1.4642,16.4,16.7,1.183,1.182
formation,60,30,8,0.267,1.6206,1.4465,16.6,16.6,1.197,1.175
formation,50,30,6,0.200,1.8221,1.6658,15.9,15.8,1.147,1.147
formation,40,30,4,0.133,1.9347,1.7012,16.0,16.1,1.161,1.172
formation,30,30,2,0.067,2.2650,2.2650,15.6,15.6,1.144,1.144
sequential,100,30,29,0.967,1.0748,1.0676,18.0,16.1,1.283,1.137
sequential,90,30,29,0.967,1.0898,1.0873,17.1,15.8,1.225,1.128
sequential,80,30,28,0.933,1.0978,1.1019,16.5,15.6,1.178,1.107
sequential,70,30,27,0.900,1.1270,1.1108,18.5,16.2,1.320,1.147
sequential,60,30,18,0.600,1.1603,1.1202,20.2,15.8,1.457,1.120
sequential,50,30,8,0.267,1.1305,1.0900,21.7,20.4,1.569,1.488
sequential,40,30,6,0.200,1.2078,1.1855,18.6,16.9,1.348,1.217
sequential,30,30,2,0.067,1.1719,1.1719,36.8,36.8,2.604,2.604
clgbt,100,30,12,0.400,1.6805,1.6159,16.1,15.7,1.160,1.130
clgbt,90,30,8,0.267,1.6774,1.6494,16.3,16.1,1.172,1.175
clgbt,80,30,4,0.133,2.0218,2.0495,16.9,16.9,1.220,1.232
clgbt,70,30,2,0.067,2.1194,2.1194,16.8,16.8,1.230,1.230
clgbt,60,30,1,0.033,2.0572,2.0572,17.5,17.5,1.279,1.279
clgbt,50,30,0,0.000,,,,,,
clgbt,40,30,0,0.000,,,,,,
clgbt,30,30,0,0.000,,,,,,
