scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,formation_arc_drift,formation_offsets,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.3952,formation,formation,2,true,,831.3020536871555,5.015586274108351,1.2513,14.1,1.0662,36,831.302,"[4.9357, 5.0156]","[4.6861, 4.2185]",[123.4313],[-1],4.218471394046397,0.012170961222838636,optimized
s001,90,6.6557,formation,formation,2,true,,1950.1519030527866,4.867513171933268,2.9354,15.3,1.1552,1313,1950.152,"[3.9483, 4.8675]","[4.7058, 4.1772]",[123.4313],[-1],4.177233750806558,0.014405130426687847,optimized
s001,80,5.9162,formation,formation,2,true,,2119.9520371642784,4.358102313240099,3.1910,14.9,1.1223,5020,2119.952,"[3.2976, 4.3581]","[4.7056, 4.357]",[123.4313],[-1],4.356969704105015,0.013097767105126806,optimized
s002,100,10.0156,formation,formation,2,true,,1086.0186189802598,8.759349636024117,1.3117,14.2,1.0553,115,1086.019,"[8.5229, 8.7593]","[8.5234, 8.0792]",[123.4313],[-1],8.079206596824996,0.013003054021390298,optimized
s002,90,9.0140,formation,formation,2,false,recovery_failed,1362.1067566183538,9.758197533199489,,13.3,0.9846,5527,1362.107,"[9.9192, 9.7582]","[10.0721, 9.6382]",[68.5275],[1],9.638241077341348,-0.7441951271994895,recovery_failed
s002,80,8.0124,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,100,9.6677,formation,formation,2,true,,1097.1312565991354,7.876626763417699,1.1282,13.9,1.0384,30,1097.131,"[8.1836, 7.8766]","[8.0066, 7.6132]",[123.4313],[-1],7.613234998019605,0.015580692588553338,optimized
s004,90,8.7009,formation,formation,2,true,,2120.185146651247,6.446052963125403,2.1803,14.1,1.0559,1267,2120.185,"[6.1456, 6.4461]","[5.892, 4.4073]",[123.4313],[-1],4.407274441247563,0.014023333534727409,optimized
s004,80,7.7341,formation,formation,2,true,,2197.744125030725,6.980590648094283,2.2600,15.9,1.1842,10876,2197.744,"[6.4145, 6.9806]","[6.231, 6.9926]",[-54.9038],[-1],6.992559688649007,1.9638277080957778e-5,optimized
s005,100,6.1695,formation,formation,2,true,,1236.0468040132575,3.3784142414265164,1.2834,14.1,1.0537,178,1236.047,"[3.2182, 3.3784]","[3.682, 2.4019]",[123.4313],[1],2.4018789280281463,0.01300300171794192,optimized
s005,90,5.5525,formation,formation,2,true,,1408.753640697603,5.450633705162326,1.4627,14.5,1.0853,312,1408.754,"[5.0728, 5.4506]","[5.6244, 5.1359]",[123.4313],[-1],5.135875991383778,0.01391371237633345,optimized
s005,80,4.9356,formation,formation,2,true,,1402.14286229031,4.695641376531134,1.4559,14.8,1.1021,17515,1402.143,"[4.5033, 4.6956]","[5.6244, 5.1359]",[123.4313],[-1],5.135875991383778,0.013896941577230159,optimized
s007,100,9.9750,formation,formation,2,true,,1635.0969455777904,9.618571180086517,1.5134,14.2,1.0311,593,1635.097,"[9.4496, 9.6186]","[9.5497, 9.0967]",[123.4313],[1],9.09674661447075,0.012633085151489993,optimized
s007,90,8.9775,formation,formation,2,false,recovery_failed,1635.0217110290537,9.617080687401721,,13.5,0.9833,17924,1635.022,"[9.4489, 9.6171]","[9.5497, 9.0967]",[123.4313],[1],9.09674661447075,-0.639555571401722,recovery_failed
s007,80,7.9800,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s008,100,6.3217,formation,formation,2,true,,1236.0467552651908,3.4895982635721134,1.1870,14.3,1.0611,133,1236.047,"[3.3662, 3.4896]","[3.7897, 2.4902]",[123.4313],[1],2.490244978071064,0.013002991076209093,optimized
s008,90,5.6895,formation,formation,2,true,,1379.2870287502776,5.667870632092731,1.3245,14.0,1.0417,12258,1379.287,"[6.38, 5.6679]","[6.4738, 5.9977]",[123.4313],[1],5.997667140130371,0.015719012606664723,optimized
s008,80,5.0573,formation,formation,2,false,recovery_failed,1379.2898110258534,5.6679128458646995,,13.8,1.0243,12258,1379.29,"[6.3799, 5.6679]","[6.4738, 5.9977]",[123.4313],[1],5.997667140130371,-0.6105712638646992,recovery_failed
