scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.3952,hexspline_cl,hexspline_cl,2,true,,694.5411296895951,6.710764668932208,1.0454,16.2,1.2251,1015,694.541,"[3.0414, 6.7108]","[3.7118, 5.2651]",5.265055391506735,9.549098997641003e-9,optimized
s001,90,6.6557,hexspline_cl,hexspline_cl,2,true,,797.6040676432548,6.635542535226606,1.2006,15.6,1.1776,1015,797.604,"[3.4821, 6.6355]","[3.7118, 5.2651]",5.265055391506735,0.01571446157406911,optimized
s001,80,5.9162,hexspline_cl,hexspline_cl,2,true,,792.0645295499423,5.9136809399182155,1.1922,15.8,1.1915,1015,792.065,"[3.5402, 5.9137]","[3.7118, 5.2651]",5.265055391506735,0.002485766081784746,optimized
s002,100,10.0156,hexspline_cl,hexspline_cl,2,true,,905.8642628889149,5.9902036579392375,1.0941,19.6,1.4550,29623,905.864,"[5.673, 5.9902]","[7.5705, 7.6445]",7.6445309523769644,2.5718830145432525e-8,optimized
s002,90,9.0140,hexspline_cl,hexspline_cl,2,true,,832.6630079794592,8.034169596048477,1.0057,19.2,1.4200,29623,832.663,"[5.1819, 8.0342]","[7.5705, 7.6445]",7.6445309523769644,7.516096107134217e-6,optimized
s002,80,8.0124,hexspline_cl,hexspline_cl,2,true,,829.2861595278652,7.793319800651096,1.0016,18.5,1.3676,29623,829.286,"[5.1785, 7.7933]","[7.5705, 7.6445]",7.6445309523769644,4.1359158128761915e-7,optimized
s004,100,9.6677,hexspline_cl,hexspline_cl,2,true,,988.9183511147305,9.667681284163283,1.0169,17.0,1.2697,819,988.918,"[6.6404, 9.6677]","[6.9771, 7.5054]",7.505390329537819,3.5483671645408776e-7,optimized
s004,90,8.7009,hexspline_cl,hexspline_cl,2,true,,988.1566189141749,8.614137162019588,1.0162,16.5,1.2319,819,988.157,"[6.0102, 8.6141]","[6.9771, 7.5054]",7.505390329537819,3.15934340971703e-5,optimized
s004,80,7.7341,hexspline_cl,hexspline_cl,2,true,,1012.0944927296238,7.734141743247562,1.0408,16.5,1.2317,819,1012.094,"[5.6452, 7.7341]","[6.9771, 7.5054]",7.505390329537819,3.7677524380441696e-6,optimized
s005,100,6.1695,hexspline_cl,hexspline_cl,2,true,,1003.9499468998844,6.164838732710815,1.0424,36.3,2.7120,181284,1003.95,"[0.7082, 6.1648]","[0.8036, 4.4948]",4.49475505576615,6.941585091457814e-9,optimized
s005,90,5.5525,hexspline_cl,hexspline_cl,2,true,,1018.8766009875399,5.54903906400474,1.0579,35.4,2.6389,181284,1018.877,"[0.7002, 5.549]","[0.8036, 4.4948]",4.49475505576615,5.694349547447075e-8,optimized
s005,80,4.9356,hexspline_cl,hexspline_cl,2,true,,1052.2533069822348,4.771401709371184,1.0926,35.3,2.6322,181284,1052.253,"[0.7187, 4.7714]","[0.8036, 4.4948]",4.49475505576615,3.923248529866252e-8,optimized
s007,100,9.9750,hexspline_cl,hexspline_cl,2,false,no_solution,null,null,,147.6,10.7247,1000000,null,[],[],null,,
s007,90,8.9775,hexspline_cl,hexspline_cl,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,80,7.9800,hexspline_cl,hexspline_cl,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,100,6.3217,hexspline_cl,hexspline_cl,2,true,,915.3012562881462,6.32167669833642,0.8790,16.6,1.2318,514,915.301,"[4.2835, 6.3217]","[5.1425, 5.2057]",5.205698408121642,2.9663580036753956e-8,optimized
s008,90,5.6895,hexspline_cl,hexspline_cl,2,true,,953.6294293800729,5.262366555440332,0.9158,16.6,1.2364,514,953.629,"[4.7438, 5.2624]","[5.1425, 5.2057]",5.205698408121642,9.075658365654817e-7,optimized
s008,80,5.0573,hexspline_cl,hexspline_cl,2,true,,968.6198470972049,3.9585237032519625,0.9302,15.8,1.1771,2005,968.62,"[0.9995, 3.9585]","[1.159, 3.7446]",3.7446430768529213,0.015623701451723527,optimized
