scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status,sequential_leg1_length,sequential_replanned
s001,100,7.3952,sequential,sequential,2,true,,718.7930385363456,6.903246612535272,1.0819,12.8,0.9645,70,718.793,"[2.1045, 6.9032]","[3.6523, 4.1924]",4.192351963577088,7.96701916244702e-10,optimized,825.0,false
s001,90,6.6557,sequential,sequential,2,true,,810.9583688445393,6.655672577119126,1.2207,12.9,0.9764,70,810.958,"[3.5586, 6.6557]","[3.6523, 4.1924]",4.192351963577088,1.4842880874610387e-5,optimized,825.0,false
s001,80,5.9162,sequential,sequential,2,true,,792.5357262762509,5.479948554481179,1.1929,12.2,0.9226,70,792.536,"[3.2986, 5.4799]","[3.6523, 4.1924]",4.192351963577088,0.014351818725144978,optimized,825.0,false
s002,100,10.0156,sequential,sequential,2,false,recovery_failed,1158.232228411521,8.240577010587616,,14.0,1.0400,5202,1158.232,"[6.6198, 8.2406]","[6.6697, 6.644]",6.644027026387521,-27.584809523682964,recovery_failed,1125.0,false
s002,90,9.0140,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s002,80,8.0124,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,100,9.6677,sequential,sequential,2,true,,1061.1076239214249,5.409610434484989,1.0912,14.2,1.0593,7833,1061.108,"[1.0517, 5.4096]","[1.5726, 3.8289]",3.828915407819891,1.7517681773909777e-8,optimized,1125.0,false
s004,90,8.7009,sequential,sequential,2,true,,1059.4345941888932,5.339454048668961,1.0895,13.8,1.0294,7833,1059.435,"[1.0426, 5.3395]","[1.5726, 3.8289]",3.828915407819891,6.590119155241991e-9,optimized,1125.0,false
s004,80,7.7341,sequential,sequential,2,true,,1059.4120222508095,5.330600535256194,1.0894,14.0,1.0476,7833,1059.412,"[1.0474, 5.3306]","[1.5726, 3.8289]",3.828915407819891,3.765520803847289e-8,optimized,1125.0,false
s005,100,6.1695,sequential,sequential,2,true,,1192.0271222587137,3.7737757961323863,1.2377,13.1,0.9809,618,1192.027,"[2.9895, 3.7738]","[3.0151, 3.6613]",3.6613152673794254,0.01596878660569273,optimized,1275.0,false
s005,90,5.5525,sequential,sequential,2,true,,1192.0271222587137,3.7737757961323863,1.2377,13.6,1.0165,618,1192.027,"[2.9895, 3.7738]","[3.0151, 3.6613]",3.6613152673794254,0.01596878660569273,optimized,1275.0,false
s005,80,4.9356,sequential,sequential,2,true,,1192.0271222587137,3.7737757961323863,1.2377,12.9,0.9635,618,1192.027,"[2.9895, 3.7738]","[3.0151, 3.6613]",3.6613152673794254,0.01596878660569273,optimized,1275.0,false
s007,100,9.9750,sequential,sequential,2,true,,1561.6283683108188,6.93835116034019,1.4454,14.0,1.0153,7276,1561.628,"[6.7455, 6.9384]","[6.9759, 7.2241]",7.224100806005058,0.014420982250307558,optimized,1725.0,false
s007,90,8.9775,sequential,sequential,2,true,,1560.1559428289827,6.898297217762884,1.4441,13.1,0.9517,7276,1560.156,"[6.7447, 6.8983]","[6.9759, 7.2241]",7.224100806005058,0.014420842370600187,optimized,1725.0,false
s007,80,7.9800,sequential,sequential,2,true,,1558.3663114065075,6.865008994060426,1.4424,12.9,0.9360,7276,1558.366,"[6.7395, 6.865]","[6.9759, 7.2241]",7.224100806005058,0.01386438391503875,optimized,1725.0,false
s008,100,6.3217,sequential,sequential,2,true,,971.3102122159705,2.230466687023125,0.9327,14.1,1.0465,179,971.31,"[0.8667, 2.2305]","[1.159, 3.8263]",3.826312155836188,0.0007273960214771714,optimized,975.0,false
s008,90,5.6895,sequential,sequential,2,true,,971.0574995729711,2.233946516591303,0.9325,13.8,1.0261,179,971.057,"[0.8586, 2.2339]","[1.159, 3.8263]",3.826312155836188,0.0001498855380671339,optimized,975.0,false
s008,80,5.0573,sequential,sequential,2,true,,971.3095427872986,2.229464680378931,0.9327,13.6,1.0101,179,971.31,"[0.867, 2.2295]","[1.159, 3.8263]",3.826312155836188,0.00095156202681576,optimized,975.0,false
