method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,6,5,0.833,1.0156,1.0424,21.1,17.0,1.579,1.270
hexspline_cl,90,6,5,0.833,1.0392,1.0162,20.7,16.6,1.541,1.236
hexspline_cl,80,6,5,0.833,1.0515,1.0408,20.4,16.5,1.520,1.232
sequential,100,6,5,0.833,1.1578,1.0912,13.6,14.0,1.013,1.015
sequential,90,6,5,0.833,1.1849,1.2207,13.4,13.6,1.000,1.016
sequential,80,6,5,0.833,1.1790,1.1929,13.1,12.9,0.976,0.964
formation,100,6,6,1.000,1.2792,1.2673,14.1,14.1,1.051,1.054
formation,90,6,4,0.667,1.9757,1.8215,14.5,14.3,1.085,1.071
formation,80,6,3,0.500,2.3023,2.2600,15.2,14.9,1.136,1.122
straight_cont,100,6,0,0.000,,,,,,
straight_cont,90,6,0,0.000,,,,,,
straight_cont,80,6,0,0.000,,,,,,
