scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s001,100,10.7302,discrete_only,discrete_only,2,true,,854.2015064666965,6.12097006648124,1.0886,16.5,1.0815,250,854.202,"[6.272, 6.121]","[6.272, 6.121]",6.12097006648124
s001,90,9.6572,discrete_only,discrete_only,2,true,,854.2015064666965,6.12097006648124,1.0886,16.5,1.0831,250,854.202,"[6.272, 6.121]","[6.272, 6.121]",6.12097006648124
s001,80,8.5842,discrete_only,discrete_only,2,true,,854.2015064666965,6.12097006648124,1.0886,16.3,1.0699,250,854.202,"[6.272, 6.121]","[6.272, 6.121]",6.12097006648124
s001,70,7.5112,discrete_only,discrete_only,2,true,,854.2015064666965,6.12097006648124,1.0886,16.4,1.0706,250,854.202,"[6.272, 6.121]","[6.272, 6.121]",6.12097006648124
s001,60,6.4381,discrete_only,discrete_only,2,true,,854.2015064666965,6.12097006648124,1.0886,16.3,1.0665,250,854.202,"[6.272, 6.121]","[6.272, 6.121]",6.12097006648124
s001,50,5.3651,discrete_only,discrete_only,2,true,,854.2015064666965,1.6088672545210194,1.0886,16.4,1.0758,1342,854.202,"[1.137, 1.6089]","[1.137, 1.6089]",1.6088672545210194
s001,40,4.2921,discrete_only,discrete_only,2,true,,854.2015064666965,1.6088672545210194,1.0886,16.4,1.0767,1342,854.202,"[1.137, 1.6089]","[1.137, 1.6089]",1.6088672545210194
s001,30,3.2191,discrete_only,discrete_only,2,true,,854.2015064666965,1.6088672545210194,1.0886,16.5,1.0810,1342,854.202,"[1.137, 1.6089]","[1.137, 1.6089]",1.6088672545210194
s002,100,6.7390,discrete_only,discrete_only,2,true,,704.2015064666964,5.768066820073987,1.1659,16.3,1.0691,28,704.202,"[1.0589, 5.7681]","[1.0589, 5.7681]",5.768066820073987
s002,90,6.0651,discrete_only,discrete_only,2,true,,704.2015064666964,5.768066820073987,1.1659,16.2,1.0595,28,704.202,"[1.0589, 5.7681]","[1.0589, 5.7681]",5.768066820073987
