scenario_id,seed,goal_dist,n_landmarks,n_obstacles,L_ref,U_ref,U_ref_cont,wall_ref,reject_reason
s001,1068,750.0,4,3,784.650,10.73023182874267,9.238719531877663,15.3,
s002,1069,600.0,4,2,603.978,6.738995600494282,7.444976619697749,15.3,
s003,1070,600.0,2,1,600.194,9.912720011981477,7.183189909675999,15.2,
s004,1071,750.0,4,1,800.192,5.342252001372083,9.505626048421506,15.3,
s005,1072,900.0,3,1,915.883,11.355458649622598,9.457398440236522,15.3,
s006,1073,600.0,2,1,602.460,9.977299389925149,7.330622851757774,15.2,
s007,1074,750.0,4,1,781.920,7.139097357456053,9.129323995011825,15.4,
s008,1075,900.0,4,2,966.523,7.969091409693757,9.962248405551998,15.7,
s009,1076,900.0,2,3,989.762,10.123816943309363,11.020375172288022,15.8,
s010,1077,600.0,4,3,634.036,7.627514943231431,8.334259772826538,15.3,
s011,1078,600.0,4,3,600.000,7.142120844702417,7.142120844702417,15.3,
s012,1079,900.0,4,3,1125.200,7.5978199633240155,7.377409753582201,15.8,
s013,1080,600.0,2,2,613.911,10.300122508729595,7.901430091000668,15.3,
s014,1081,600.0,4,1,600.000,7.13142893537775,7.13142893537775,15.1,
s015,1082,900.0,3,2,975.329,6.011533056981863,9.483218802366354,15.6,
s016,1083,750.0,4,3,937.456,5.329820372083825,7.021036683583196,15.8,
s017,1084,750.0,2,3,913.034,8.955035735801417,7.75829279618206,15.7,
s018,1085,900.0,4,2,901.095,11.056209723767148,8.793834598260002,15.7,
s019,1086,900.0,2,2,900.000,8.705595330244181,8.705595330244181,15.2,
s020,1087,600.0,2,1,615.185,8.338451524785334,8.083611507895688,15.3,
s021,1088,750.0,2,1,750.034,10.730907606771138,7.963004980508936,15.5,
s022,1089,750.0,2,2,750.691,10.741532680847657,7.99203363104645,15.6,
s023,1090,600.0,3,3,635.808,5.096397221770512,8.1894462035943,15.3,
s024,1091,900.0,4,3,919.063,10.88498626415076,9.394054882082534,15.6,
s025,1092,600.0,4,3,760.413,5.29590137091225,6.6626883294605275,15.3,
s026,1093,600.0,4,2,664.723,8.298080892081346,9.25681628309503,15.6,
s027,1094,600.0,4,3,603.771,7.402932376030063,7.403738228222154,15.2,
s028,1095,750.0,3,3,778.744,5.3111511561929605,9.033849035009425,15.6,
s029,1096,900.0,4,2,990.726,5.00160209690374,6.817616693340914,15.6,
s030,1097,750.0,3,3,817.421,8.750066340967813,8.981347065565139,15.3,
