scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,10.7302,straight_cont,straight_cont,2,true,,851.9953674728889,10.701838304579901,1.0858,17.3,1.1340,0,851.995,"[10.7172, 10.7018]","[7.9953, 7.9953]",7.995274462637189,0.008313208516857004,optimized
s001,90,9.6572,straight_cont,straight_cont,2,false,recovery_failed,841.0465716711311,10.466511277344525,,17.8,1.1660,0,841.047,"[10.5166, 10.4665]","[7.9953, 7.9953]",7.995274462637189,-0.8093016313445247,recovery_failed
s001,80,8.5842,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,70,7.5112,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,60,6.4381,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,50,5.3651,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,40,4.2921,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,30,3.2191,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,100,6.7390,straight_cont,straight_cont,2,false,recovery_failed,603.8198791329455,7.2356563514129215,,18.3,1.1993,0,603.82,"[7.2996, 7.2357]","[7.1518, 7.1518]",7.151836734582718,-0.4966597514129214,recovery_failed
s002,90,6.0651,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,80,5.3912,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,70,4.7173,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,60,4.0434,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,50,3.3695,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,40,2.6956,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,30,2.0217,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,100,9.9127,straight_cont,straight_cont,2,true,,600.8059096571765,7.236500037794384,1.0010,16.8,1.1082,0,600.806,"[7.2267, 7.2365]","[7.1671, 7.1671]",7.167127396813048,0.020524464434258382,optimized
s003,90,8.9214,straight_cont,straight_cont,2,true,,600.8059188437968,7.236484699029821,1.0010,16.9,1.1125,0,600.806,"[7.2267, 7.2365]","[7.1671, 7.1671]",7.167127396813048,0.02052939778818226,optimized
s003,80,7.9302,straight_cont,straight_cont,2,true,,600.8059526984097,7.2365056936873975,1.0010,17.0,1.1211,0,600.806,"[7.2267, 7.2365]","[7.1671, 7.1671]",7.167127396813048,0.02052415378172166,optimized
s003,70,6.9389,straight_cont,straight_cont,2,false,recovery_failed,600.3489573205062,7.12881397707268,,16.8,1.1091,0,600.349,"[7.1256, 7.1288]","[7.1671, 7.1671]",7.167127396813048,-0.18990896907267985,recovery_failed
s003,60,5.9476,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,50,4.9564,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,40,3.9651,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,30,2.9738,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,100,5.3423,straight_cont,straight_cont,2,false,recovery_failed,753.8115040852801,8.3385934829255,,17.6,1.1509,0,753.812,"[8.3476, 8.3386]","[7.9555, 7.9555]",7.955495878202363,-67.3961017796212,recovery_failed
s004,90,4.8080,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,80,4.2738,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,70,3.7396,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,60,3.2054,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,50,2.6711,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,40,2.1369,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,30,1.6027,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,100,11.3555,straight_cont,straight_cont,2,true,,931.1342969249472,9.686378015229357,1.0167,18.7,1.2173,0,931.134,"[9.29, 9.6864]","[8.7096, 8.7096]",8.70962721855249,0.0016850865627373625,optimized
s005,90,10.2199,straight_cont,straight_cont,2,true,,925.6467523725654,9.571465016114798,1.0107,19.0,1.2375,0,925.647,"[9.2841, 9.5715]","[8.7096, 8.7096]",8.70962721855249,0.0008789905651664098,optimized
s005,80,9.0844,straight_cont,straight_cont,2,true,,920.6540887095373,9.084367779620404,1.0052,18.1,1.1822,0,920.654,"[9.092, 9.0844]","[8.7096, 8.7096]",8.70962721855249,1.4037959594759286e-7,optimized
s005,70,7.9488,straight_cont,straight_cont,2,true,,912.064542863547,7.937763568231336,0.9958,18.5,1.2086,0,912.065,"[8.0571, 7.9378]","[8.7096, 8.7096]",8.70962721855249,0.0015613562072877528,optimized
s005,60,6.8133,straight_cont,straight_cont,2,true,,914.258642930395,6.06966695119323,0.9982,18.7,1.2192,0,914.259,"[6.2602, 6.0697]","[8.7096, 8.7096]",8.70962721855249,0.0034706412303620385,optimized
s005,50,5.6777,straight_cont,straight_cont,2,false,recovery_failed,914.9519585773861,5.610395846990623,,18.6,1.2132,0,914.952,"[5.8699, 5.6104]","[8.7096, 8.7096]",8.70962721855249,-0.011207990701777526,recovery_failed
s005,40,4.5422,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,30,3.4066,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s006,100,9.9773,straight_cont,straight_cont,2,true,,607.4822962846171,7.674239912717442,1.0083,17.9,1.1782,0,607.482,"[7.6419, 7.6742]","[7.1497, 7.1497]",7.149748286190439,0.0058863374680426656,optimized
s006,90,8.9796,straight_cont,straight_cont,2,true,,608.0290727663938,7.713629132458331,1.0092,18.0,1.1788,0,608.029,"[7.68, 7.7136]","[7.1497, 7.1497]",7.149748286190439,0.004791600804078335,optimized
s006,80,7.9818,straight_cont,straight_cont,2,true,,611.4102239013137,7.849119872092266,1.0149,17.0,1.1189,0,611.41,"[7.8651, 7.8491]","[7.1497, 7.1497]",7.149748286190439,0.001348773475076264,optimized
s006,70,6.9841,straight_cont,straight_cont,2,true,,603.4623590223465,6.97996461490265,1.0017,18.0,1.1832,0,603.462,"[6.9538, 6.98]","[7.1497, 7.1497]",7.149748286190439,0.0041459580973493,optimized
s006,60,5.9864,straight_cont,straight_cont,2,false,recovery_failed,603.1951119369031,6.776464111145469,,19.2,1.2626,0,603.195,"[6.7538, 6.7765]","[7.1497, 7.1497]",7.149748286190439,-0.7900834771454681,recovery_failed
s006,50,4.9886,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s006,40,3.9909,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s006,30,2.9932,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,100,7.1391,straight_cont,straight_cont,2,false,recovery_failed,751.6596572534667,7.986651662256625,,18.0,1.1652,0,751.66,"[8.204, 7.9867]","[7.958, 7.958]",7.958041883412976,-0.8475533052566249,recovery_failed
s007,90,6.4252,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,80,5.7113,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,70,4.9974,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,60,4.2835,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,50,3.5695,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,40,2.8556,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,30,2.1417,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,100,7.9691,straight_cont,straight_cont,2,false,recovery_failed,933.1237164787524,9.149091573222854,,17.5,1.1144,0,933.124,"[9.1191, 9.1491]","[8.7376, 8.7376]",8.737636202552265,-2.9110862879156203,recovery_failed
s008,90,7.1722,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,80,6.3753,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,70,5.5784,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,60,4.7815,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,50,3.9845,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,40,3.1876,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,30,2.3907,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s009,100,10.1238,straight_cont,straight_cont,2,true,,910.1785925931041,9.38467462273248,0.9196,16.7,1.0526,0,910.179,"[9.3702, 9.3847]","[8.719, 8.719]",8.719005498275514,0.014741774537521951,optimized
s009,90,9.1114,straight_cont,straight_cont,2,true,,905.1932362019083,9.061558507560472,0.9146,18.1,1.1438,0,905.193,"[9.1029, 9.0616]","[8.719, 8.719]",8.719005498275514,0.015290156245499158,optimized
s009,80,8.0991,straight_cont,straight_cont,2,false,recovery_failed,903.2358537409767,8.770000394390458,,18.9,1.1952,0,903.236,"[8.7504, 8.77]","[8.719, 8.719]",8.719005498275514,-0.670945839390459,recovery_failed
s009,70,7.0867,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s009,60,6.0743,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s009,50,5.0619,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s009,40,4.0495,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s009,30,3.0371,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,100,7.6275,straight_cont,straight_cont,2,true,,608.1385251283183,7.537388504320771,0.9592,18.1,1.1809,0,608.139,"[7.5198, 7.5374]","[7.1691, 7.1691]",7.169074168016764,0.002402144585763308,optimized
s010,90,6.8648,straight_cont,straight_cont,2,false,recovery_failed,603.877410233679,7.192570000686887,,17.6,1.1504,0,603.877,"[7.2005, 7.1926]","[7.1691, 7.1691]",7.169074168016764,-0.32780555168688696,recovery_failed
s010,80,6.1020,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,70,5.3393,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,60,4.5765,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,50,3.8138,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,40,3.0510,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s010,30,2.2883,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s011,100,7.1421,straight_cont,straight_cont,2,true,,600.0,7.141803173363625,1.0000,16.1,1.0518,0,600.0,"[7.1418, 7.1418]","[7.1424, 7.1424]",7.142407715016443,9.999999974752427e-7,seed_only
s011,90,6.4279,straight_cont,straight_cont,2,false,recovery_failed,600.0557989531221,6.682567252470002,,19.1,1.2484,0,600.056,"[6.682, 6.6826]","[7.1424, 7.1424]",7.142407715016443,-0.2546574924700016,recovery_failed
