method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,30,30,1.000,1.1210,1.0851,19.7,18.0,1.271,1.169
hexspline_cl,90,30,30,1.000,1.1232,1.0918,19.7,18.0,1.271,1.166
hexspline_cl,80,30,30,1.000,1.1504,1.0972,20.5,17.9,1.321,1.163
hexspline_cl,70,30,30,1.000,1.1737,1.1104,21.0,17.9,1.354,1.157
hexspline_cl,60,30,29,0.967,1.1811,1.1356,23.2,17.8,1.495,1.153
hexspline_cl,50,30,26,0.867,1.2246,1.1596,26.6,17.9,1.715,1.152
hexspline_cl,40,30,18,0.600,1.3632,1.2326,22.8,17.5,1.477,1.137
hexspline_cl,30,30,13,0.433,1.2913,1.2605,19.9,16.9,1.287,1.115
straight_cont,100,30,16,0.533,0.9934,1.0000,17.5,17.5,1.136,1.148
straight_cont,90,30,10,0.333,0.9830,0.9997,17.9,18.1,1.157,1.164
straight_cont,80,30,7,0.233,1.0031,1.0010,17.8,18.1,1.157,1.167
straight_cont,70,30,2,0.067,0.9988,0.9988,18.2,18.2,1.196,1.196
straight_cont,60,30,1,0.033,0.9982,0.9982,18.7,18.7,1.219,1.219
straight_cont,50,30,0,0.000,,,,,,
straight_cont,40,30,0,0.000,,,,,,
straight_cont,30,30,0,0.000,,,,,,
discrete_only,100,30,30,1.000,1.1958,1.1529,18.4,16.6,1.188,1.082
discrete_only,90,30,30,1.000,1.1976,1.1529,18.3,16.5,1.183,1.081
discrete_only,80,30,30,1.000,1.2135,1.1471,19.2,16.6,1.242,1.077
discrete_only,70,30,30,1.000,1.2279,1.1529,19.7,16.6,1.269,1.077
discrete_only,60,30,28,0.933,1.2157,1.1471,19.1,16.5,1.237,1.075
discrete_only,50,30,24,0.800,1.2462,1.1553,19.7,16.5,1.275,1.076
discrete_only,40,30,18,0.600,1.3698,1.2437,21.9,16.5,1.419,1.077
discrete_only,30,30,13,0.433,1.2922,1.2605,19.2,16.5,1.243,1.081
