scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,clgbt_iterations,clgbt_tree_size,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s002,100,6.7390,clgbt,clgbt,2,true,,1038.0014660107345,3.401624860645725,1.7186,13.0,0.8541,29,21,1038.001,"[3.0575, 3.4016]","[3.3004, 3.6327]",3.6326774697624145,1.000090628366923e-9,seed_only
s002,90,6.0651,clgbt,clgbt,2,true,,1038.0014660107345,3.401624860645725,1.7186,12.9,0.8453,29,21,1038.001,"[3.0575, 3.4016]","[3.3004, 3.6327]",3.6326774697624145,1.000090628366923e-9,seed_only
s002,80,5.3912,clgbt,clgbt,2,true,,1038.0014660107345,3.401624860645725,1.7186,12.9,0.8500,29,21,1038.001,"[3.0575, 3.4016]","[3.3004, 3.6327]",3.6326774697624145,1.000090628366923e-9,seed_only
s002,70,4.7173,clgbt,clgbt,2,true,,1038.0014660107345,3.401624860645725,1.7186,13.1,0.8637,29,21,1038.001,"[3.0575, 3.4016]","[3.3004, 3.6327]",3.6326774697624145,1.000090628366923e-9,seed_only
s002,60,4.0434,clgbt,clgbt,2,true,,1038.0014660107345,3.401624860645725,1.7186,13.1,0.8627,29,21,1038.001,"[3.0575, 3.4016]","[3.3004, 3.6327]",3.6326774697624145,1.000090628366923e-9,seed_only
s002,50,3.3695,clgbt,clgbt,2,true,,1395.2571903366975,2.3836588528118696,2.3101,13.7,0.9014,177,129,1395.257,"[0.7956, 2.3837]","[0.9984, 2.0122]",2.01217915956187,1.572121392789949e-8,optimized
s002,40,2.6956,clgbt,clgbt,2,true,,1367.5896898792628,0.8386059617136525,2.2643,14.0,0.9183,177,129,1367.59,"[0.8052, 0.8386]","[0.9984, 2.0122]",2.01217915956187,0.0011843043374345184,optimized
s002,30,2.0217,clgbt,clgbt,2,true,,1369.4977418348672,0.8230697522273668,2.2675,13.8,0.9048,177,129,1369.498,"[0.7938, 0.8231]","[0.9984, 2.0122]",2.01217915956187,0.0008283247577934132,optimized
s004,100,5.3423,clgbt,clgbt,2,true,,1795.7294971875228,2.2516608487377168,2.2441,14.2,0.9146,68,58,1795.729,"[1.0284, 2.2517]","[1.4834, 3.4601]",3.4601351034829024,2.0955173651859837e-8,optimized
s004,90,4.8080,clgbt,clgbt,2,true,,1869.2697090663241,1.1911485313255261,2.3360,13.8,0.8885,68,58,1869.27,"[1.0277, 1.1911]","[1.4834, 3.4601]",3.4601351034829024,0.003971619354241035,optimized
s004,80,4.2738,clgbt,clgbt,2,true,,1865.1061057068905,1.1899028595487282,2.3308,14.3,0.9250,68,58,1865.106,"[1.0266, 1.1899]","[1.4834, 3.4601]",3.4601351034829024,0.0031492743390796572,optimized
s004,70,3.7396,clgbt,clgbt,2,true,,1861.7138040791094,1.195554316363084,2.3266,13.8,0.8921,68,58,1861.714,"[1.0321, 1.1956]","[1.4834, 3.4601]",3.4601351034829024,0.0015548323827825929,optimized
s004,60,3.2054,clgbt,clgbt,2,false,recovery_failed,1464.4319675890974,1.944941670789627,,21.7,1.4013,25083,17328,1464.432,"[1.5491, 1.9449]","[2.2113, 2.9948]",2.994842209164798,-0.0012536541300977033,recovery_failed
s004,50,2.6711,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s004,40,2.1369,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s004,30,1.6027,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s007,100,7.1391,clgbt,clgbt,2,true,,1146.0627345737496,5.571495497912789,1.4657,13.0,0.8472,91,85,1146.063,"[5.5589, 5.5715]","[5.8139, 5.9097]",5.909661038890608,1.4421869705405488e-9,optimized
s007,90,6.4252,clgbt,clgbt,2,true,,1146.0337442806128,5.566822828990349,1.4657,13.0,0.8431,91,85,1146.034,"[5.5527, 5.5668]","[5.8139, 5.9097]",5.909661038890608,7.225848656852718e-7,optimized
s007,80,5.7113,clgbt,clgbt,2,true,,1004.4289342857894,5.341230164159799,1.2846,13.4,0.8739,614,559,1004.429,"[3.9181, 5.3412]","[3.9457, 4.932]",4.932035400138405,1.2288531825443982e-7,optimized
s007,70,4.9974,clgbt,clgbt,2,true,,1103.9186299501494,4.90214485432598,1.4118,13.1,0.8553,614,559,1103.919,"[3.9087, 4.9021]","[3.9457, 4.932]",4.932035400138405,0.0016754987111989202,optimized
s007,60,4.2835,clgbt,clgbt,2,true,,1360.6082669335058,4.032005021976294,1.7401,14.8,0.9602,10703,8227,1360.608,"[1.2805, 4.032]","[1.7367, 4.2346]",4.234552861478016,1.2825326434266066e-5,optimized
s007,50,3.5695,clgbt,clgbt,2,true,,1148.45301446726,2.4339444201953078,1.4688,107.6,7.0034,84211,56494,1148.453,"[0.9222, 2.4339]","[1.348, 3.0262]",3.0262278080138607,6.5765270555739885e-9,optimized
s007,40,2.8556,clgbt,clgbt,2,false,no_solution,null,null,,930.0,60.5390,200000,125490,null,[],[],null,,
s007,30,2.1417,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s008,100,7.9691,clgbt,clgbt,2,true,,996.7800106425515,6.683873296878282,1.0313,14.9,0.9482,83,73,996.78,"[3.0123, 6.6839]","[3.6155, 6.6709]",6.670880701935104,2.730426237190775e-8,optimized
s008,90,7.1722,clgbt,clgbt,2,true,,1022.3251787434747,7.11217197775101,1.0577,13.7,0.8736,83,73,1022.325,"[3.5318, 7.1122]","[3.6155, 6.6709]",6.670880701935104,1.98734753306673e-9,optimized
s008,80,6.3753,clgbt,clgbt,2,true,,1157.94242726927,6.052107955257259,1.1980,13.1,0.8364,1329,1146,1157.942,"[5.5765, 6.0521]","[5.5765, 6.0521]",6.052107955257259,1.000090635305817e-9,seed_only
s008,70,5.5784,clgbt,clgbt,2,true,,2249.5781015372295,4.269365471249018,2.3275,16.4,1.0429,8647,6907,2249.578,"[3.752, 4.2694]","[4.505, 5.2672]",5.267229397146279,0.00022681234213450807,optimized
s008,60,4.7815,clgbt,clgbt,2,false,recovery_failed,2247.5112203368367,2.3475753006905995,,129.6,8.2577,91734,63266,2247.511,"[1.4177, 2.3476]","[2.1005, 4.1928]",4.192833900651341,-0.0007791124271957252,recovery_failed
s008,50,3.9845,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s008,40,3.1876,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s008,30,2.3907,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s012,100,7.5978,clgbt,clgbt,2,true,,1177.029254930974,5.558470459415355,1.0461,14.3,0.9063,3797,3011,1177.029,"[5.486, 5.5585]","[5.5809, 6.0424]",6.042412251665955,9.560832589525125e-5,optimized
s012,90,6.8380,clgbt,clgbt,2,true,,1176.9055090323031,5.560044940898593,1.0460,14.3,0.9043,3797,3011,1176.906,"[5.4731, 5.56]","[5.5809, 6.0424]",6.042412251665955,8.274223179365436e-6,optimized
s012,80,6.0783,clgbt,clgbt,2,true,,1179.3981536948513,5.398284087190702,1.0482,14.4,0.9144,3797,3011,1179.398,"[5.4914, 5.3983]","[5.5809, 6.0424]",6.042412251665955,4.2050874381184255e-6,optimized
s012,70,5.3185,clgbt,clgbt,2,false,no_solution,null,null,,1072.8,67.8891,200000,135545,null,[],[],null,,
s012,60,4.5587,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s012,50,3.7989,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s012,40,3.0391,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s012,30,2.2793,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s015,100,6.0115,clgbt,clgbt,2,true,,1607.2603618749845,4.476302319009105,1.6479,13.0,0.8322,459,383,1607.26,"[4.0483, 4.4763]","[4.0495, 4.4774]",4.477359445448134,1.0000906457141578e-9,seed_only
s015,90,5.4104,clgbt,clgbt,2,true,,1607.2603618749845,4.476302319009105,1.6479,13.0,0.8335,459,383,1607.26,"[4.0483, 4.4763]","[4.0495, 4.4774]",4.477359445448134,1.0000906457141578e-9,seed_only
s015,80,4.8092,clgbt,clgbt,2,true,,1607.2603618749845,4.476302319009105,1.6479,13.3,0.8524,459,383,1607.26,"[4.0483, 4.4763]","[4.0495, 4.4774]",4.477359445448134,1.0000906457141578e-9,seed_only
s015,70,4.2081,clgbt,clgbt,2,true,,1456.581614570134,3.395067924837177,1.4934,21.0,1.3435,24689,17883,1456.582,"[0.6205, 3.3951]","[0.8732, 3.6283]",3.628299693387834,1.000090638775264e-9,seed_only
s015,60,3.6069,clgbt,clgbt,2,true,,2212.0440548921965,3.015250533680696,2.2680,123.8,7.9250,90606,60383,2212.044,"[1.1577, 3.0153]","[1.6749, 3.2903]",3.2903203155450518,3.471735926934352e-5,optimized
s015,50,3.0058,clgbt,clgbt,2,false,no_solution,null,null,,954.1,61.0749,200000,128373,null,[],[],null,,
s015,40,2.4046,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s015,30,1.8035,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
