scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,formation_arc_drift,formation_offsets,primary_disc_unc,refinement_min_slack,refinement_status
s002,100,6.7390,formation,formation,2,true,,793.4957923660817,1.991399608632484,1.3138,14.5,0.9511,28,793.496,"[1.0555, 1.9914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.0002475408302932171,optimized
s002,90,6.0651,formation,formation,2,true,,795.8729404463762,1.7949442086910572,1.3177,14.5,0.9532,28,795.873,"[1.0558, 1.7949]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.010809962751041506,optimized
s002,80,5.3912,formation,formation,2,true,,815.829316316472,5.391197426265352,1.3508,14.0,0.9200,28,815.829,"[1.0617, 5.3912]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,5.3734647842418326e-8,optimized
s002,70,4.7173,formation,formation,2,true,,854.7355331663507,1.4914234027760047,1.4152,13.6,0.8944,28,854.736,"[1.0539, 1.4914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.01611111211111111,seed_only
s002,60,4.0434,formation,formation,2,true,,854.7355331663507,1.4914234027760047,1.4152,13.6,0.8911,28,854.736,"[1.0539, 1.4914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.01611111211111111,seed_only
s002,50,3.3695,formation,formation,2,true,,854.7355331663507,1.4914234027760047,1.4152,13.7,0.8995,28,854.736,"[1.0539, 1.4914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.01611111211111111,seed_only
s002,40,2.6956,formation,formation,2,true,,854.7355331663507,1.4914234027760047,1.4152,13.6,0.8922,28,854.736,"[1.0539, 1.4914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.01611111211111111,seed_only
s002,30,2.0217,formation,formation,2,true,,854.7355331663507,1.4914234027760047,1.4152,13.6,0.8914,28,854.736,"[1.0539, 1.4914]","[1.0539, 1.4914]",[0.0],[-1],1.4914234027760047,0.01611111211111111,seed_only
s004,100,5.3423,formation,formation,2,true,,998.2021375098602,4.092549567350698,1.2475,13.8,0.8899,34,998.202,"[1.4529, 4.0925]","[1.4723, 4.0591]",[0.0],[-1],4.059111528191217,0.016223237224588023,optimized
s004,90,4.8080,formation,formation,2,true,,1004.7355331663507,4.059111528191217,1.2556,13.6,0.8752,34,1004.736,"[1.4723, 4.0591]","[1.4723, 4.0591]",[0.0],[-1],4.059111528191217,0.01611111211111111,seed_only
s004,80,4.2738,formation,formation,2,true,,1004.7355331663507,4.059111528191217,1.2556,13.6,0.8744,34,1004.736,"[1.4723, 4.0591]","[1.4723, 4.0591]",[0.0],[-1],4.059111528191217,0.01611111211111111,seed_only
s004,70,3.7396,formation,formation,2,true,,1377.606753739769,2.2785332704197496,1.7216,13.7,0.8812,312,1377.607,"[1.6107, 2.2785]","[1.6107, 2.2785]",[0.0],[-1],2.2785332704197496,0.015926336520625927,seed_only
s004,60,3.2054,formation,formation,2,true,,1377.606753739769,2.2785332704197496,1.7216,13.7,0.8837,312,1377.607,"[1.6107, 2.2785]","[1.6107, 2.2785]",[0.0],[-1],2.2785332704197496,0.015926336520625927,seed_only
s004,50,2.6711,formation,formation,2,true,,1377.606753739769,2.2785332704197496,1.7216,13.4,0.8662,312,1377.607,"[1.6107, 2.2785]","[1.6107, 2.2785]",[0.0],[-1],2.2785332704197496,0.015926336520625927,seed_only
s004,40,2.1369,formation,formation,2,false,recovery_failed,1377.606753739769,2.2785332704197496,,14.1,0.9080,12037,1377.607,"[1.6107, 2.2785]","[1.6107, 2.2785]",[0.0],[-1],2.2785332704197496,-0.14163146941974958,recovery_failed
s004,30,1.6027,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s007,100,7.1391,formation,formation,2,true,,961.2379246179729,5.906674881608229,1.2293,14.7,0.9597,58,961.238,"[3.3788, 5.9067]","[3.7355, 4.7233]",[0.0],[1],4.723279732027682,0.012377184562716826,optimized
s007,90,6.4252,formation,formation,2,true,,960.422462067296,5.96072793676417,1.2283,14.9,0.9729,58,960.422,"[2.8947, 5.9607]","[3.7355, 4.7233]",[0.0],[1],4.723279732027682,0.013278712063482988,optimized
s007,80,5.7113,formation,formation,2,true,,961.6579990618685,5.711277282787602,1.2299,14.7,0.9582,58,961.658,"[2.568, 5.7113]","[3.7355, 4.7233]",[0.0],[1],4.723279732027682,1.6032123983933388e-6,optimized
s007,70,4.9974,formation,formation,2,true,,967.6791956721819,4.964855975198305,1.2376,14.3,0.9321,58,967.679,"[1.4032, 4.9649]","[3.7355, 4.7233]",[0.0],[1],4.723279732027682,1.689091373713314e-9,optimized
s007,60,4.2835,formation,formation,2,true,,997.7126964942072,4.024186887837561,1.2760,13.8,0.8952,60,997.713,"[3.2002, 4.0242]","[3.3607, 3.9775]",[0.0],[-1],3.9774782646938727,0.01638854828236105,optimized
s007,50,3.5695,formation,formation,2,false,recovery_failed,1830.8821154671691,3.9773470775523414,,14.3,0.9318,13068,1830.882,"[3.3606, 3.9773]","[3.3606, 3.9773]",[0.0],[-1],3.9773470775523414,-0.4077973985523413,recovery_failed
s007,40,2.8556,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s007,30,2.1417,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s008,100,7.9691,formation,formation,2,true,,1102.430822196464,4.881475803031338,1.1406,14.0,0.8908,70,1102.431,"[4.4766, 4.8815]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01368059856111156,optimized
s008,90,7.1722,formation,formation,2,true,,1100.3255474357177,4.8647368696729005,1.1384,14.1,0.8959,70,1100.326,"[4.401, 4.8647]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.012103690572646679,optimized
s008,80,6.3753,formation,formation,2,true,,1154.735533166351,5.108647458103386,1.1947,13.6,0.8682,70,1154.736,"[5.5345, 5.1086]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01611111211111111,seed_only
s008,70,5.5784,formation,formation,2,true,,1154.735533166351,5.108647458103386,1.1947,13.6,0.8662,70,1154.736,"[5.5345, 5.1086]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01611111211111111,seed_only
s008,60,4.7815,formation,formation,2,true,,1210.5588037914958,3.8944161783895535,1.2525,14.2,0.9043,171,1210.559,"[3.8527, 3.8944]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,0.003574006407689012,optimized
s008,50,3.9845,formation,formation,2,true,,1243.8536208016171,3.6791415866745982,1.2869,16.9,1.0796,13241,1243.854,"[3.9464, 3.6791]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,0.014977529818473084,optimized
s008,40,3.1876,formation,formation,2,false,recovery_failed,1241.956492126924,3.5981697693053376,,14.7,0.9344,13241,1241.956,"[3.8473, 3.5982]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,-0.4105322053053375,recovery_failed
s008,30,2.3907,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,100,7.5978,formation,formation,2,true,,1382.0958039527966,7.321529294765853,1.2283,14.5,0.9160,274,1382.096,"[7.1929, 7.3215]","[7.4309, 7.4316]",[0.0],[-1],7.43162198399206,1.6731682535464643e-5,optimized
s012,90,6.8380,formation,formation,2,false,recovery_failed,1396.880294165759,7.368530307768887,,14.6,0.9216,16890,1396.88,"[7.3664, 7.3685]","[7.4309, 7.4316]",[0.0],[-1],7.43162198399206,-0.5304913407688865,recovery_failed
s012,80,6.0783,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,70,5.3185,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,60,4.5587,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,50,3.7989,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,40,3.0391,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,30,2.2793,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s015,100,6.0115,formation,formation,2,true,,1127.2984727977066,3.7505528199976954,1.1558,14.6,0.9362,38,1127.298,"[1.8598, 3.7506]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,3.7423128931325655e-6,optimized
s015,90,5.4104,formation,formation,2,true,,1127.2486262549319,3.7588024454723405,1.1558,14.6,0.9333,38,1127.249,"[1.8598, 3.7588]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,8.701013566175808e-7,optimized
