scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s002,100,6.7390,greedy,greedy,2,true,,702.8765800490903,6.048616009466787,1.1637,14.7,0.9645,11,702.877,"[0.9237, 6.0486]","[0.8864, 6.0152]",6.015245172246267,0.0021164074988489698,optimized
s002,90,6.0651,greedy,greedy,2,true,,703.3764005124049,6.018578164040527,1.1646,14.8,0.9704,11,703.376,"[0.9234, 6.0186]","[0.8864, 6.0152]",6.015245172246267,8.257967737172744e-5,optimized
s002,80,5.3912,greedy,greedy,2,false,recovery_failed,704.2015064666964,6.015245172246267,,15.1,0.9904,11,704.202,"[0.8864, 6.0152]","[0.8864, 6.0152]",6.015245172246267,-0.6240476922462674,recovery_failed
s002,70,4.7173,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,60,4.0434,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,50,3.3695,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,40,2.6956,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,30,2.0217,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,100,5.3423,greedy,greedy,2,true,,1004.6294444790959,5.340084264119987,1.2555,15.1,0.9747,34,1004.629,"[0.8085, 5.3401]","[0.79, 5.3422]",5.342223198863431,0.002168736880013178,optimized
s004,90,4.8080,greedy,greedy,2,false,recovery_failed,1004.7355331663507,5.342223198863431,,15.0,0.9682,34,1004.736,"[0.79, 5.3422]","[0.79, 5.3422]",5.342223198863431,-0.5341953978634315,recovery_failed
s004,80,4.2738,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,70,3.7396,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,60,3.2054,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,50,2.6711,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,40,2.1369,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,30,1.6027,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,100,7.1391,greedy,greedy,2,true,,947.702538357303,5.405670511210139,1.2120,16.2,1.0514,58,947.703,"[5.1436, 5.4057]","[5.3373, 6.1812]",6.181155938013509,0.013264778748203329,optimized
s007,90,6.4252,greedy,greedy,2,true,,948.3445670970007,5.486653609427459,1.2128,15.5,1.0118,58,948.345,"[5.1784, 5.4867]","[5.3373, 6.1812]",6.181155938013509,1.2934133590547514e-8,optimized
s007,80,5.7113,greedy,greedy,2,true,,987.8915858214932,5.711278447549164,1.2634,15.8,1.0313,58,987.892,"[5.0795, 5.7113]","[5.3373, 6.1812]",6.181155938013509,4.384508365262718e-7,optimized
s007,70,4.9974,greedy,greedy,2,true,,988.7861339679366,4.997369132799161,1.2646,15.7,1.0191,58,988.786,"[5.151, 4.9974]","[5.3373, 6.1812]",6.181155938013509,1.720083897538416e-8,optimized
s007,60,4.2835,greedy,greedy,2,false,recovery_failed,989.2491015674304,4.847504772398594,,15.6,1.0161,58,989.249,"[5.216, 4.8475]","[5.3373, 6.1812]",6.181155938013509,-0.5640453583985936,recovery_failed
s007,50,3.5695,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,40,2.8556,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s007,30,2.1417,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,100,7.9691,greedy,greedy,2,true,,1073.3347306746625,7.314125680220473,1.1105,16.3,1.0406,70,1073.335,"[6.0251, 7.3141]","[6.1875, 7.965]",7.965049646220603,2.3119675122667105e-5,optimized
s008,90,7.1722,greedy,greedy,2,true,,1100.9133656542842,7.090909659680894,1.1390,16.8,1.0724,70,1100.913,"[6.1026, 7.0909]","[6.1875, 7.965]",7.965049646220603,7.659049151950603e-5,optimized
s008,80,6.3753,greedy,greedy,2,true,,1096.6935549718326,6.325497372363254,1.1347,17.1,1.0912,70,1096.694,"[6.7529, 6.3255]","[6.1875, 7.965]",7.965049646220603,0.002567279502843827,optimized
s008,70,5.5784,greedy,greedy,2,false,recovery_failed,1107.3523637956946,6.192448518886519,,17.4,1.1072,70,1107.352,"[5.8679, 6.1924]","[6.1875, 7.965]",7.965049646220603,-0.6140835318865188,recovery_failed
s008,60,4.7815,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,50,3.9845,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,40,3.1876,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s008,30,2.3907,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,100,7.5978,greedy,greedy,2,true,,1381.0809179525781,7.5899935360890005,1.2274,15.2,0.9631,273,1381.081,"[0.9881, 7.59]","[0.9647, 7.5977]",7.59773679111789,0.00782742691099969,optimized
s012,90,6.8380,greedy,greedy,2,false,recovery_failed,1381.9326596319568,7.59773679111789,,15.1,0.9583,273,1381.933,"[0.9647, 7.5977]","[0.9647, 7.5977]",7.59773679111789,-0.7596978241178896,recovery_failed
s012,80,6.0783,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,70,5.3185,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,60,4.5587,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,50,3.7989,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,40,3.0391,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s012,30,2.2793,greedy,greedy,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s015,100,6.0115,greedy,greedy,2,true,,1154.5662452860745,6.003822127736568,1.1838,15.1,0.9670,38,1154.566,"[0.8445, 6.0038]","[0.8188, 6.0115]",6.011491103144428,0.0036485135115218066,optimized
