scenario_id,seed,goal_dist,n_landmarks,n_obstacles,L_ref,U_ref,U_ref_cont,wall_ref,reject_reason
s001,1068,750.0,4,3,784.650,10.73023182874267,9.238719531877663,15.3,trivial_straight
s002,1069,600.0,4,2,603.978,6.738995600494282,7.444976619697749,15.2,
s003,1070,600.0,2,1,600.194,9.912720011981477,7.183189909675999,15.1,trivial_straight
s004,1071,750.0,4,1,800.192,5.342252001372083,9.505626048421506,15.5,
s005,1072,900.0,3,1,915.883,11.355458649622598,9.457398440236522,15.4,trivial_straight
s006,1073,600.0,2,1,602.460,9.977299389925149,7.330622851757774,15.2,trivial_straight
s007,1074,750.0,4,1,781.920,7.139097357456053,9.129323995011825,15.4,
s008,1075,900.0,4,2,966.523,7.969091409693757,9.962248405551998,15.7,
s009,1076,900.0,2,3,989.762,10.123816943309363,11.020375172288022,15.6,trivial_straight
s010,1077,600.0,4,3,634.036,7.627514943231431,8.334259772826538,15.3,trivial_straight
s011,1078,600.0,4,3,600.000,7.142120844702417,7.142120844702417,15.3,trivial_straight
s012,1079,900.0,4,3,1125.200,7.5978199633240155,7.377409753582201,15.8,
s013,1080,600.0,2,2,613.911,10.300122508729595,7.901430091000668,15.3,trivial_straight
s014,1081,600.0,4,1,600.000,7.13142893537775,7.13142893537775,15.1,trivial_straight
s015,1082,900.0,3,2,975.329,6.011533056981863,9.483218802366354,15.6,
s016,1083,750.0,4,3,937.456,5.329820372083825,7.021036683583196,15.7,
s017,1084,750.0,2,3,913.034,8.955035735801417,7.75829279618206,15.6,
s018,1085,900.0,4,2,901.095,11.056209723767148,8.793834598260002,15.7,trivial_straight
s019,1086,900.0,2,2,900.000,8.705595330244181,8.705595330244181,15.3,trivial_straight
s020,1087,600.0,2,1,615.185,8.338451524785334,8.083611507895688,15.3,trivial_straight
s021,1088,750.0,2,1,750.034,10.730907606771138,7.963004980508936,15.6,trivial_straight
s022,1089,750.0,2,2,750.691,10.741532680847657,7.99203363104645,15.7,trivial_straight
s023,1090,600.0,3,3,635.808,5.096397221770512,8.1894462035943,15.3,
s024,1091,900.0,4,3,919.063,10.88498626415076,9.394054882082534,15.6,
s025,1092,600.0,4,3,760.413,5.29590137091225,6.6626883294605275,15.3,
s026,1093,600.0,4,2,664.723,8.298080892081346,9.25681628309503,15.6,trivial_straight
s027,1094,600.0,4,3,603.771,7.402932376030063,7.403738228222154,15.2,trivial_straight
s028,1095,750.0,3,3,778.744,5.3111511561929605,9.033849035009425,15.6,
s029,1096,900.0,4,2,990.726,5.00160209690374,6.817616693340914,15.6,
s030,1097,750.0,3,3,817.421,8.750066340967813,8.981347065565139,15.3,
s031,1098,900.0,4,3,923.570,8.74896318619548,9.552743387766789,15.7,
s032,1099,900.0,3,2,963.801,7.487680023715988,8.208760099578209,15.6,
s033,1100,600.0,4,2,749.059,5.6673791408548535,9.70675975978659,15.6,
s034,1101,900.0,2,1,900.000,8.751649718586188,8.751649718586188,15.1,trivial_straight
s035,1102,750.0,3,1,870.079,8.709211492962568,10.05905946198362,15.6,
s036,1103,600.0,2,2,708.465,5.387673697541923,9.704722187047018,15.5,
s037,1104,900.0,4,3,1050.576,5.82887720208659,5.529944269734567,15.7,
s038,1105,900.0,2,2,992.236,9.782327675748784,10.71488428697341,15.6,
s039,1106,600.0,3,1,618.061,9.979348550169187,8.272248009618382,15.2,trivial_straight
s040,1107,750.0,3,1,764.307,6.69804622397884,8.841861184908291,15.3,
s041,1108,600.0,4,2,601.956,9.926215200426684,7.307908871647609,15.3,trivial_straight
s042,1109,750.0,3,2,819.930,8.941224950679642,9.677641416573357,15.6,trivial_straight
s043,1110,750.0,3,1,767.098,9.508983829605679,9.310603853790449,15.6,
s044,1111,900.0,3,1,931.949,10.465320894024464,10.004193243126213,15.6,trivial_straight
s045,1112,750.0,3,3,808.304,8.780805122951369,9.519602713218044,15.7,
s046,1113,900.0,4,3,1011.951,10.007810843242664,8.772118636693458,15.7,
s047,1114,600.0,3,2,714.033,5.859603823045447,6.0472692279640645,15.3,
s048,1115,900.0,3,2,927.924,6.495215878062797,9.648773995319548,15.6,
s049,1116,900.0,4,3,919.682,11.418863936831432,9.428672076901801,15.6,
s050,1117,750.0,4,3,807.242,8.908598217962478,9.860056722693953,15.4,
s051,1118,750.0,2,1,750.000,7.9586929345241915,7.9586929345241915,15.2,trivial_straight
s052,1119,600.0,4,2,600.000,7.162544882559336,7.162544882559336,15.2,trivial_straight
s053,1120,600.0,2,3,708.865,5.95178187429152,9.469625357795225,15.3,
s054,1121,900.0,2,1,927.441,10.703982795405627,9.834045127822279,15.4,trivial_straight
s055,1122,900.0,4,3,990.511,5.048299897350922,6.6077278050809465,15.7,
s056,1123,600.0,3,3,775.412,6.97872815510639,6.303908612346612,15.6,trivial_straight
s057,1124,900.0,3,2,1030.005,5.139717038704263,5.597355025007388,15.7,
s058,1125,600.0,2,2,635.970,6.917282242326702,7.9455590062180175,15.3,
s059,1126,750.0,2,1,783.628,10.717020530474976,9.26725393462334,15.3,trivial_straight
s060,1127,600.0,3,3,630.063,7.418814169266947,8.256667652498606,15.2,
s061,1128,600.0,2,3,620.976,8.967685789494606,8.119577406235715,15.3,
s062,1129,750.0,2,3,805.492,5.214055967260858,9.652769211760159,15.8,
s063,1130,750.0,3,3,1017.211,5.2198002098956096,6.62372610372754,15.5,
s064,1131,750.0,2,2,804.925,10.159390806274029,9.771369743928553,15.3,
s065,1132,750.0,4,2,750.000,7.974784366095723,7.974784366095723,15.2,trivial_straight
s066,1133,600.0,3,1,619.671,5.345427519417408,8.477058631464843,15.2,
s067,1134,750.0,2,3,881.734,9.1966211712614,7.794053742799973,15.6,
s068,1135,600.0,4,2,681.664,4.92680121809707,6.886259148442114,15.3,
s069,1136,750.0,3,3,861.961,5.0933034370962735,8.280804378586284,15.6,
s070,1137,750.0,2,3,954.755,9.78733539267144,11.594629547101626,15.6,
s071,1138,750.0,3,2,752.541,10.733295710076574,8.239493534031125,15.5,trivial_straight
s072,1139,900.0,3,2,922.526,11.35718100298341,9.560308840169656,15.6,trivial_straight
s073,1140,600.0,4,2,658.158,5.163574434524998,8.650040594927363,15.2,
s074,1141,900.0,4,2,978.406,8.78973568477341,7.744369655022354,15.5,trivial_straight
s075,1142,600.0,4,3,654.395,5.696245070369046,8.840252098199507,15.5,
s076,1143,600.0,2,2,611.509,9.432158859520406,7.690071563447966,15.6,trivial_straight
s077,1144,600.0,4,1,600.000,7.133189725826868,7.133189725826868,15.1,trivial_straight
s078,1145,900.0,3,1,900.048,11.401022600538129,8.751481755131374,15.4,trivial_straight
s079,1146,900.0,4,3,938.121,8.315167383913023,9.436823114095072,15.6,
s080,1147,900.0,4,1,900.130,9.110486041761805,8.854343368034415,16.0,
s081,1148,750.0,3,1,803.467,5.265653863154134,7.482655371403245,15.3,
s082,1149,750.0,4,3,784.145,5.117815702480126,9.127636847026396,15.6,
s083,1150,900.0,4,2,988.632,10.272242685191426,11.101226856363155,15.6,trivial_straight
s084,1151,600.0,4,1,610.316,6.6722122188360915,7.8503569840179415,15.2,
