method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,50,50,1.000,1.1410,1.1276,20.7,18.4,1.329,1.194
hexspline_cl,90,50,50,1.000,1.1539,1.1306,20.5,18.4,1.320,1.184
hexspline_cl,80,50,50,1.000,1.1665,1.1385,20.9,18.3,1.342,1.183
hexspline_cl,70,50,50,1.000,1.2194,1.1675,21.8,18.2,1.403,1.178
hexspline_cl,60,50,48,0.960,1.3014,1.2417,29.0,18.7,1.861,1.204
hexspline_cl,50,50,40,0.800,1.3352,1.3047,28.4,18.4,1.824,1.180
hexspline_cl,40,50,30,0.600,1.3350,1.3199,22.7,18.2,1.461,1.169
hexspline_cl,30,50,20,0.400,1.4096,1.4077,21.6,18.1,1.396,1.164
greedy,100,50,45,0.900,1.2363,1.2191,15.1,15.1,0.978,0.969
greedy,90,50,13,0.260,1.1795,1.1646,15.6,15.5,1.008,1.012
greedy,80,50,10,0.200,1.2162,1.2570,15.6,15.6,1.009,1.009
greedy,70,50,7,0.140,1.2100,1.2505,15.7,15.7,1.021,1.019
greedy,60,50,4,0.080,1.2025,1.2033,15.7,15.3,1.023,1.003
greedy,50,50,2,0.040,1.1329,1.1329,16.7,16.7,1.084,1.084
greedy,40,50,2,0.040,1.1344,1.1344,16.7,16.7,1.081,1.081
greedy,30,50,2,0.040,1.1333,1.1333,16.5,16.5,1.071,1.071
formation,100,50,49,0.980,1.2204,1.1906,14.3,14.3,0.922,0.922
formation,90,50,47,0.940,1.2371,1.1906,14.3,14.3,0.923,0.921
formation,80,50,45,0.900,1.3383,1.2376,14.3,14.0,0.923,0.912
formation,70,50,36,0.720,1.3393,1.2410,14.5,14.1,0.936,0.916
formation,60,50,31,0.620,1.3666,1.2896,14.3,13.8,0.923,0.896
formation,50,50,27,0.540,1.3263,1.2987,14.4,13.8,0.927,0.900
formation,40,50,16,0.320,1.4465,1.3615,14.0,13.6,0.906,0.891
formation,30,50,11,0.220,1.4783,1.3442,13.7,13.6,0.891,0.886
sequential,100,50,50,1.000,1.1821,1.1530,14.5,14.4,0.934,0.930
sequential,90,50,50,1.000,1.1980,1.1930,14.4,14.3,0.930,0.931
sequential,80,50,50,1.000,1.2375,1.2003,14.3,14.2,0.924,0.921
sequential,70,50,47,0.940,1.4141,1.1947,14.4,14.2,0.930,0.918
sequential,60,50,37,0.740,1.3870,1.2175,14.2,14.0,0.915,0.909
sequential,50,50,26,0.520,1.3649,1.2209,14.2,13.9,0.919,0.901
sequential,40,50,12,0.240,2.4913,2.0720,14.2,14.0,0.915,0.908
sequential,30,50,8,0.160,2.7601,2.4386,14.1,14.1,0.912,0.910
clgbt,100,50,50,1.000,1.4687,1.3762,16.2,13.6,1.046,0.873
clgbt,90,50,45,0.900,1.5823,1.5062,19.6,13.7,1.262,0.880
clgbt,80,50,40,0.800,1.7303,1.6720,20.3,14.4,1.306,0.927
clgbt,70,50,35,0.700,1.7770,1.6985,74.2,16.7,4.753,1.095
clgbt,60,50,25,0.500,1.8432,1.7401,61.7,18.6,3.977,1.198
clgbt,50,50,16,0.320,2.0097,2.0211,120.7,20.9,7.811,1.360
clgbt,40,50,5,0.100,1.9762,1.8695,71.5,17.2,4.608,1.122
clgbt,30,50,3,0.060,2.0731,2.1787,17.3,16.9,1.120,1.107
