method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s002,100,6.7390,true,,682.2561815758581,6.027481163032533,1.1296,17.3
hexspline_cl,s002,90,6.0651,true,,682.5743231580326,5.951190843452082,1.1301,17.5
hexspline_cl,s002,80,5.3912,true,,662.8813107636304,3.1459742646229314,1.0975,17.7
hexspline_cl,s002,70,4.7173,true,,662.0863756845482,4.18174008640816,1.0962,17.5
hexspline_cl,s002,60,4.0434,true,,685.86945953166,3.570710498915274,1.1356,16.9
hexspline_cl,s002,50,3.3695,true,,834.3413642071903,1.4914250281961487,1.3814,17.0
hexspline_cl,s002,40,2.6956,true,,834.3413642071903,1.4914250281961487,1.3814,17.0
hexspline_cl,s002,30,2.0217,true,,834.1604953650103,1.5098597647214356,1.3811,17.0
hexspline_cl,s004,100,5.3423,true,,998.2021375098602,4.092549567350698,1.2475,17.6
hexspline_cl,s004,90,4.8080,true,,1004.7355331663507,4.059111528191217,1.2556,17.2
hexspline_cl,s004,80,4.2738,true,,1004.7355331663507,4.059111528191217,1.2556,17.2
hexspline_cl,s004,70,3.7396,true,,1004.7355331663507,3.688997627922317,1.2556,17.5
hexspline_cl,s004,60,3.2054,true,,1123.507252093527,2.226833808644612,1.4040,18.5
hexspline_cl,s004,50,2.6711,true,,1123.507252093527,2.226833808644612,1.4040,18.0
hexspline_cl,s004,40,2.1369,true,,1377.606753739769,2.082543174664265,1.7216,32.5
hexspline_cl,s004,30,1.6027,false,recovery_failed,1377.606753739769,2.082543173621458,,84.5
hexspline_cl,s007,100,7.1391,true,,813.9181094800731,4.7176239939324205,1.0409,17.7
hexspline_cl,s007,90,6.4252,true,,813.1428081709255,4.710475556209746,1.0399,17.6
hexspline_cl,s007,80,5.7113,true,,813.2663088211094,4.684814846836717,1.0401,17.6
hexspline_cl,s007,70,4.9974,true,,837.6757111313105,4.2644572415821935,1.0713,17.5
hexspline_cl,s007,60,4.2835,true,,961.2258038608288,3.439004540241596,1.2293,17.8
hexspline_cl,s007,50,3.5695,false,recovery_failed,1203.8476395427274,3.589747435925803,,83.3
hexspline_cl,s007,40,2.8556,false,not_run_after_fail,,,,0.0
hexspline_cl,s007,30,2.1417,false,not_run_after_fail,,,,0.0
hexspline_cl,s008,100,7.9691,true,,1095.6835643514082,4.794195473549864,1.1336,21.0
hexspline_cl,s008,90,7.1722,true,,1093.9849894557196,4.736163585513164,1.1319,21.3
hexspline_cl,s008,80,6.3753,true,,1095.9472521220027,4.685986124564807,1.1339,20.9
hexspline_cl,s008,70,5.5784,true,,1094.7993506624261,4.491226058080922,1.1327,21.1
hexspline_cl,s008,60,4.7815,true,,1095.5971561517435,4.358308725706297,1.1335,21.2
hexspline_cl,s008,50,3.9845,true,,1135.8623692497258,3.196715142138097,1.1752,19.8
hexspline_cl,s008,40,3.1876,true,,1135.8623692497258,3.1571650843440793,1.1752,20.6
hexspline_cl,s008,30,2.3907,false,recovery_failed,1381.9326596319565,3.15713806377966,,88.3
hexspline_cl,s012,100,7.5978,true,,1130.9001297604939,4.316756950106658,1.0051,51.5
hexspline_cl,s012,90,6.8380,true,,1117.8664665798974,4.468371146410699,0.9935,52.3
hexspline_cl,s012,80,6.0783,true,,1095.950043320912,4.428894706516192,0.9740,50.8
hexspline_cl,s012,70,5.3185,true,,1397.3040182721882,5.1034268608262465,1.2418,51.9
hexspline_cl,s012,60,4.5587,true,,1355.0852651669986,4.558692908261135,1.2043,102.4
hexspline_cl,s012,50,3.7989,true,,1367.1103751482683,3.7791496147680697,1.2150,106.5
hexspline_cl,s012,40,3.0391,false,recovery_failed,1431.9215678790888,3.588254181414934,,107.9
hexspline_cl,s012,30,2.2793,false,not_run_after_fail,,,,0.0
hexspline_cl,s015,100,6.0115,true,,1088.0859347492803,4.631265557334071,1.1156,19.0
hexspline_cl,s015,90,5.4104,true,,1087.9890880435657,4.783332188025894,1.1155,19.0
hexspline_cl,s015,80,4.8092,true,,1087.9890464123785,4.461456405806586,1.1155,18.9
hexspline_cl,s015,70,4.2081,true,,1119.361186262667,2.8896112423604947,1.1477,18.3
hexspline_cl,s015,60,3.6069,true,,1119.361186262667,2.8896112423604947,1.1477,18.4
hexspline_cl,s015,50,3.0058,true,,1119.361186262667,2.8896112423604947,1.1477,18.4
hexspline_cl,s015,40,2.4046,false,recovery_failed,1134.514639422443,2.617557534747419,,95.1
hexspline_cl,s015,30,1.8035,false,not_run_after_fail,,,,0.0
