scenario_id,arm,hex_width_m,num_agents,heading_states,joint_pairs,threshold,success,fail_reason,astar_iterations,primary_length,primary_disc_unc,primary_unc,L_ref_w100,length_ratio_vs_L_ref_w100,wall_s
s005,w100_a2,100.0,2,792,627264,6.275937249565342,false,no_solution,1000000,,,,954.529,,148.1
s005,wC_a2,160.0,2,384,147456,6.275937249565342,true,,16650,1018.8120455060334,5.4440739379093745,5.746455367121824,954.529,1.0673,22.0
s005,wC_ref,160.0,1,384,384,1.0e9,true,,97,963.4477013177982,6.655955962474165,5.687259187882366,954.529,1.0094,17.0
s012,w100_a2,100.0,2,792,627264,8.666140311810961,false,no_solution,1000000,,,,988.224,,170.3
s012,wC_a2,160.0,2,384,147456,8.666140311810961,true,,391579,1150.7398484086123,7.752374055066621,5.020572114299388,988.224,1.1645,88.0
s012,wC_ref,160.0,1,384,384,1.0e9,true,,437,1000.2331760881672,10.93643765073981,7.306119370871456,988.224,1.0121,17.0
s029,w100_a2,100.0,2,792,627264,3.9848691333907107,false,no_solution,1000000,,,,989.700,,178.7
s029,wC_a2,160.0,2,384,147456,3.9848691333907107,true,,4490,1190.861013436545,1.3488271220336665,2.5422698229727283,989.700,1.2033,20.0
s029,wC_ref,160.0,1,384,384,1.0e9,true,,62,944.5858622300484,3.9496190549049772,4.461934166376198,989.700,0.9544,17.0
s030,w100_a2,100.0,2,792,627264,8.214047735387338,false,no_solution,1000000,,,,852.675,,156.6
s030,wC_a2,140.0,2,384,147456,8.214047735387338,true,,11488,1019.2449068167878,6.015104057225989,7.664781649695194,852.675,1.1954,22.0
s030,wC_ref,140.0,1,384,384,1.0e9,false,no_solution,10374,,,,852.675,,17.0
