scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.2435,hexspline_cl,hexspline_cl,2,true,,700.7430378536156,6.3856039650794285,1.0595,17.1,1.1357,433,700.743,"[3.3119, 6.3856]","[3.7996, 6.2611]",6.2610838692585915,3.905407197982158e-8,optimized
s001,90,6.5192,hexspline_cl,hexspline_cl,2,true,,724.6299388258092,6.186882073179341,1.0956,16.9,1.1202,433,724.63,"[3.1603, 6.1869]","[3.7996, 6.2611]",6.2610838692585915,3.7752083178327345e-8,optimized
s001,80,5.7948,hexspline_cl,hexspline_cl,2,true,,690.9494961370267,5.262452846474531,1.0447,17.1,1.1335,434,690.949,"[4.4428, 5.2625]","[4.3521, 4.5975]",4.597481106405035,8.33297638877517e-9,optimized
s002,100,8.5710,hexspline_cl,hexspline_cl,2,true,,828.2346094311573,6.702989149048839,1.0380,20.0,1.4209,19130,828.235,"[5.1112, 6.703]","[6.4512, 6.6908]",6.690750113269523,9.859673650933109e-5,optimized
s002,90,7.7139,hexspline_cl,hexspline_cl,2,true,,799.2570508718655,6.642523094159304,1.0017,18.9,1.3441,19130,799.257,"[5.2423, 6.6425]","[6.4512, 6.6908]",6.690750113269523,7.160396185701412e-8,optimized
s002,80,6.8568,hexspline_cl,hexspline_cl,2,true,,825.4152552893478,6.856803321362585,1.0345,18.7,1.3281,19130,825.415,"[5.6221, 6.8568]","[6.4512, 6.6908]",6.690750113269523,7.0236374156706916e-6,optimized
s004,100,8.8480,hexspline_cl,hexspline_cl,2,true,,880.4192107216783,6.915803120494973,1.0028,19.3,1.3591,1281,880.419,"[6.6852, 6.9158]","[7.8393, 7.9964]",7.996436785985704,8.07074084971282e-6,optimized
s004,90,7.9632,hexspline_cl,hexspline_cl,2,true,,898.0352584662951,6.535367286956109,1.0228,17.5,1.2289,1963,898.035,"[6.9283, 6.5354]","[7.1553, 7.6578]",7.657849004331692,4.64524427569446e-7,optimized
s004,80,7.0784,hexspline_cl,hexspline_cl,2,true,,984.8863807196625,3.0242004206589113,1.1217,18.0,1.2649,26101,984.886,"[0.9368, 3.0242]","[1.2915, 6.1485]",6.14845181149113,0.013641531115411805,optimized
s005,100,3.8433,hexspline_cl,hexspline_cl,2,true,,919.7412450711042,3.718867484629287,1.0405,21.3,1.4908,35380,919.741,"[0.9688, 3.7189]","[0.9691, 3.3312]",3.3312315101438914,0.011666667663165244,optimized
s005,90,3.4589,hexspline_cl,hexspline_cl,2,true,,912.7269414227226,3.458929822187804,1.0325,21.8,1.5260,35380,912.727,"[0.8932, 3.4589]","[0.9691, 3.3312]",3.3312315101438914,4.348121960262574e-7,optimized
s005,80,3.0746,hexspline_cl,hexspline_cl,2,true,,979.6846160313988,1.978387362314867,1.1083,82.6,5.7803,1000000,979.685,"[1.8845, 1.9784]","[2.3859, 3.1114]",3.1113985324412075,0.01655942403633512,optimized
