scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.2435,straight_cont,straight_cont,2,false,recovery_failed,600.0,7.125696679157143,,15.3,1.0160,0,600.0,"[7.1257, 7.1257]","[7.13, 7.13]",7.130031467670417,-41.75995726121898,recovery_failed
s001,90,6.5192,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,80,5.7948,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,100,8.5710,straight_cont,straight_cont,2,false,recovery_failed,727.1511655779827,8.894734633573101,,16.4,1.1641,0,727.151,"[8.9144, 8.8947]","[7.6921, 7.6921]",7.692119128550593,-10.047095376266325,recovery_failed
s002,90,7.7139,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,80,6.8568,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,100,8.8480,straight_cont,straight_cont,2,false,recovery_failed,844.750767403554,9.602056046816932,,16.6,1.1663,0,844.751,"[9.6512, 9.6021]","[8.244, 8.244]",8.243987253047424,-24.30463314409948,recovery_failed
s004,90,7.9632,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,80,7.0784,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,100,3.8433,straight_cont,straight_cont,2,false,recovery_failed,800.159837812518,8.132912324836285,,17.2,1.2024,0,800.16,"[8.1437, 8.1329]","[8.2205, 8.2205]",8.220504125677433,-40.104704167158616,recovery_failed
s005,90,3.4589,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,80,3.0746,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
