method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,4,4,1.000,1.0352,1.0393,19.4,19.6,1.352,1.390
hexspline_cl,90,4,4,1.000,1.0381,1.0276,18.8,18.2,1.305,1.287
hexspline_cl,80,4,4,1.000,1.0773,1.0765,34.1,18.4,2.377,1.296
sequential,100,4,2,0.500,1.0262,1.0262,13.8,13.8,0.942,0.942
sequential,90,4,2,0.500,1.0322,1.0322,14.3,14.3,0.978,0.978
sequential,80,4,2,0.500,1.2611,1.2611,13.4,13.4,0.915,0.915
formation,100,4,4,1.000,1.0903,1.0790,14.8,14.8,1.027,1.037
formation,90,4,4,1.000,1.4793,1.4347,15.1,14.8,1.046,1.021
formation,80,4,4,1.000,1.4521,1.4120,15.6,15.2,1.082,1.042
straight_cont,100,4,0,0.000,,,,,,
straight_cont,90,4,0,0.000,,,,,,
straight_cont,80,4,0,0.000,,,,,,
