method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,6,5,0.833,1.0156,1.0424,21.3,17.1,1.583,1.272
hexspline_cl,90,6,5,0.833,1.0392,1.0162,20.7,16.8,1.540,1.243
hexspline_cl,80,6,5,0.833,1.0515,1.0408,20.4,16.6,1.517,1.233
sequential,100,6,5,0.833,1.1578,1.0912,13.6,13.9,1.007,1.009
sequential,90,6,5,0.833,1.1849,1.2207,13.1,13.2,0.970,0.954
sequential,80,6,5,0.833,1.1790,1.1929,13.1,13.0,0.969,0.968
formation,100,6,6,1.000,1.2792,1.2673,14.1,14.1,1.040,1.040
formation,90,6,4,0.667,1.9757,1.8215,14.3,14.3,1.064,1.071
formation,80,6,3,0.500,2.3023,2.2600,15.1,14.9,1.125,1.106
straight_cont,100,6,0,0.000,,,,,,
straight_cont,90,6,0,0.000,,,,,,
straight_cont,80,6,0,0.000,,,,,,
