scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s001,100,7.9062,discrete_only,discrete_only,2,true,,944.9551276110654,6.921190598227208,1.0448,33.2,1.8547,108104,944.955,"[4.882, 6.9212]","[4.882, 6.6845]",6.684528430049467
s001,95,7.5109,discrete_only,discrete_only,2,true,,944.9551276110654,6.921190598227208,1.0448,31.4,1.7532,108104,944.955,"[4.882, 6.9212]","[4.882, 6.6845]",6.684528430049467
s001,90,7.1156,discrete_only,discrete_only,2,true,,944.9551276110654,6.921190598227208,1.0448,32.0,1.7875,108104,944.955,"[4.882, 6.9212]","[4.882, 6.6845]",6.684528430049467
s001,85,6.7202,discrete_only,discrete_only,2,false,unc_violated,944.9551276110654,6.921190598227208,,31.9,1.7825,108104,944.955,"[4.882, 6.9212]","[4.882, 6.6845]",6.684528430049467
s001,80,6.3249,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,75,5.9296,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,70,5.5343,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,65,5.1390,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,60,4.7437,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,55,4.3484,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,50,3.9531,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,45,3.5578,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,40,3.1625,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,35,2.7672,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s001,30,2.3719,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,100,8.7866,discrete_only,discrete_only,2,false,unc_violated,723.7794976978059,8.789072368097223,,18.4,1.1570,2377,723.779,"[8.7866, 8.7891]","[8.7866, 8.7866]",8.78655759403951
s002,95,8.3472,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,90,7.9079,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,85,7.4686,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,80,7.0292,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,75,6.5899,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,70,6.1506,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,65,5.7113,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,60,5.2719,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,55,4.8326,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,50,4.3933,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,45,3.9540,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,40,3.5146,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,35,3.0753,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s002,30,2.6360,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,100,6.5157,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.4,1.1413,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,95,6.1900,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.4,1.1390,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,90,5.8642,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.5,1.1472,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,85,5.5384,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.2,1.1281,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,80,5.2126,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.3,1.1362,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,75,4.8868,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.5,1.1484,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,70,4.5610,discrete_only,discrete_only,2,true,,720.6447501809531,4.331147112811252,1.1999,18.4,1.1380,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,65,4.2352,discrete_only,discrete_only,2,false,unc_violated,720.6447501809531,4.331147112811252,,18.4,1.1396,2671,720.645,"[0.886, 4.3311]","[0.886, 3.9529]",3.952927648581032
s003,60,3.9094,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,55,3.5837,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,50,3.2579,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,45,2.9321,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,40,2.6063,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,35,2.2805,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s003,30,1.9547,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,100,4.8986,discrete_only,discrete_only,2,true,,944.9551276110654,4.370403970810787,1.0938,28.4,1.7433,69350,944.955,"[2.4392, 4.3704]","[2.4392, 3.7494]",3.749411440542693
s004,95,4.6536,discrete_only,discrete_only,2,true,,944.9551276110654,4.370403970810787,1.0938,28.4,1.7419,69350,944.955,"[2.4392, 4.3704]","[2.4392, 3.7494]",3.749411440542693
s004,90,4.4087,discrete_only,discrete_only,2,true,,944.9551276110654,4.370403970810787,1.0938,27.8,1.7011,69350,944.955,"[2.4392, 4.3704]","[2.4392, 3.7494]",3.749411440542693
s004,85,4.1638,discrete_only,discrete_only,2,false,unc_violated,944.9551276110654,4.370403970810787,,28.0,1.7166,69350,944.955,"[2.4392, 4.3704]","[2.4392, 3.7494]",3.749411440542693
s004,80,3.9189,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,75,3.6739,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,70,3.4290,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,65,3.1841,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,60,2.9391,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,55,2.6942,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,50,2.4493,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,45,2.2044,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,40,1.9594,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,35,1.7145,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s004,30,1.4696,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,100,6.2759,discrete_only,discrete_only,2,false,no_solution,null,null,,99.0,5.9143,500000,null,[],[],null
s005,95,5.9621,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,90,5.6483,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,85,5.3345,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,80,5.0207,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,75,4.7070,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,70,4.3932,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,65,4.0794,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,60,3.7656,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,55,3.4518,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,50,3.1380,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,45,2.8242,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,40,2.5104,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,35,2.1966,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s005,30,1.8828,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s006,100,9.0711,discrete_only,discrete_only,2,true,,650.1300117908407,6.925033499033841,1.0772,17.7,1.1037,18,650.13,"[1.0142, 6.925]","[1.0142, 6.9161]",6.916140095902797
