scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.9062,hexspline_cl,hexspline_cl,2,true,,905.0937052767976,7.531598022633662,1.0007,35.5,1.9829,108104,905.094,"[4.1434, 7.5316]","[4.882, 6.6845]",6.684528430049467,3.4178501695514285e-9,optimized
s001,95,7.5109,hexspline_cl,hexspline_cl,2,true,,904.8288890673305,7.425114980675883,1.0004,34.8,1.9441,108104,904.829,"[4.1529, 7.4251]","[4.882, 6.6845]",6.684528430049467,6.271970931504e-8,optimized
s001,90,7.1156,hexspline_cl,hexspline_cl,2,true,,935.7798755715318,7.046133392373509,1.0347,33.9,1.8957,108104,935.78,"[4.1796, 7.0461]","[4.882, 6.6845]",6.684528430049467,2.2790750647816438e-8,optimized
s001,85,6.7202,hexspline_cl,hexspline_cl,2,true,,904.2647335998113,6.679152777836977,0.9998,34.9,1.9494,108104,904.265,"[4.7067, 6.6792]","[4.882, 6.6845]",6.684528430049467,2.621131218598748e-6,optimized
s001,80,6.3249,hexspline_cl,hexspline_cl,2,true,,907.2897489015069,5.922676281409087,1.0032,34.9,1.9512,108188,907.29,"[6.4515, 5.9227]","[5.987, 6.1986]",6.198644630701916,8.287495231740216e-9,optimized
s001,75,5.9296,hexspline_cl,hexspline_cl,2,true,,897.3478131023422,5.929632397614715,0.9922,34.9,1.9473,109687,897.348,"[4.2327, 5.9296]","[3.927, 5.6485]",5.648499078693034,1.8938528523193554e-7,optimized
s001,70,5.5343,hexspline_cl,hexspline_cl,2,true,,978.8813597997317,3.4496389114218027,1.0823,83.5,4.6664,500000,978.881,"[3.197, 3.4496]","[3.2817, 5.5699]",5.5699291586003845,6.394862793968059e-5,optimized
s001,65,5.1390,hexspline_cl,hexspline_cl,2,true,,978.269475873658,3.428596840955866,1.0817,83.8,4.6812,500000,978.269,"[3.1467, 3.4286]","[3.2817, 5.5699]",5.5699291586003845,0.015596962689945097,optimized
s001,60,4.7437,hexspline_cl,hexspline_cl,2,true,,986.7481673528499,3.208954862331292,1.0910,81.0,4.5238,500000,986.748,"[3.0234, 3.209]","[3.2817, 5.5699]",5.5699291586003845,0.016545282098000286,optimized
s001,55,4.3484,hexspline_cl,hexspline_cl,2,true,,988.5953830700889,3.9394011225512715,1.0931,77.1,4.3083,500000,988.595,"[3.2741, 3.9394]","[3.2817, 5.5699]",5.5699291586003845,0.011569714724584783,optimized
s001,50,3.9531,hexspline_cl,hexspline_cl,2,true,,946.8884548318733,3.9530885698663485,1.0470,83.0,4.6375,500000,946.888,"[3.0811, 3.9531]","[3.2817, 5.5699]",5.5699291586003845,1.5513365170249926e-7,optimized
s001,45,3.5578,hexspline_cl,hexspline_cl,2,true,,975.4482544333488,3.2248174645457723,1.0785,81.6,4.5603,500000,975.448,"[3.1487, 3.2248]","[3.2817, 5.5699]",5.5699291586003845,0.011735857719599032,optimized
s001,40,3.1625,hexspline_cl,hexspline_cl,2,false,recovery_failed,975.0475585455875,3.224265080255929,,81.9,4.5760,500000,975.048,"[3.1483, 3.2243]","[3.2817, 5.5699]",5.5699291586003845,-0.06179390025592868,recovery_failed
s001,35,2.7672,hexspline_cl,hexspline_cl,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,30,2.3719,hexspline_cl,hexspline_cl,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,100,8.7866,hexspline_cl,hexspline_cl,2,true,,725.0513045718728,8.740375656463623,1.1371,19.5,1.2258,2377,725.051,"[8.7342, 8.7404]","[8.7866, 8.7866]",8.78655759403951,0.011302394225657483,optimized
s002,95,8.3472,hexspline_cl,hexspline_cl,2,true,,653.1927133604901,8.340884953280748,1.0244,20.9,1.3159,9662,653.193,"[3.5153, 8.3409]","[3.4963, 7.4008]",7.400848457204695,9.030399133330702e-9,optimized
s002,90,7.9079,hexspline_cl,hexspline_cl,2,true,,655.7528161813866,7.907858740558371,1.0284,20.9,1.3130,9662,655.753,"[3.5928, 7.9079]","[3.4963, 7.4008]",7.400848457204695,4.40944416286726e-5,optimized
s002,85,7.4686,hexspline_cl,hexspline_cl,2,true,,688.789662061589,6.709285129079514,1.0802,21.6,1.3623,9662,688.79,"[3.8768, 6.7093]","[3.4963, 7.4008]",7.400848457204695,1.2163244786367322e-9,optimized
s002,80,7.0292,hexspline_cl,hexspline_cl,2,true,,697.5883481667445,6.190355928482904,1.0940,21.7,1.3678,9687,697.588,"[2.8355, 6.1904]","[3.9479, 6.8196]",6.8195505579607945,1.7750891173617944e-9,optimized
s002,75,6.5899,hexspline_cl,hexspline_cl,2,true,,681.505424721698,5.050249541920958,1.0688,20.7,1.3047,10044,681.505,"[2.8731, 5.0502]","[3.3724, 4.5045]",4.5044545836328735,1.0300560571986352e-6,optimized
s002,70,6.1506,hexspline_cl,hexspline_cl,2,true,,764.5392416910527,4.796094356324835,1.1990,20.1,1.2677,10044,764.539,"[3.367, 4.7961]","[3.3724, 4.5045]",4.5044545836328735,0.010715432215128403,optimized
s002,65,5.7113,hexspline_cl,hexspline_cl,2,true,,764.5392416893551,4.796094356202547,1.1990,20.1,1.2677,10044,764.539,"[3.367, 4.7961]","[3.3724, 4.5045]",4.5044545836328735,0.010715432214990179,optimized
s002,60,5.2719,hexspline_cl,hexspline_cl,2,true,,764.5392416837841,4.796094355990923,1.1990,20.1,1.2681,10044,764.539,"[3.367, 4.7961]","[3.3724, 4.5045]",4.5044545836328735,0.010715432214858574,optimized
s002,55,4.8326,hexspline_cl,hexspline_cl,2,true,,763.0588723732698,4.70164032642043,1.1967,20.1,1.2668,10044,763.059,"[3.3584, 4.7016]","[3.3724, 4.5045]",4.5044545836328735,0.010757932105942971,optimized
s002,50,4.3933,hexspline_cl,hexspline_cl,2,true,,694.246043812084,4.392128140966447,1.0888,21.5,1.3533,10048,694.246,"[2.4585, 4.3921]","[2.9427, 4.185]",4.185019081251543,6.939233927055755e-9,optimized
s002,45,3.9540,hexspline_cl,hexspline_cl,2,true,,768.0004539352861,3.8928770820578946,1.2045,22.0,1.3827,38578,768.0,"[2.6627, 3.8929]","[2.6687, 3.559]",3.5589801668214007,0.011302394227035667,optimized
s002,40,3.5146,hexspline_cl,hexspline_cl,2,true,,936.1994671525804,3.1212164894780425,1.4683,34.7,2.1840,230739,936.199,"[0.915, 3.1212]","[0.9219, 3.3743]",3.3743303212562616,0.008285434907594886,optimized
s002,35,3.0753,hexspline_cl,hexspline_cl,2,true,,920.2952644462116,2.5469566607726652,1.4433,60.1,3.7830,500000,920.295,"[2.6976, 2.547]","[2.8108, 3.1497]",3.149716541894762,0.007533957663646684,optimized
s002,30,2.6360,hexspline_cl,hexspline_cl,2,true,,928.1531563204314,2.515697590121661,1.4556,60.1,3.7869,500000,928.153,"[2.6924, 2.5157]","[2.8108, 3.1497]",3.149716541894762,0.007519511124412709,optimized
s003,100,6.5157,hexspline_cl,hexspline_cl,2,true,,672.0936075577062,4.870599809868286,1.1191,19.3,1.1959,2671,672.094,"[0.6967, 4.8706]","[0.886, 3.9529]",3.952927648581032,0.01307179896388907,optimized
s003,95,6.1900,hexspline_cl,hexspline_cl,2,true,,680.4896790539954,6.189931175579869,1.1331,19.3,1.1969,2671,680.49,"[0.7269, 6.1899]","[0.886, 3.9529]",3.952927648581032,3.024142013074993e-5,optimized
s003,90,5.8642,hexspline_cl,hexspline_cl,2,true,,687.151704966574,5.859838584308796,1.1442,19.2,1.1877,2671,687.152,"[0.7654, 5.8598]","[0.886, 3.9529]",3.952927648581032,6.65230199956568e-5,optimized
s003,85,5.5384,hexspline_cl,hexspline_cl,2,true,,680.0743497528388,5.527686751796055,1.1324,19.3,1.1940,2671,680.074,"[0.7469, 5.5277]","[0.886, 3.9529]",3.952927648581032,3.9984830550565675e-5,optimized
s003,80,5.2126,hexspline_cl,hexspline_cl,2,true,,704.9367242614984,4.422731521905209,1.1738,19.1,1.1848,2671,704.937,"[0.8018, 4.4227]","[0.886, 3.9529]",3.952927648581032,0.01169191997524153,optimized
s003,75,4.8868,hexspline_cl,hexspline_cl,2,true,,692.5141883742803,4.813458252484721,1.1531,19.2,1.1871,2671,692.514,"[0.7948, 4.8135]","[0.886, 3.9529]",3.952927648581032,0.010170527460210535,optimized
s003,70,4.5610,hexspline_cl,hexspline_cl,2,true,,708.6242304713102,4.45830095928112,1.1799,19.1,1.1852,2671,708.624,"[0.8133, 4.4583]","[0.886, 3.9529]",3.952927648581032,0.011369804714248147,optimized
