scenario_id,seed,goal_dist,n_landmarks,n_obstacles,L_ref,U_ref,U_ref_cont,wall_ref
s001,1068,700.0,4,5,904.422,7.906175449511067,7.576237317476782,17.9
s002,1069,600.0,4,4,637.623,8.78655759403951,8.237226342982735,15.9
s003,1070,600.0,2,3,600.564,6.515747807007369,7.207327216856039,16.1
s004,1071,700.0,4,3,863.918,4.898564802383726,6.008529700394422,16.3
s005,1072,800.0,3,3,954.529,6.275937249565342,5.292846655325531,16.7
s006,1073,600.0,2,3,603.554,9.07107104807919,7.388038790914885,16.0
s007,1074,700.0,4,3,761.941,5.906794962722762,5.691436829129238,16.3
s008,1075,800.0,4,4,902.621,7.3296101958079865,6.596586184294379,16.7
s009,1076,800.0,2,5,897.067,8.065931408521802,10.017272993381187,16.7
s010,1077,600.0,4,5,708.210,8.37097990709624,8.027547312872947,16.4
s011,1078,600.0,4,5,859.410,6.816301269211814,5.644515569784634,16.1
s012,1079,800.0,4,5,988.224,8.666140311810961,6.579716503662942,16.9
s013,1080,600.0,2,4,782.452,9.219426289220632,9.592831932031835,16.2
s014,1081,600.0,4,3,635.254,4.1695613311393505,6.285886392030911,16.0
s015,1082,800.0,3,4,836.432,5.636207446249538,7.285006654479166,16.6
s016,1083,700.0,4,5,776.270,5.847566561613461,5.061787710286251,16.3
s017,1084,700.0,2,5,936.696,9.485263646894193,8.814280186160067,16.6
s018,1085,800.0,4,4,807.815,9.420508185265783,8.533562496454554,16.8
s019,1086,800.0,2,4,904.614,5.426663603733366,9.603644980684322,16.9
s020,1087,600.0,2,3,674.165,6.890660965081853,7.993692942192117,16.0
s021,1088,700.0,2,3,700.441,9.585989108418438,7.721229272437826,16.3
s022,1089,700.0,2,4,833.456,9.143750423195057,8.937380727800878,16.3
s023,1090,600.0,3,5,652.385,4.22552181738463,6.117326068466473,16.0
s024,1091,800.0,4,5,883.120,6.764952001094211,6.1667828197733465,16.7
s025,1092,600.0,4,5,809.543,4.578999179823081,5.256979358682858,16.1
s026,1093,600.0,4,4,819.162,7.631637486116797,6.177812441150693,16.1
s027,1094,600.0,4,5,608.335,5.580729672148964,6.974606866019562,16.0
s028,1095,700.0,3,5,938.058,9.204014250853337,7.967328685951124,16.4
s029,1096,800.0,4,4,989.700,3.9848691333907107,4.186468753577629,16.8
s030,1097,700.0,3,5,852.675,8.214047735387338,8.147464443195062,16.5
s031,1098,800.0,4,5,1033.425,8.283673288134453,7.757602711974036,17.0
s032,1099,800.0,3,4,893.076,6.260711364213953,5.636308653194217,16.5
s033,1100,600.0,4,4,754.079,5.3082512521563565,7.624679595340558,16.1
s034,1101,800.0,2,3,851.147,6.98469589316683,9.745433827596694,16.5
