scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status,sequential_leg1_length,sequential_replanned
s001,100,7.9062,sequential,sequential,2,true,,873.8115651198696,7.727842520876957,0.9662,18.2,1.0159,378,873.812,"[1.8676, 7.7278]","[3.927, 5.6485]",5.648498813074134,1.2827783532520693e-7,optimized,950.0,true
s001,95,7.5109,sequential,sequential,2,true,,875.5289682815009,7.51086703520913,0.9681,16.3,0.9128,378,875.529,"[2.0701, 7.5109]","[3.927, 5.6485]",5.648498813074134,6.417908702260888e-7,optimized,950.0,true
s001,90,7.1156,sequential,sequential,2,true,,874.893213039642,7.115557505583428,0.9674,16.6,0.9247,378,874.893,"[2.131, 7.1156]","[3.927, 5.6485]",5.648498813074134,1.3994165719566354e-6,optimized,950.0,true
s001,85,6.7202,sequential,sequential,2,true,,874.5227264442975,6.706654747529878,0.9669,16.4,0.9155,378,874.523,"[2.2538, 6.7067]","[3.927, 5.6485]",5.648498813074134,9.00260579580936e-6,optimized,950.0,true
s001,80,6.3249,sequential,sequential,2,true,,921.8362174229668,6.007589283172738,1.0193,15.7,0.8778,378,921.836,"[3.8939, 6.0076]","[3.927, 5.6485]",5.648498813074134,0.011531873992170023,optimized,950.0,true
s001,75,5.9296,sequential,sequential,2,true,,915.5448933292338,5.919869704085172,1.0123,16.5,0.9191,378,915.545,"[4.1586, 5.9199]","[3.927, 5.6485]",5.648498813074134,0.00976288291482863,optimized,950.0,true
s001,70,5.5343,sequential,sequential,2,true,,922.6850787147077,5.5343236638481015,1.0202,35.1,1.9604,159942,922.685,"[3.1959, 5.5343]","[3.927, 5.6485]",5.648498813074134,1.5115189899717052e-7,optimized,950.0,true
s001,65,5.1390,sequential,sequential,2,false,recovery_failed,931.1871768848408,5.489911530654932,,34.8,1.9456,159942,931.187,"[3.2964, 5.4899]","[3.927, 5.6485]",5.648498813074134,-0.3508964886549313,recovery_failed,950.0,true
s001,60,4.7437,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,55,4.3484,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,50,3.9531,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,45,3.5578,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,40,3.1625,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,35,2.7672,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s001,30,2.3719,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s002,100,8.7866,sequential,sequential,2,true,,708.445744628314,2.208204816443613,1.1111,17.7,1.1115,37416,708.446,"[0.9208, 2.2082]","[0.95, 3.4432]",3.443187207055732,1.8425731721217744e-6,optimized,750.0,false
s002,95,8.3472,sequential,sequential,2,true,,708.4799377997027,3.994384654361081,1.1111,17.4,1.0930,37416,708.48,"[0.9221, 3.9944]","[0.95, 3.4432]",3.443187207055732,0.0005425734757434621,optimized,750.0,false
s002,90,7.9079,sequential,sequential,2,true,,708.429710434544,2.1833336161990142,1.1110,17.4,1.0983,37416,708.43,"[0.921, 2.1833]","[0.95, 3.4432]",3.443187207055732,0.005375248827138217,optimized,750.0,false
s002,85,7.4686,sequential,sequential,2,true,,708.4680925392735,2.1531791654297874,1.1111,17.3,1.0916,37416,708.468,"[0.9224, 2.1532]","[0.95, 3.4432]",3.443187207055732,0.0004559289567989945,optimized,750.0,false
s002,80,7.0292,sequential,sequential,2,true,,708.4826110559611,2.1443692522307596,1.1111,17.4,1.0971,37416,708.483,"[0.9224, 2.1444]","[0.95, 3.4432]",3.443187207055732,0.0006187659566901639,optimized,750.0,false
s002,75,6.5899,sequential,sequential,2,true,,712.338015551564,2.1236579513099163,1.1172,16.8,1.0587,37416,712.338,"[0.9216, 2.1237]","[0.95, 3.4432]",3.443187207055732,0.009977564518144447,optimized,750.0,false
s002,70,6.1506,sequential,sequential,2,true,,708.4861292898016,2.1426121164216814,1.1111,17.5,1.1004,37416,708.486,"[0.9216, 2.1426]","[0.95, 3.4432]",3.443187207055732,8.421770078508417e-6,optimized,750.0,false
s002,65,5.7113,sequential,sequential,2,true,,708.5512372428406,2.131393498497957,1.1112,17.4,1.0953,37416,708.551,"[0.9218, 2.1314]","[0.95, 3.4432]",3.443187207055732,2.1376833981557863e-6,optimized,750.0,false
s002,60,5.2719,sequential,sequential,2,true,,714.600988575114,2.184587646438987,1.1207,16.7,1.0519,37416,714.601,"[0.9302, 2.1846]","[0.95, 3.4432]",3.443187207055732,0.011585890774294309,optimized,750.0,false
s002,55,4.8326,sequential,sequential,2,true,,708.6195925634795,2.066617555255426,1.1113,17.4,1.0984,37416,708.62,"[0.9268, 2.0666]","[0.95, 3.4432]",3.443187207055732,0.007033315787018709,optimized,750.0,false
s002,50,4.3933,sequential,sequential,2,true,,708.4579277772509,2.0120031357962214,1.1111,18.4,1.1591,37416,708.458,"[0.9452, 2.012]","[0.95, 3.4432]",3.443187207055732,0.007473078965625542,optimized,750.0,false
s002,45,3.9540,sequential,sequential,2,true,,771.0788903409498,1.615728217801748,1.2093,16.3,1.0271,21125,771.079,"[0.9228, 1.6157]","[0.95, 3.3242]",3.3242193027243094,0.013148677769653208,optimized,786.6025403784438,false
s002,40,3.5146,sequential,sequential,2,true,,771.7777339879726,1.6252810884025088,1.2104,16.3,1.0253,21125,771.778,"[0.9227, 1.6253]","[0.95, 3.3242]",3.3242193027243094,0.013202363755904957,optimized,786.6025403784438,false
s002,35,3.0753,sequential,sequential,2,false,recovery_failed,779.8904747740298,3.7654072783332384,,16.4,1.0342,22095,779.89,"[3.3239, 3.7654]","[3.359, 3.5356]",3.5356349079178764,-0.6901111203332384,recovery_failed,786.6025403784439,false
s002,30,2.6360,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s003,100,6.5157,sequential,sequential,2,true,,660.4731766928481,3.2072685235243585,1.0998,38.3,2.3715,217737,660.473,"[1.728, 3.2073]","[2.8445, 3.1347]",3.134741496740828,3.5596526686276775e-6,optimized,750.0000000000001,false
s003,95,6.1900,sequential,sequential,2,true,,714.0809183857828,2.663600904288828,1.1890,37.4,2.3152,217737,714.081,"[2.5167, 2.6636]","[2.8445, 3.1347]",3.134741496740828,0.005304178204848822,optimized,750.0000000000001,false
s003,90,5.8642,sequential,sequential,2,true,,691.9842833179393,3.331838557021511,1.1522,37.5,2.3210,217737,691.984,"[2.1583, 3.3318]","[2.8445, 3.1347]",3.134741496740828,3.117669291441416e-5,optimized,750.0000000000001,false
s003,85,5.5384,sequential,sequential,2,true,,631.0487264434594,1.899731384845299,1.0508,38.7,2.3946,217737,631.049,"[1.2353, 1.8997]","[2.8445, 3.1347]",3.134741496740828,1.2154942228586152e-5,optimized,750.0000000000001,false
s003,80,5.2126,sequential,sequential,2,true,,713.6127360784644,2.62193472670387,1.1882,37.4,2.3156,217737,713.613,"[2.489, 2.6219]","[2.8445, 3.1347]",3.134741496740828,0.005297719882408777,optimized,750.0000000000001,false
s003,75,4.8868,sequential,sequential,2,true,,709.1357630539625,2.4486253601522954,1.1808,37.3,2.3121,217737,709.136,"[2.3954, 2.4486]","[2.8445, 3.1347]",3.134741496740828,0.0047732590421324765,optimized,750.0000000000001,false
s003,70,4.5610,sequential,sequential,2,true,,689.3001847203905,3.272357944928335,1.1478,37.6,2.3311,217737,689.3,"[2.0839, 3.2724]","[2.8445, 3.1347]",3.134741496740828,2.139800585609919e-6,optimized,750.0000000000001,false
s003,65,4.2352,sequential,sequential,2,true,,712.6174539764352,2.5272033094719277,1.1866,37.4,2.3193,217737,712.617,"[2.4312, 2.5272]","[2.8445, 3.1347]",3.134741496740828,0.005266999152352434,optimized,750.0000000000001,false
