scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.9062,straight_cont,straight_cont,2,false,recovery_failed,713.9866675943671,8.475748404482198,,19.9,1.1085,0,713.987,"[8.275, 8.4757]","[7.7303, 7.7303]",7.730260802906696,-43.507224655308534,recovery_failed
s001,95,7.5109,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,90,7.1156,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,85,6.7202,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,80,6.3249,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,75,5.9296,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,70,5.5343,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,65,5.1390,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,60,4.7437,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,55,4.3484,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,50,3.9531,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,45,3.5578,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,40,3.1625,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,35,2.7672,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s001,30,2.3719,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s002,100,8.7866,straight_cont,straight_cont,2,true,,606.1117812920709,7.552108493534326,0.9506,17.3,1.0904,0,606.112,"[7.527, 7.5521]","[7.1366, 7.1366]",7.136563899010459,0.016042093900709098,optimized
s002,95,8.3472,straight_cont,straight_cont,2,true,,606.182966891869,7.553094957937223,0.9507,17.3,1.0873,0,606.183,"[7.5271, 7.5531]","[7.1366, 7.1366]",7.136563899010459,0.015968437885918008,optimized
s002,90,7.9079,straight_cont,straight_cont,2,true,,606.3114747894869,7.555381205405589,0.9509,17.2,1.0833,0,606.311,"[7.5269, 7.5554]","[7.1366, 7.1366]",7.136563899010459,0.015894779950508912,optimized
s002,85,7.4686,straight_cont,straight_cont,2,true,,606.2165030994574,7.466557994530534,0.9507,17.2,1.0851,0,606.217,"[7.4526, 7.4666]","[7.1366, 7.1366]",7.136563899010459,0.002016960469465978,optimized
s002,80,7.0292,straight_cont,straight_cont,2,true,,607.3304822944544,6.82464012967579,0.9525,18.5,1.1646,0,607.33,"[6.6422, 6.8246]","[7.1366, 7.1366]",7.136563899010459,0.00985559106914277,optimized
s002,75,6.5899,straight_cont,straight_cont,2,true,,607.3557426327548,5.9365981669096115,0.9525,18.4,1.1596,0,607.356,"[5.7984, 5.9366]","[7.1366, 7.1366]",7.136563899010459,0.01410427347091631,optimized
s002,70,6.1506,straight_cont,straight_cont,2,true,,607.3953961075267,5.106286844482781,0.9526,18.4,1.1612,0,607.395,"[5.0722, 5.1063]","[7.1366, 7.1366]",7.136563899010459,0.01400219542394648,optimized
s002,65,5.7113,straight_cont,straight_cont,2,true,,607.368513390344,4.692489212636826,0.9526,18.5,1.1621,0,607.369,"[4.6481, 4.6925]","[7.1366, 7.1366]",7.136563899010459,0.012199831190223723,optimized
s002,60,5.2719,straight_cont,straight_cont,2,true,,607.4099292285513,5.090064308184964,0.9526,18.5,1.1632,0,607.41,"[4.7082, 5.0901]","[7.1366, 7.1366]",7.136563899010459,0.01104243254121475,optimized
s002,55,4.8326,straight_cont,straight_cont,2,true,,607.4188444442925,4.325118438978108,0.9526,18.4,1.1555,0,607.419,"[4.1769, 4.3251]","[7.1366, 7.1366]",7.136563899010459,0.006720271733149218,optimized
s002,50,4.3933,straight_cont,straight_cont,2,true,,607.4128879306861,3.689989497843831,0.9526,18.3,1.1538,0,607.413,"[3.7503, 3.69]","[7.1366, 7.1366]",7.136563899010459,0.005590047525661078,optimized
s002,45,3.9540,straight_cont,straight_cont,2,true,,607.4043628474558,3.2870546979837223,0.9526,18.3,1.1517,0,607.404,"[3.672, 3.2871]","[7.1366, 7.1366]",7.136563899010459,0.004090688043577526,optimized
s002,40,3.5146,straight_cont,straight_cont,2,true,,607.4049903708776,3.3484837402932923,0.9526,18.3,1.1521,0,607.405,"[3.4821, 3.3485]","[7.1366, 7.1366]",7.136563899010459,0.0008598400039464028,optimized
s002,35,3.0753,straight_cont,straight_cont,2,true,,607.5964951311583,2.959188329522068,0.9529,18.4,1.1587,0,607.596,"[3.1528, 2.9592]","[7.1366, 7.1366]",7.136563899010459,0.00019588407438813835,optimized
s002,30,2.6360,straight_cont,straight_cont,2,true,,607.5665213950472,2.583605366494941,0.9529,19.6,1.2312,0,607.567,"[2.4855, 2.5836]","[7.1366, 7.1366]",7.136563899010459,1.55959624136906e-5,optimized
s003,100,6.5157,straight_cont,straight_cont,2,false,recovery_failed,600.7572197669975,7.142468638033148,,17.7,1.0969,0,600.757,"[7.1465, 7.1425]","[7.1664, 7.1664]",7.166425684317983,-0.6267198310331477,recovery_failed
s003,95,6.1900,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,90,5.8642,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,85,5.5384,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,80,5.2126,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,75,4.8868,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,70,4.5610,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,65,4.2352,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,60,3.9094,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,55,3.5837,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,50,3.2579,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,45,2.9321,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,40,2.6063,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,35,2.2805,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s003,30,1.9547,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,100,4.8986,straight_cont,straight_cont,2,false,recovery_failed,720.2692387954396,8.186370057447212,,20.2,1.2391,0,720.269,"[8.5037, 8.1864]","[7.6892, 7.6892]",7.689155730301267,-3.2878042554472113,recovery_failed
s004,95,4.6536,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,90,4.4087,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,85,4.1638,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,80,3.9189,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,75,3.6739,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,70,3.4290,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,65,3.1841,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,60,2.9391,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,55,2.6942,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,50,2.4493,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,45,2.2044,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,40,1.9594,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,35,1.7145,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s004,30,1.4696,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,100,6.2759,straight_cont,straight_cont,2,false,recovery_failed,845.1280944281228,9.146871869791623,,19.0,1.1327,0,845.128,"[9.1068, 9.1469]","[8.2173, 8.2173]",8.217310640370599,-7.954621801456054,recovery_failed
s005,95,5.9621,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,90,5.6483,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,85,5.3345,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,80,5.0207,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,75,4.7070,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,70,4.3932,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,65,4.0794,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,60,3.7656,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,55,3.4518,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,50,3.1380,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,45,2.8242,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,40,2.5104,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,35,2.1966,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s005,30,1.8828,straight_cont,straight_cont,2,false,not_run_after_fail,,,,0.0,,,,,,,,
s006,100,9.0711,straight_cont,straight_cont,2,true,,607.9191737617313,7.764659676630473,1.0072,19.2,1.1985,0,607.919,"[7.7362, 7.7647]","[7.1497, 7.1497]",7.149748286190439,0.004403544798909413,optimized
s006,95,8.6175,straight_cont,straight_cont,2,true,,607.030509217407,7.69637495829608,1.0058,19.7,1.2323,0,607.031,"[7.6695, 7.6964]","[7.1497, 7.1497]",7.149748286190439,0.006338994520645683,optimized
