method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,100,74,0.740,1.0272,1.0199,33.8,22.4,2.068,1.376
hexspline_cl,95,100,74,0.740,1.0230,1.0204,33.9,22.1,2.071,1.360
hexspline_cl,90,100,74,0.740,1.0314,1.0225,34.6,22.1,2.116,1.356
hexspline_cl,85,100,74,0.740,1.0350,1.0379,35.3,22.6,2.159,1.400
hexspline_cl,80,100,71,0.710,1.0512,1.0410,35.2,22.6,2.152,1.396
hexspline_cl,75,100,69,0.690,1.0714,1.0482,38.7,23.7,2.367,1.464
hexspline_cl,70,100,63,0.630,1.0937,1.0747,41.5,25.4,2.538,1.532
hexspline_cl,65,100,55,0.550,1.0980,1.0678,40.4,24.7,2.473,1.548
hexspline_cl,60,100,43,0.430,1.1000,1.0831,42.4,26.0,2.589,1.599
hexspline_cl,55,100,32,0.320,1.1145,1.1077,42.5,34.1,2.596,2.075
hexspline_cl,50,100,24,0.240,1.1118,1.0684,41.1,28.0,2.501,1.708
hexspline_cl,45,100,20,0.200,1.1358,1.1049,43.8,33.2,2.655,2.000
hexspline_cl,40,100,11,0.110,1.0977,1.0449,47.5,47.1,2.890,2.898
hexspline_cl,35,100,9,0.090,1.1346,1.1147,67.8,63.8,4.124,3.913
hexspline_cl,30,100,6,0.060,1.1820,1.1361,62.8,62.5,3.820,3.786
straight_cont,100,100,20,0.200,0.9119,0.9467,18.3,18.0,1.123,1.105
straight_cont,95,100,15,0.150,0.9119,0.9507,18.3,18.0,1.124,1.094
straight_cont,90,100,13,0.130,0.9189,0.9722,18.4,18.0,1.127,1.093
straight_cont,85,100,11,0.110,0.9454,0.9912,17.9,17.5,1.096,1.085
straight_cont,80,100,5,0.050,0.9438,0.9916,18.3,18.0,1.123,1.115
straight_cont,75,100,3,0.030,0.9818,0.9928,18.1,18.2,1.105,1.089
straight_cont,70,100,3,0.030,0.9819,0.9930,18.1,18.2,1.106,1.088
straight_cont,65,100,3,0.030,0.9820,0.9934,18.1,18.3,1.108,1.095
straight_cont,60,100,3,0.030,0.9820,0.9933,18.2,18.4,1.109,1.096
straight_cont,55,100,3,0.030,0.9825,0.9948,18.1,18.3,1.105,1.093
straight_cont,50,100,3,0.030,0.9829,0.9961,18.2,18.3,1.108,1.097
straight_cont,45,100,3,0.030,0.9830,0.9963,18.1,18.3,1.108,1.093
straight_cont,40,100,2,0.020,0.9748,0.9748,18.3,18.3,1.123,1.123
