agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,48.68722989841099,-87.91524151132158
1,3,147.21765225061625,-87.91529054237787
1,4,247.21328033909745,-87.91529054498099
1,5,347.2124327384445,-87.9152905488213
1,6,447.21696369895807,-87.9152905491188
1,7,547.2160488462104,-87.91529054850922
1,8,648.6872498307198,-87.91529055452835
1,9,698.687272067774,-174.51780427415844
1,10,802.7749839352801,-174.5178309197866
1,11,897.2993587006456,-174.517830924166
1,12,998.6872498436596,-174.5178318136388
1,13,1052.7594416746085,-87.91529055472294
1,14,1148.6872498454322,-87.91529055493848
1,15,1198.687249843717,-174.5178309271155
1,16,1247.957246181605,-262.1829302328404
1,17,1352.717189950602,-261.1203713173088
1,18,1452.8073090218743,-261.12037131522635
1,19,1552.7826454568756,-261.1203713062607
1,20,1647.139127403648,-261.120371300673
1,21,1748.6872498240334,-257.196847004745
1,22,1797.6052268956905,-174.51783091667278
1,23,1897.8613561512625,-174.5178309089892
1,24,2002.7835824040103,-174.51783091712278
1,25,2102.7885499584286,-174.51783091823006
1,26,2198.687249858244,-174.51783091954465
2,1,0.0,0.0
2,2,98.68893392651775,-2.290782516952854
2,3,147.97519427481072,85.28894735965329
2,4,247.65106426816297,85.28962076621538
2,5,347.22275019393453,85.29049682531087
2,6,447.22023365147766,85.29082166454583
2,7,548.6862915288598,85.29131250540159
2,8,648.6846796220085,85.29239268825455
2,9,748.6686541704601,85.29841606163897
2,10,847.2215344551336,88.09773515587945
2,11,947.2145129495528,89.41823622771206
2,12,1046.7031394821702,90.31484176587779
2,13,1146.7969962938362,84.31306058730125
2,14,1197.9751946682125,169.51538682630803
2,15,1303.4793567580252,169.52736793986622
2,16,1402.7803494787458,170.6534902286858
2,17,1502.780335061036,170.90977922352545
2,18,1602.7803520320901,170.85474581809223
2,19,1702.7770388937195,170.68584002483345
2,20,1802.7736381756224,170.47960923333437
2,21,1902.3488277363278,169.63855753802594
2,22,2002.474647908778,169.13291667294274
2,23,2049.0131274524065,84.31306024492164
2,24,2152.9528171090283,87.95876362288946
2,25,2252.7927147916434,85.59776022302957
2,26,2350.0,86.60254037844386
