obstacle_id,vertex_index,x,y,s11,s12,s21,s22
1,1,300.0,233.2,0.0,0.0,0.0,0.0
1,2,450.0,233.2,0.0,0.0,0.0,0.0
1,3,450.0,330.0,0.0,0.0,0.0,0.0
1,4,300.0,330.0,0.0,0.0,0.0,0.0
2,1,300.0,-26.6,0.0,0.0,0.0,0.0
2,2,450.0,-26.6,0.0,0.0,0.0,0.0
2,3,450.0,113.2,0.0,0.0,0.0,0.0
2,4,300.0,113.2,0.0,0.0,0.0,0.0
3,1,300.0,-330.0,0.0,0.0,0.0,0.0
3,2,450.0,-330.0,0.0,0.0,0.0,0.0
3,3,450.0,-146.6,0.0,0.0,0.0,0.0
3,4,300.0,-146.6,0.0,0.0,0.0,0.0
4,1,750.0,146.6,0.0,0.0,0.0,0.0
4,2,900.0,146.6,0.0,0.0,0.0,0.0
4,3,900.0,330.0,0.0,0.0,0.0,0.0
4,4,750.0,330.0,0.0,0.0,0.0,0.0
5,1,750.0,-113.2,0.0,0.0,0.0,0.0
5,2,900.0,-113.2,0.0,0.0,0.0,0.0
5,3,900.0,26.6,0.0,0.0,0.0,0.0
5,4,750.0,26.6,0.0,0.0,0.0,0.0
6,1,750.0,-330.0,0.0,0.0,0.0,0.0
6,2,900.0,-330.0,0.0,0.0,0.0,0.0
6,3,900.0,-233.2,0.0,0.0,0.0,0.0
6,4,750.0,-233.2,0.0,0.0,0.0,0.0
7,1,1200.0,233.2,0.0,0.0,0.0,0.0
7,2,1350.0,233.2,0.0,0.0,0.0,0.0
7,3,1350.0,330.0,0.0,0.0,0.0,0.0
7,4,1200.0,330.0,0.0,0.0,0.0,0.0
8,1,1200.0,-199.8,0.0,0.0,0.0,0.0
8,2,1350.0,-199.8,0.0,0.0,0.0,0.0
8,3,1350.0,113.2,0.0,0.0,0.0,0.0
8,4,1200.0,113.2,0.0,0.0,0.0,0.0
9,1,1200.0,-330.0,0.0,0.0,0.0,0.0
9,2,1350.0,-330.0,0.0,0.0,0.0,0.0
9,3,1350.0,-319.8,0.0,0.0,0.0,0.0
9,4,1200.0,-319.8,0.0,0.0,0.0,0.0
10,1,475.0,-26.6,0.0,0.0,0.0,0.0
10,2,700.0,-26.6,0.0,0.0,0.0,0.0
10,3,700.0,26.6,0.0,0.0,0.0,0.0
10,4,475.0,26.6,0.0,0.0,0.0,0.0
11,1,500.0,233.2,0.0,0.0,0.0,0.0
11,2,700.0,233.2,0.0,0.0,0.0,0.0
11,3,700.0,330.0,0.0,0.0,0.0,0.0
11,4,500.0,330.0,0.0,0.0,0.0,0.0
12,1,475.0,-330.0,0.0,0.0,0.0,0.0
12,2,700.0,-330.0,0.0,0.0,0.0,0.0
12,3,700.0,-233.2,0.0,0.0,0.0,0.0
12,4,475.0,-233.2,0.0,0.0,0.0,0.0
13,1,950.0,-26.6,0.0,0.0,0.0,0.0
13,2,1150.0,-26.6,0.0,0.0,0.0,0.0
13,3,1150.0,26.6,0.0,0.0,0.0,0.0
13,4,950.0,26.6,0.0,0.0,0.0,0.0
14,1,1000.0,233.2,0.0,0.0,0.0,0.0
14,2,1200.0,233.2,0.0,0.0,0.0,0.0
14,3,1200.0,300.0,0.0,0.0,0.0,0.0
14,4,1100.0,330.0,0.0,0.0,0.0,0.0
14,5,1000.0,300.0,0.0,0.0,0.0,0.0
15,1,1000.0,-85.0,0.0,0.0,0.0,0.0
15,2,1020.0,-110.0,0.0,0.0,0.0,0.0
15,3,1080.0,-110.0,0.0,0.0,0.0,0.0
15,4,1100.0,-85.0,0.0,0.0,0.0,0.0
15,5,1080.0,-60.0,0.0,0.0,0.0,0.0
15,6,1020.0,-60.0,0.0,0.0,0.0,0.0
16,1,1400.0,233.2,0.0,0.0,0.0,0.0
16,2,1700.0,233.2,0.0,0.0,0.0,0.0
16,3,1700.0,330.0,0.0,0.0,0.0,0.0
16,4,1400.0,330.0,0.0,0.0,0.0,0.0
17,1,240.0,60.0,0.0,0.0,0.0,0.0
17,2,275.0,60.0,0.0,0.0,0.0,0.0
17,3,275.0,113.2,0.0,0.0,0.0,0.0
17,4,240.0,113.2,0.0,0.0,0.0,0.0
18,1,700.0,146.6,0.0,0.0,0.0,0.0
18,2,725.0,146.6,0.0,0.0,0.0,0.0
18,3,725.0,199.8,0.0,0.0,0.0,0.0
18,4,700.0,199.8,0.0,0.0,0.0,0.0
19,1,1165.0,60.0,0.0,0.0,0.0,0.0
19,2,1195.0,60.0,0.0,0.0,0.0,0.0
19,3,1195.0,113.2,0.0,0.0,0.0,0.0
19,4,1165.0,113.2,0.0,0.0,0.0,0.0
20,1,60.0,-233.2,0.0,0.0,0.0,0.0
20,2,140.0,-233.2,0.0,0.0,0.0,0.0
20,3,140.0,-300.0,0.0,0.0,0.0,0.0
20,4,100.0,-330.0,0.0,0.0,0.0,0.0
20,5,60.0,-300.0,0.0,0.0,0.0,0.0
