agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,95.25322481494634,41.60064549728359
1,3,135.4836382333714,80.19784383659405
1,4,284.59470249446144,104.14493116591792
1,5,381.6864702557477,128.09160781987453
1,6,478.77424060865167,152.05182032583343
1,7,570.9654980183677,190.77815833249227
1,8,617.3640144896672,155.5930510443043
1,9,716.4702434397723,125.14223558360793
1,10,765.9875095430913,106.75944293051782
1,11,875.7833440638012,97.81171778563554
1,12,1022.9802585120575,122.23727845839242
1,13,1139.2030852966695,151.42110281921998
1,14,1252.4890722001144,168.6895405267457
1,15,1321.4212749494905,168.2393048542836
1,16,1425.4723262025882,167.55970309846956
1,17,1471.2777112538636,156.60460146725714
1,18,1566.5876345138488,150.26864287315368
1,19,1628.2059161558868,162.7536280352183
1,20,1630.740403359865,163.14708757959517
2,1,0.0,0.0
2,2,95.2532254500668,41.600604938489205
2,3,173.72647271523712,80.19663397843306
2,4,284.5947320974,104.14483671434358
2,5,381.6864006003177,128.091804794314
2,6,478.7738256853885,152.04914377271803
2,7,570.965467136316,190.77032029360365
2,8,617.3747096274046,144.98621517672603
2,9,716.7962740693856,130.7890520944331
2,10,766.3849892214548,130.62971874773777
2,11,862.1097081515908,117.73664470770565
2,12,1025.5350352257663,131.44179369178272
2,13,1142.6938546822676,143.45831751708303
2,14,1257.8406710661063,150.5113603359567
2,15,1321.0104922151963,155.4631309193037
2,16,1426.154544872631,162.04167711099615
2,17,1471.2627726336525,162.9048212798835
2,18,1568.7215782008866,166.34442512471324
2,19,1672.6841331223363,172.0600563231205
2,20,1700.0,173.20508075688772
