arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999546021312976,49.999999999999986,-86.60254037844388,100.0,0.0
200.0,1,2,0.9999546021312976,100.00000000000001,-173.20508075688772,150.0,-86.60254037844388
300.0,1,2,0.9933071490757153,150.0,-259.8076211353316,250.0,-86.6025403784439
400.0,1,2,0.9933071490757153,250.0,-259.8076211353316,350.0,-86.6025403784439
500.0,1,2,0.9933071490757153,350.0,-259.8076211353316,450.0,-86.6025403784439
600.0,1,2,0.9933071490757153,450.0,-259.8076211353316,550.0,-86.6025403784439
700.0,1,2,0.9933071490757153,550.0,-259.8076211353316,650.0,-86.6025403784439
800.0,1,2,0.9933071490757153,650.0,-259.8076211353316,750.0,-86.6025403784439
900.0,1,2,0.9999546021312976,750.0,-259.8076211353316,800.0,-173.2050807568877
1000.0,1,2,0.9999546021312976,850.0,-259.8076211353316,900.0,-173.2050807568877
1100.0,1,2,0.9999546021312976,950.0,-259.8076211353316,1000.0,-173.2050807568877
1200.0,1,2,0.999999694097773,1050.0,-259.8076211353316,1050.0,-259.8076211353316
1300.0,1,2,0.999999694097773,1150.0,-259.8076211353316,1150.0,-259.8076211353316
1400.0,1,2,0.999999694097773,1250.0,-259.8076211353316,1250.0,-259.8076211353316
1500.0,1,2,0.999999694097773,1350.0,-259.8076211353316,1350.0,-259.8076211353316
1600.0,1,2,0.999999694097773,1450.0,-259.8076211353316,1450.0,-259.8076211353316
1700.0,1,2,0.999999694097773,1550.0,-259.8076211353316,1550.0,-259.8076211353316
1800.0,1,2,0.999999694097773,1650.0,-259.8076211353316,1650.0,-259.8076211353316
1900.0,1,2,0.9999546021312976,1750.0,-259.8076211353316,1700.0,-173.2050807568877
2000.0,1,2,0.998238358364639,1800.0,-173.2050807568877,1650.0,-86.6025403784439
2100.0,1,2,0.9999546021312976,1750.0,-86.6025403784439,1700.0,0.0
2200.0,1,2,0.9999546021312976,1700.0,0.0,1750.0,86.6025403784439
2300.0,1,2,0.9999546021312976,1750.0,86.6025403784439,1700.0,173.20508075688772
