agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,50.0,-86.6025403784439
1,3,100.0,-173.2050807568877
1,4,150.0,-259.8076211353316
1,5,250.0,-259.8076211353316
1,6,350.0,-259.8076211353316
1,7,450.0,-259.8076211353316
1,8,550.0,-259.8076211353316
1,9,650.0,-259.8076211353316
1,10,750.0,-259.8076211353316
1,11,850.0,-259.8076211353316
1,12,950.0,-259.8076211353316
1,13,1050.0,-259.8076211353316
1,14,1150.0,-259.8076211353316
1,15,1250.0,-259.8076211353316
1,16,1350.0,-259.8076211353316
1,17,1450.0,-259.8076211353316
1,18,1550.0,-259.8076211353316
1,19,1650.0,-259.8076211353316
1,20,1750.0,-259.8076211353316
1,21,1800.0,-173.2050807568877
1,22,1750.0,-86.6025403784439
1,23,1700.0,0.0
1,24,1750.0,86.6025403784439
2,1,0.0,0.0
2,2,100.0,0.0
2,3,150.0,-86.6025403784439
2,4,250.0,-86.6025403784439
2,5,350.0,-86.6025403784439
2,6,450.0,-86.6025403784439
2,7,550.0,-86.6025403784439
2,8,650.0,-86.6025403784439
2,9,750.0,-86.6025403784439
2,10,800.0,-173.2050807568877
2,11,900.0,-173.2050807568877
2,12,1000.0,-173.2050807568877
2,13,1050.0,-259.8076211353316
2,14,1150.0,-259.8076211353316
2,15,1250.0,-259.8076211353316
2,16,1350.0,-259.8076211353316
2,17,1450.0,-259.8076211353316
2,18,1550.0,-259.8076211353316
2,19,1650.0,-259.8076211353316
2,20,1700.0,-173.2050807568877
2,21,1650.0,-86.6025403784439
2,22,1700.0,0.0
2,23,1750.0,86.6025403784439
2,24,1700.0,173.20508075688772
