agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,-0.18226387324831253,-0.1822638732483131
1,3,-0.18226387324829105,-0.1822638732482914
1,4,-0.18226387324828142,-0.1822638732482835
1,5,-0.18226387324828175,-0.18226387324828372
1,6,-0.1822638732482819,-0.18226387324828314
1,7,-0.18226387324828253,-0.18226387324828275
1,8,-0.18226387324828122,-0.18226387324828422
1,9,-0.18226387324827992,-0.18226387324828522
1,10,-0.18226387324828,-0.18226387324828458
1,11,-0.1822638732482785,-0.1822638732482864
1,12,-0.18226387324827656,-0.1822638732482857
1,13,-0.18226387324827323,-0.18226387324828133
1,14,-0.18226387324826973,-0.18226387324827936
1,15,-0.18226387324826512,-0.1822638732482772
1,16,-0.1822638732482633,-0.1822638732482736
1,17,-0.18226387324826904,-0.18226387324827256
1,18,-0.1822638732482757,-0.1822638732482781
1,19,-0.18226387324828144,-0.18226387324827809
2,1,0.0,0.0
2,2,99.77523874387961,-0.18226328959681357
2,3,149.81773693256667,86.22537112507884
2,4,249.8927562740782,86.14774986581453
2,5,349.8186321153008,86.7733777411338
2,6,449.8177361104384,86.78480404916172
2,7,549.8177362193151,86.78480405273632
2,8,649.8177360694189,86.78480393384714
2,9,749.8177363531717,86.4202754948703
2,10,849.8159563637357,86.4399532032728
2,11,949.7707101237153,87.04879980460007
2,12,1049.7441683253228,86.86435674350737
2,13,1100.234856696596,172.9161743664528
2,14,1200.220693154483,172.87357211445948
2,15,1300.1827733969515,173.01826481644318
2,16,1400.182263817196,173.02281674849687
2,17,1500.1822638646504,173.02281662091823
2,18,1600.1822638668368,173.0228166092033
2,19,1700.0,173.20508075688772
