method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,1,1,1.000,1.0132,1.0132,21.9,21.9,1.389,1.389
hexspline_cl,90,1,1,1.000,1.0131,1.0131,21.7,21.7,1.376,1.376
hexspline_cl,80,1,1,1.000,1.0133,1.0133,21.8,21.8,1.382,1.382
hexspline_cl,70,1,1,1.000,1.0267,1.0267,18.3,18.3,1.158,1.158
hexspline_cl,60,1,1,1.000,1.0299,1.0299,21.6,21.6,1.371,1.371
hexspline_cl,50,1,1,1.000,1.0320,1.0320,24.0,24.0,1.522,1.522
hexspline_cl,40,1,1,1.000,1.1120,1.1120,70.2,70.2,4.454,4.454
hexspline_cl,30,1,1,1.000,1.1131,1.1131,69.1,69.1,4.382,4.382
greedy,100,1,1,1.000,1.0192,1.0192,14.8,14.8,0.939,0.939
greedy,90,1,1,1.000,1.0192,1.0192,14.3,14.3,0.906,0.906
greedy,80,1,0,0.000,,,,,,
greedy,70,1,0,0.000,,,,,,
greedy,60,1,0,0.000,,,,,,
greedy,50,1,0,0.000,,,,,,
greedy,40,1,0,0.000,,,,,,
greedy,30,1,0,0.000,,,,,,
formation,100,1,0,0.000,,,,,,
formation,90,1,0,0.000,,,,,,
formation,80,1,0,0.000,,,,,,
formation,70,1,0,0.000,,,,,,
formation,60,1,0,0.000,,,,,,
formation,50,1,0,0.000,,,,,,
formation,40,1,0,0.000,,,,,,
formation,30,1,0,0.000,,,,,,
sequential,100,1,0,0.000,,,,,,
sequential,90,1,0,0.000,,,,,,
sequential,80,1,0,0.000,,,,,,
sequential,70,1,0,0.000,,,,,,
sequential,60,1,0,0.000,,,,,,
sequential,50,1,0,0.000,,,,,,
sequential,40,1,0,0.000,,,,,,
sequential,30,1,0,0.000,,,,,,
clgbt,100,1,1,1.000,1.0140,1.0140,29.3,29.3,1.859,1.859
clgbt,90,1,0,0.000,,,,,,
clgbt,80,1,0,0.000,,,,,,
clgbt,70,1,0,0.000,,,,,,
clgbt,60,1,0,0.000,,,,,,
clgbt,50,1,0,0.000,,,,,,
clgbt,40,1,0,0.000,,,,,,
clgbt,30,1,0,0.000,,,,,,
