method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s001,100,13.7495,true,,1737.6823253146385,9.722235326900577,1.0132,21.9
hexspline_cl,s001,90,12.3746,true,,1737.505007030441,9.723400526827652,1.0131,21.7
hexspline_cl,s001,80,10.9996,true,,1737.8292280359533,9.722460027609916,1.0133,21.8
hexspline_cl,s001,70,9.6247,true,,1760.7954877634486,8.8893728569046,1.0267,18.3
hexspline_cl,s001,60,8.2497,true,,1766.417533027573,7.2104154581903055,1.0299,21.6
hexspline_cl,s001,50,6.8748,true,,1769.901003430093,6.486795984344024,1.0320,24.0
hexspline_cl,s001,40,5.4998,true,,1907.1551947631863,3.5280151489875555,1.1120,70.2
hexspline_cl,s001,30,4.1249,true,,1909.084066141747,3.528821243069986,1.1131,69.1
greedy,s001,100,13.7495,true,,1748.0603298121696,12.22330415303401,1.0192,14.8
greedy,s001,90,12.3746,true,,1748.0789814763066,12.224252813950685,1.0192,14.3
greedy,s001,80,10.9996,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.7
greedy,s001,70,9.6247,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.7
greedy,s001,60,8.2497,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.7
greedy,s001,50,6.8748,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.9
greedy,s001,40,5.4998,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.9
greedy,s001,30,4.1249,false,recovery_failed,1748.6288400895266,12.2315608940734,,14.7
formation,s001,100,13.7495,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.3
formation,s001,90,12.3746,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.3
formation,s001,80,10.9996,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.3
formation,s001,70,9.6247,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.1
formation,s001,60,8.2497,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.1
formation,s001,50,6.8748,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.1
formation,s001,40,5.4998,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.0
formation,s001,30,4.1249,false,recovery_failed,2172.3800556748292,5.288213515034985,,14.2
sequential,s001,100,13.7495,false,no_solution,null,null,,11.2
sequential,s001,90,12.3746,false,no_solution,null,null,,11.4
sequential,s001,80,10.9996,false,no_solution,null,null,,11.3
sequential,s001,70,9.6247,false,no_solution,null,null,,11.4
sequential,s001,60,8.2497,false,no_solution,null,null,,11.4
sequential,s001,50,6.8748,false,no_solution,null,null,,11.4
sequential,s001,40,5.4998,false,no_solution,null,null,,11.3
sequential,s001,30,4.1249,false,no_solution,null,null,,11.4
clgbt,s001,100,13.7495,true,,1739.1281834427896,10.913241689784456,1.0140,29.3
clgbt,s001,90,12.3746,false,no_solution,null,null,,195.8
clgbt,s001,80,10.9996,false,no_solution,null,null,,195.2
clgbt,s001,70,9.6247,false,no_solution,null,null,,194.5
clgbt,s001,60,8.2497,false,no_solution,null,null,,193.9
clgbt,s001,50,6.8748,false,no_solution,null,null,,193.8
clgbt,s001,40,5.4998,false,no_solution,null,null,,194.0
clgbt,s001,30,4.1249,false,no_solution,null,null,,193.7
