obstacle_id,vertex_index,x,y,s11,s12,s21,s22
1,1,200.0,146.6,0.0,0.0,0.0,0.0
1,2,350.0,146.6,0.0,0.0,0.0,0.0
1,3,350.0,330.0,0.0,0.0,0.0,0.0
1,4,200.0,330.0,0.0,0.0,0.0,0.0
2,1,200.0,-26.6,0.0,0.0,0.0,0.0
2,2,350.0,-26.6,0.0,0.0,0.0,0.0
2,3,350.0,26.6,0.0,0.0,0.0,0.0
2,4,200.0,26.6,0.0,0.0,0.0,0.0
3,1,200.0,-330.0,0.0,0.0,0.0,0.0
3,2,350.0,-330.0,0.0,0.0,0.0,0.0
3,3,350.0,-146.6,0.0,0.0,0.0,0.0
3,4,200.0,-146.6,0.0,0.0,0.0,0.0
4,1,600.0,146.6,0.0,0.0,0.0,0.0
4,2,750.0,146.6,0.0,0.0,0.0,0.0
4,3,750.0,330.0,0.0,0.0,0.0,0.0
4,4,600.0,330.0,0.0,0.0,0.0,0.0
5,1,600.0,-113.2,0.0,0.0,0.0,0.0
5,2,750.0,-113.2,0.0,0.0,0.0,0.0
5,3,750.0,26.6,0.0,0.0,0.0,0.0
5,4,600.0,26.6,0.0,0.0,0.0,0.0
6,1,600.0,-330.0,0.0,0.0,0.0,0.0
6,2,750.0,-330.0,0.0,0.0,0.0,0.0
6,3,750.0,-233.2,0.0,0.0,0.0,0.0
6,4,600.0,-233.2,0.0,0.0,0.0,0.0
7,1,1000.0,233.2,0.0,0.0,0.0,0.0
7,2,1150.0,233.2,0.0,0.0,0.0,0.0
7,3,1150.0,330.0,0.0,0.0,0.0,0.0
7,4,1000.0,330.0,0.0,0.0,0.0,0.0
8,1,1000.0,-199.8,0.0,0.0,0.0,0.0
8,2,1150.0,-199.8,0.0,0.0,0.0,0.0
8,3,1150.0,113.2,0.0,0.0,0.0,0.0
8,4,1000.0,113.2,0.0,0.0,0.0,0.0
9,1,375.0,-26.6,0.0,0.0,0.0,0.0
9,2,525.0,-26.6,0.0,0.0,0.0,0.0
9,3,525.0,26.6,0.0,0.0,0.0,0.0
9,4,375.0,26.6,0.0,0.0,0.0,0.0
10,1,425.0,233.2,0.0,0.0,0.0,0.0
10,2,575.0,233.2,0.0,0.0,0.0,0.0
10,3,575.0,330.0,0.0,0.0,0.0,0.0
10,4,425.0,330.0,0.0,0.0,0.0,0.0
11,1,425.0,-330.0,0.0,0.0,0.0,0.0
11,2,575.0,-330.0,0.0,0.0,0.0,0.0
11,3,575.0,-233.2,0.0,0.0,0.0,0.0
11,4,425.0,-233.2,0.0,0.0,0.0,0.0
12,1,775.0,-26.6,0.0,0.0,0.0,0.0
12,2,925.0,-26.6,0.0,0.0,0.0,0.0
12,3,925.0,26.6,0.0,0.0,0.0,0.0
12,4,775.0,26.6,0.0,0.0,0.0,0.0
13,1,800.0,233.2,0.0,0.0,0.0,0.0
13,2,900.0,233.2,0.0,0.0,0.0,0.0
13,3,900.0,330.0,0.0,0.0,0.0,0.0
13,4,800.0,330.0,0.0,0.0,0.0,0.0
14,1,1200.0,233.2,0.0,0.0,0.0,0.0
14,2,1400.0,233.2,0.0,0.0,0.0,0.0
14,3,1400.0,330.0,0.0,0.0,0.0,0.0
14,4,1200.0,330.0,0.0,0.0,0.0,0.0
