agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,-0.1822638732482582,-0.18226387324827206
1,3,-0.18226387324825916,-0.182263873248269
1,4,-0.1822638732482585,-0.18226387324826748
1,5,-0.18226387324825866,-0.18226387324826784
1,6,-0.1822638732482587,-0.18226387324826823
1,7,-0.182263873248258,-0.1822638732482689
1,8,-0.182263873248259,-0.18226387324826962
1,9,-0.18226387324825863,-0.18226387324827012
1,10,-0.18226387324826068,-0.18226387324827156
1,11,-0.18226387324826177,-0.18226387324827392
1,12,-0.18226387324826435,-0.18226387324827897
1,13,-0.1822638732482668,-0.18226387324828375
1,14,-0.18226387324827478,-0.18226387324829652
1,15,-0.18226387324828877,-0.18226387324830665
1,16,-0.18226387324833848,-0.1822638732482537
2,1,0.0,0.0
2,2,99.78638645051133,-0.18226351295195062
2,3,149.81773650467164,86.3203451161987
2,4,249.8552273570524,86.13051277039212
2,5,349.81857833184006,86.76700706302233
2,6,449.8177361691883,86.7848015006746
2,7,549.817736042458,86.42027270964765
2,8,649.7970953098835,86.43666662859033
2,9,749.6997012164422,87.10728886350947
2,10,849.7318392604545,86.8740376505187
2,11,900.2287050194462,172.92906247940962
2,12,1000.2091272076451,172.81328489858683
2,13,1100.1826747805505,173.0165516139954
2,14,1200.1822639701668,173.02281673779058
2,15,1300.182263759202,173.02281665185666
2,16,1400.0,173.20508075688772
