method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,1,1,1.000,1.0014,1.0014,21.7,21.7,1.331,1.331
hexspline_cl,90,1,1,1.000,1.0008,1.0008,22.0,22.0,1.351,1.351
hexspline_cl,80,1,1,1.000,1.0012,1.0012,21.3,21.3,1.310,1.310
hexspline_cl,70,1,1,1.000,1.0031,1.0031,19.5,19.5,1.197,1.197
hexspline_cl,60,1,1,1.000,1.0652,1.0652,17.8,17.8,1.090,1.090
hexspline_cl,50,1,1,1.000,1.0563,1.0563,18.4,18.4,1.130,1.130
hexspline_cl,40,1,1,1.000,1.0644,1.0644,17.8,17.8,1.091,1.091
hexspline_cl,30,1,1,1.000,1.0648,1.0648,17.8,17.8,1.092,1.092
greedy,100,1,1,1.000,1.0244,1.0244,15.3,15.3,0.942,0.942
greedy,90,1,1,1.000,1.0244,1.0244,15.7,15.7,0.965,0.965
greedy,80,1,0,0.000,,,,,,
greedy,70,1,0,0.000,,,,,,
greedy,60,1,0,0.000,,,,,,
greedy,50,1,0,0.000,,,,,,
greedy,40,1,0,0.000,,,,,,
greedy,30,1,0,0.000,,,,,,
formation,100,1,0,0.000,,,,,,
formation,90,1,0,0.000,,,,,,
formation,80,1,0,0.000,,,,,,
formation,70,1,0,0.000,,,,,,
formation,60,1,0,0.000,,,,,,
formation,50,1,0,0.000,,,,,,
formation,40,1,0,0.000,,,,,,
formation,30,1,0,0.000,,,,,,
sequential,100,1,0,0.000,,,,,,
sequential,90,1,0,0.000,,,,,,
sequential,80,1,0,0.000,,,,,,
sequential,70,1,0,0.000,,,,,,
sequential,60,1,0,0.000,,,,,,
sequential,50,1,0,0.000,,,,,,
sequential,40,1,0,0.000,,,,,,
sequential,30,1,0,0.000,,,,,,
clgbt,100,1,0,0.000,,,,,,
clgbt,90,1,0,0.000,,,,,,
clgbt,80,1,0,0.000,,,,,,
clgbt,70,1,0,0.000,,,,,,
clgbt,60,1,0,0.000,,,,,,
clgbt,50,1,0,0.000,,,,,,
clgbt,40,1,0,0.000,,,,,,
clgbt,30,1,0,0.000,,,,,,
