method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s001,100,12.6496,true,,1415.6080182465869,7.642765241253271,1.0014,21.7
hexspline_cl,s001,90,11.3846,true,,1414.7210335570537,7.61924373538065,1.0008,22.0
hexspline_cl,s001,80,10.1197,true,,1415.3843459427853,7.632313904443956,1.0012,21.3
hexspline_cl,s001,70,8.8547,true,,1418.0320435673223,8.85470350515356,1.0031,19.5
hexspline_cl,s001,60,7.5897,true,,1505.7638961430653,3.1387076020642635,1.0652,17.8
hexspline_cl,s001,50,6.3248,true,,1493.1676228085717,3.3947419990161767,1.0563,18.4
hexspline_cl,s001,40,5.0598,true,,1504.7209866331173,3.1740435505614006,1.0644,17.8
hexspline_cl,s001,30,3.7949,true,,1505.2731328120115,3.16713799159389,1.0648,17.8
greedy,s001,100,12.6496,true,,1448.0550799749813,10.945130964053728,1.0244,15.3
greedy,s001,90,11.3846,true,,1448.0620723011402,10.945532483609687,1.0244,15.7
greedy,s001,80,10.1197,false,recovery_failed,1448.628840089527,10.954350308167712,,15.7
greedy,s001,70,8.8547,false,recovery_failed,1448.628840089527,10.954350308167712,,14.5
greedy,s001,60,7.5897,false,recovery_failed,1448.628840089527,10.954350308167712,,14.4
greedy,s001,50,6.3248,false,recovery_failed,1448.628840089527,10.954350308167712,,14.4
greedy,s001,40,5.0598,false,recovery_failed,1448.628840089527,10.954350308167712,,14.4
greedy,s001,30,3.7949,false,recovery_failed,1448.628840089527,10.954350308167712,,14.5
formation,s001,100,12.6496,false,recovery_failed,1966.6284630144,3.987557342859221,,15.0
formation,s001,90,11.3846,false,recovery_failed,1966.6284630144,3.987557342859221,,14.9
formation,s001,80,10.1197,false,recovery_failed,1966.6284630144,3.987557342859221,,14.9
formation,s001,70,8.8547,false,recovery_failed,1966.6284630144,3.987557342859221,,13.8
formation,s001,60,7.5897,false,recovery_failed,1966.6284630144,3.987557342859221,,13.8
formation,s001,50,6.3248,false,recovery_failed,1966.6284630144,3.987557342859221,,13.9
formation,s001,40,5.0598,false,recovery_failed,1966.6284630144,3.987557342859221,,13.8
formation,s001,30,3.7949,false,recovery_failed,1966.6284630144,3.987557342859221,,13.8
sequential,s001,100,12.6496,false,no_solution,null,null,,11.5
sequential,s001,90,11.3846,false,no_solution,null,null,,11.5
sequential,s001,80,10.1197,false,no_solution,null,null,,11.5
sequential,s001,70,8.8547,false,no_solution,null,null,,10.5
sequential,s001,60,7.5897,false,no_solution,null,null,,10.7
sequential,s001,50,6.3248,false,no_solution,null,null,,10.7
sequential,s001,40,5.0598,false,no_solution,null,null,,10.7
sequential,s001,30,3.7949,false,no_solution,null,null,,10.6
clgbt,s001,100,12.6496,false,recovery_failed,2153.9764715832634,4.9381898327438,,70.8
clgbt,s001,90,11.3846,false,recovery_failed,2153.8585057358932,4.940824747541702,,72.9
clgbt,s001,80,10.1197,false,recovery_failed,2153.782652865365,4.940377646262257,,70.3
clgbt,s001,70,8.8547,false,recovery_failed,2153.593797872753,4.942081418198257,,66.9
clgbt,s001,60,7.5897,false,recovery_failed,2148.9927779101963,5.968766742994403,,68.9
clgbt,s001,50,6.3248,false,no_solution,null,null,,192.7
clgbt,s001,40,5.0598,false,no_solution,null,null,,190.8
clgbt,s001,30,3.7949,false,no_solution,null,null,,191.3
