agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,65.22451020878519,-33.591382148266206
1,3,118.39478864633668,-59.452502107262426
1,4,203.33512892562388,-78.52286460635108
1,5,310.85660893419015,-101.11319015261569
1,6,422.5794443893163,-122.20998650026763
1,7,517.9005982381951,-140.6695516181865
1,8,599.1991875129768,-151.2441499707751
1,9,647.8492068664189,-157.60032778085386
1,10,848.8203851842686,-183.8258152592489
1,11,893.7493420545085,-191.615287271352
1,12,988.048259244943,-205.78551286633683
1,13,1077.9823052287068,-248.10692894348705
1,14,1168.0689833482477,-287.36723495249686
1,15,1296.5225245395345,-299.38917309625043
1,16,1369.8657216633148,-286.70144618895415
1,17,1453.4193469756349,-253.03462252300346
1,18,1537.8691786974855,-210.8308614321985
1,19,1642.1471749487362,-140.68558394348787
1,20,1654.9152688247088,-137.96174761187953
2,1,0.0,0.0
2,2,79.92664757171886,37.09200872093972
2,3,113.30324936821518,47.3238706477519
2,4,200.57218321275212,82.5034727784046
2,5,298.3014394728148,105.70801349628411
2,6,412.17138949084114,122.00417466500875
2,7,516.7513711591878,135.15180952975734
2,8,598.2032643835084,124.54469466108263
2,9,709.1174794484829,113.51990420384539
2,10,811.2585896125144,109.6238555119075
2,11,922.8455151540622,108.88882851565643
2,12,1031.5525474437013,120.35605163138774
2,13,1125.172029801449,146.38931214735774
2,14,1229.7756921058256,153.04402549468944
2,15,1332.8864946854767,154.73819312608614
2,16,1453.5978039613688,144.49967710633098
2,17,1504.9026298401116,139.94717980054833
2,18,1576.670321494285,135.04922301900697
2,19,1653.6288703724035,131.748911727508
2,20,1700.0,173.20508075688772
