trial,reached_goal,goal_distance_m,max_penetration_m,max_hull_penetration_m,collision_sensor_hits,n_skipped_waypoints,rms_cross_track_m,max_cross_track_m,arc_length_m,planned_length_m,ticks,terminal_est_error_m,terminal_unc_m,unc_threshold_m,planner_predicted_unc_m,comm_events,landmark_events,term_err_x,term_err_y,auv1_rms_cross_track_m,auv1_max_penetration_m,auv1_n_skipped_waypoints
mc0,True,3.43743,0,0,0,0,3.16233,8.1756,1100.8,1081.65,15294,2.9778,1.47202,1.8,1.79601,3,32,2.9747409981539477,-0.13500406926560826,2.78184,0,0
mc1,True,6.34194,0,0,0,0,3.302,11.2005,1099.72,1081.65,15281,5.92499,1.43055,1.8,1.79601,3,32,5.9055057258884744,0.48014312274328197,2.37245,0,0
mc2,True,2.9438,0,0,0,0,2.49128,7.00126,1098.92,1081.65,15257,3.11397,1.43119,1.8,1.79601,3,31,3.1131368873424208,0.07185811247027907,2.82556,0,0
mc3,True,4.1717,0,0,0,0,2.49939,6.49557,1098.16,1081.65,15252,3.88951,1.49066,1.8,1.79601,3,32,2.628892110965353,2.866564857044367,2.39887,0,0
mc4,True,0.410337,0,0,0,0,2.43675,5.98892,1102.67,1081.65,15315,0.207199,1.44244,1.8,1.79601,3,32,0.20289874208208403,-0.0419960673247326,2.35381,0,0
mc5,True,0.95298,0,0,0,0,2.26554,6.53152,1099.04,1081.65,15259,2.00565,1.48002,1.8,1.79601,3,31,1.7873424903343675,-0.909975417647777,2.3031,0,0
mc6,True,3.51873,0,0,0,0,2.17333,7.09281,1098.43,1081.65,15244,1.73683,1.57891,1.8,1.79601,3,32,-0.9327855058033947,1.4650918680612626,2.44267,0,0
mc7,True,1.18889,0,0,0,0,2.15881,4.80448,1096,1081.65,15213,1.34449,1.47369,1.8,1.79601,3,32,1.3400619270146308,-0.10907196724496249,2.45197,0,0
mc8,True,5.21197,0,0,0,0,2.65105,6.85929,1098.77,1081.65,15260,2.10189,1.43218,1.8,1.79601,3,31,1.908953300189978,0.8796878748267876,2.42088,0,0
mc9,True,4.73539,0,0,0,0,3.00251,9.27533,1100.05,1081.65,15278,5.79236,1.43117,1.8,1.79601,3,32,5.46557633652435,-1.918056130128599,2.08145,0,0
mc10,True,5.6726,0,0,0,0,2.42029,7.7303,1094.67,1081.65,15197,2.78081,1.49496,1.8,1.79601,3,31,2.554163188016105,1.0996163382843005,2.36119,0,0
mc11,True,5.85063,0,0,0,0,3.08015,9.03466,1100.76,1081.65,15294,3.19208,1.43278,1.8,1.79601,3,30,2.3583877919338647,2.1511342905546336,2.01522,0,0
mc12,True,6.49161,0,0,0,0,3.48558,8.20442,1102.08,1081.65,15317,5.40463,1.42425,1.8,1.79601,3,31,4.226919098074177,3.367966506503915,2.40793,0,0
mc13,True,7.5386,0,0,0,0,2.83369,11.5505,1098.18,1081.65,15253,3.26147,1.7462,1.8,1.79601,3,32,3.1753702053329107,-0.7444509095295486,2.58771,0,0
mc14,True,3.62968,0,0,0,0,2.52091,6.12966,1097.02,1081.65,15232,2.8764,1.96028,1.8,1.79601,3,33,2.1031395501073575,1.962263212955516,3.06531,0,0
