trial,reached_goal,goal_distance_m,max_penetration_m,max_hull_penetration_m,collision_sensor_hits,n_skipped_waypoints,rms_cross_track_m,max_cross_track_m,arc_length_m,planned_length_m,ticks,terminal_est_error_m,terminal_unc_m,unc_threshold_m,planner_predicted_unc_m,comm_events,landmark_events,term_err_x,term_err_y,auv1_rms_cross_track_m,auv1_max_penetration_m,auv1_n_skipped_waypoints
mc0,False,17.0894,12.3562,17.3562,0,1,24.6877,74.4218,4071.38,1900,56900,24.1407,15.4007,4.12485,2.84446,22,90,23.086205061692453,-7.056864178509187,718.955,41.3092,0
mc1,False,11.2543,4.09881,9.09881,0,1,19.7025,67.1048,2842,1900,39608,10.816,11.1396,4.12485,2.84446,21,87,1.5818684378680246,-10.699680685891167,307.37,0,0
mc2,False,952.439,13.7929,18.7929,0,2,29.895,78.4103,4283.41,1900,60000,22.1915,11.8777,4.12485,2.84446,7,290,3.5868613960135463,-21.8997005950565,763.434,32.5991,0
mc3,True,6.47247,0,0,0,0,4.46009,14.9992,1939.96,1900,26907,6.87428,3.62478,4.12485,2.84446,19,88,6.261921352346462,2.836198582871475,6.61387,0,0
mc4,False,14.6422,0,0,0,0,4.71555,11.3721,1942.77,1900,26948,15.4937,5.46802,4.12485,2.84446,17,120,15.206517374940404,-2.969062058962976,18.4894,0,1
mc5,True,2.40231,0,0,0,0,3.53277,8.15767,1951.61,1900,27085,2.47824,3.72678,4.12485,2.84446,19,87,-1.5812040500475177,-1.9082633600681334,7.24167,0,0
mc6,False,14.8319,0,0,0,0,5.6175,17.9828,1999.51,1900,27787,16.0084,7.3953,4.12485,2.84446,15,124,-13.002143959198975,-9.338869704353073,23.2037,6.12878,2
mc7,True,6.72193,0,0,0,0,7.01946,20.4988,2004.43,1900,27874,4.68675,4.43616,4.12485,2.84446,19,88,-2.5629359894658137,-3.923897240461997,11.4906,0,0
mc8,False,15.6535,18.2839,23.2839,0,4,29.1372,81.3783,3585.81,1900,50037,13.645,17.0694,4.12485,2.84446,15,86,-13.024795565471322,-4.06702127069542,643.582,0,0
mc9,False,21.6937,0,0,0,0,3.91818,10.0169,1929.7,1900,26800,20.9963,6.62697,4.12485,2.84446,17,80,20.841266468672757,2.5465374606789055,19.9453,8.22752,1
mc10,True,3.94463,0,0,0,0,3.18986,10.372,1940.66,1900,26912,2.99479,3.65257,4.12485,2.84446,19,86,-2.8268859595439153,-0.988679379427964,4.20775,0,0
mc11,True,9.95364,0,0,0,0,4.27643,15.7873,1964.22,1900,27256,2.50969,4.07358,4.12485,2.84446,19,90,-2.127203189408192,1.3317463907052343,4.22538,0,0
mc12,False,10.4122,10.7272,15.7272,0,1,22.241,75.1204,2571.27,1900,35800,10.0871,7.27434,4.12485,2.84446,19,83,-2.8328923253664016,9.681149025450225,146.625,6.33947,0
mc13,True,9.14511,0,0,0,0,4.00177,9.39325,1964.76,1900,27280,8.59957,3.87498,4.12485,2.84446,19,87,-8.436749213168014,-1.6655109689729102,8.27063,0,0
mc14,True,3.07417,0,0,0,0,13.2166,46.7682,2495.04,1900,34754,3.15869,6.03656,4.12485,2.84446,21,181,1.147616440919819,2.942841239134623,27.4138,1.43172,2
mc15,True,7.53155,14.1552,19.1552,0,2,26.2603,96.3,4299.28,1900,60000,22.3502,16.4686,4.12485,2.84446,25,87,5.997325425659028,-21.53049238203792,943.318,48.3968,0
mc16,True,6.52131,0,0,0,0,4.23229,11.5238,1972.36,1900,27398,6.47704,4.14385,4.12485,2.84446,19,89,-6.219101149730022,-1.8096510655831821,5.56933,0,0
mc17,True,4.80402,0,0,0,0,4.42796,11.8274,1961.36,1900,27230,2.25989,4.28393,4.12485,2.84446,19,85,-1.2907936537906153,-1.8549810891862535,4.29103,0,0
mc18,False,12.5795,0,0,0,0,4.09621,12.3561,1945.63,1900,26993,7.98881,10.509,4.12485,2.84446,13,29,-1.36281571897689,7.871705165964528,21.7185,0,1
mc19,False,18.7837,12.3527,17.3527,0,0,24.6684,68.0926,4035.62,1900,56384,19.1136,11.9486,4.12485,2.84446,14,277,18.92629358657632,2.669016599319633,22.1087,0.626202,3
