trial,reached_goal,goal_distance_m,max_penetration_m,max_hull_penetration_m,collision_sensor_hits,n_skipped_waypoints,rms_cross_track_m,max_cross_track_m,arc_length_m,planned_length_m,ticks,terminal_est_error_m,terminal_unc_m,unc_threshold_m,planner_predicted_unc_m,comm_events,landmark_events,term_err_x,term_err_y,auv1_rms_cross_track_m,auv1_max_penetration_m,auv1_n_skipped_waypoints
mc0,False,10.3622,0,0,0,0,4.05229,11.2815,1977.15,1909.08,27453,9.46369,4.21179,4.12485,3.52882,19,85,-8.866175219236766,-3.3094309887791553,4.97398,0,0
mc1,True,0.214241,0,0,0,0,4.67765,15.682,1973.21,1909.08,27400,0.279347,3.97177,4.12485,3.52882,19,88,-0.10966361459350082,-0.25692125484241046,4.09453,0,0
mc2,True,3.36677,0,0,0,0,5.09876,16.503,1968.92,1909.08,27331,3.12174,3.93712,4.12485,3.52882,19,85,2.875527639315578,1.2151558809210314,7.16475,0,0
mc3,False,18.9856,0,0,0,0,3.62052,17.3015,1962.4,1909.08,27217,16.67,6.65754,4.12485,3.52882,16,89,-15.850603681599296,-5.162241621174417,24.7315,0,1
mc4,True,7.16307,0,0,0,0,4.57629,12.8927,1964.71,1909.08,27274,5.59226,4.00419,4.12485,3.52882,19,87,2.4315141003285135,-5.035986587705253,4.42741,0,0
mc5,True,5.11634,0,0,0,0,4.10037,9.98358,1977.3,1909.08,27475,2.32408,4.24279,4.12485,3.52882,19,87,2.171280741612918,0.8287788442925716,5.82984,0,0
mc6,True,4.29195,0,0,0,0,3.73662,10.0381,1955.43,1909.08,27145,4.24048,3.91066,4.12485,3.52882,19,88,4.096723004436853,1.0947603958128695,3.98795,0,0
mc7,False,1110.21,0,0,0,8,16.568,43.2221,4280.48,1909.08,60000,2.02238,2.21273,4.12485,3.52882,8,903,-1.7651262794823879,0.9871011633417197,423.55,43.9611,1
mc8,False,20.8604,7.91356,12.9136,0,1,24.1664,74.2636,4049.82,1909.08,56516,20.8661,12.1012,4.12485,3.52882,9,159,-20.843290703000548,0.9753180364283196,884.245,0,0
mc9,True,8.82213,10.4877,15.4877,0,3,26.7083,76.0653,3193.83,1909.08,44495,8.2311,15.8218,4.12485,3.52882,14,86,6.3655461706118786,-5.218320615971379,445.462,0,0
mc10,True,4.14408,0,0,0,0,3.8819,9.80328,1957.76,1909.08,27183,1.32212,3.98594,4.12485,3.52882,19,83,1.084629864063345,0.7560232836966918,5.31429,0,0
mc11,True,4.5963,0,0,0,0,4.40613,12.7466,1987.86,1909.08,27616,3.33932,3.97219,4.12485,3.52882,19,93,-3.151955298269513,-1.1028449746429771,7.24708,0,0
mc12,False,54.5363,47.2513,52.2513,0,5,37.072,102.816,4166.05,1909.08,58158,57.138,19.5687,4.12485,3.52882,14,83,8.000955506739047,56.575022009142145,957.339,0,0
mc13,False,11.4917,0,0,0,0,6.39973,24.6814,2021.11,1909.08,28118,9.9054,6.09689,4.12485,3.52882,20,70,8.08186930332613,5.727157401085492,22.1367,0,1
mc14,True,9.94863,0,0,0,0,6.78241,19.7752,1999.03,1909.08,27771,9.29457,4.38887,4.12485,3.52882,19,89,-7.692693883563834,-5.216468648649254,5.7536,0,0
mc15,True,3.88432,0,0,0,0,3.07762,8.49044,1946.78,1909.08,27004,4.49346,3.79048,4.12485,3.52882,19,85,4.287473958095916,-1.3449043162018768,7.35038,0,0
mc16,True,7.36321,0,0,0,0,4.38782,12.035,1975.25,1909.08,27428,2.5078,4.4292,4.12485,3.52882,19,83,2.0046572531264246,1.5067857726134548,5.28586,0,0
mc17,False,14.3581,0,0,0,0,4.10365,11.2029,1970.99,1909.08,27396,16.3799,4.12233,4.12485,3.52882,19,86,15.819022374900896,4.249782963664359,3.87486,0,0
mc18,True,3.35252,0,0,0,0,4.25644,12.2241,1979.24,1909.08,27482,2.83907,4.28013,4.12485,3.52882,19,86,1.266754934764549,2.5407979754894257,4.6768,0,0
mc19,False,14.4542,4.17155,9.17155,0,1,17.8431,73.0855,2430.28,1909.08,33809,13.3123,8.93961,4.12485,3.52882,18,84,-13.195282588633972,-1.7613272088942722,118.906,0,0
