agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,60.19348386205961,-52.784346840192875
1,3,111.60841520164001,-105.60366353267666
1,4,196.38226770167924,-157.53866080853075
1,5,254.7191815402329,-217.4931853880817
1,6,382.1629014165006,-253.55316420824738
1,7,485.26530436151336,-279.63198257983396
1,8,498.972534360509,-280.45320436485844
1,9,605.9085754374354,-241.84505090316446
1,10,684.1156792281209,-199.94831280862806
1,11,796.5502198671248,-138.16272332646759
1,12,893.2295478903897,-120.50235951770532
1,13,903.3349144447515,-121.26318129455113
2,1,0.0,0.0
2,2,26.818580377878842,-13.724359800280183
2,3,132.97852676482577,-67.01472723121977
2,4,259.8573286796152,-134.8210451137054
2,5,366.77314228015985,-153.02937565181787
2,6,426.63380522203573,-164.1793575276808
2,7,523.7711634899872,-161.12443322433472
2,8,634.839006119489,-137.31631379307643
2,9,690.1422974271541,-122.61353379536354
2,10,773.3969167116167,-111.14289209987992
2,11,856.4613824175937,-70.91202455896253
2,12,937.4575394795014,-33.875634070422066
2,13,1000.0,0.0
