agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,64.79204151434998,24.722795719134638
1,3,181.18259075540422,63.04690675535393
1,4,277.2512153263673,96.6112397363373
1,5,313.53328855970955,106.61539473860971
1,6,404.25915842338657,139.04086340952998
1,7,529.2835337738981,140.1994870109059
1,8,632.1415689877452,157.42839894084145
1,9,696.2223611586461,149.74204211617322
1,10,817.9710387024269,130.36806970761538
1,11,877.8082831507143,86.41884002060745
1,12,935.3260580707307,45.683904631793716
1,13,1000.0,0.0
