agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,59.63479052656808,-52.874417568338494
1,3,111.39145495432277,-105.86527215165728
1,4,195.06077652033255,-158.29672286194148
1,5,254.16417601817133,-217.95274146132354
1,6,381.7282373465458,-255.9991199671598
1,7,485.14229000395255,-281.67187560528873
1,8,500.00636133723134,-282.4376656660142
1,9,606.5001791076725,-243.9217793117334
1,10,685.5903930086782,-201.05336505877014
1,11,797.0735984493965,-139.04662409590156
1,12,893.7679246957779,-121.65380351471076
1,13,903.3376924566509,-121.29018520670138
2,1,0.0,0.0
2,2,26.985301013561738,-13.70797163604086
2,3,131.6814372234784,-67.60709653645763
2,4,257.14800238987345,-134.60724720304106
2,5,364.17623682659377,-156.1051529541114
2,6,424.711197517551,-168.11381315070375
2,7,525.662837472988,-165.39882077025325
2,8,636.1114082973081,-140.55474727254585
2,9,690.7593773068073,-125.89436422027228
2,10,774.9753563512874,-113.33122659551664
2,11,856.9231121463471,-72.31656958110263
2,12,937.7652551327335,-34.3528807209678
2,13,1000.0,0.0
