agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,34.725805833715135,23.16348335756131
1,3,113.59978869967094,100.2368610218463
1,4,217.55867866495953,122.34911183872885
1,5,370.1387697720888,65.16830650030539
1,6,448.68840139919723,-23.875459153485874
1,7,482.4555448328754,-59.694274146550406
1,8,523.0047497216262,-108.6051145221082
1,9,603.5462835766965,-198.5994311739245
1,10,764.4749346120337,-244.47052195996562
1,11,836.843697282232,-230.21173696430688
1,12,845.2550175052816,-230.37321613443189
1,13,938.428752823765,-215.2555538278377
1,14,942.152656797265,-214.54998233684273
2,1,0.0,0.0
2,2,41.127360675303905,20.4438951070516
2,3,123.4525241704432,64.71776640682276
2,4,217.92443304501276,91.75096503765181
2,5,282.2095281541124,94.71959579362762
2,6,384.94133275526275,47.822261343217896
2,7,495.1355261784362,-29.930640759564596
2,8,524.7735815705784,-50.62910427103525
2,9,654.85450982338,-142.21346128864496
2,10,740.8917393119938,-170.33189557498864
2,11,764.0726383826313,-169.3581898847335
2,12,821.3036422507772,-167.13016716781476
2,13,978.3542386083232,-16.844051218905093
2,14,1000.0,0.0
