agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,72.05873518902048,31.061707340065045
1,3,127.4983942426961,69.99570948998453
1,4,196.01711180047,58.76848096564574
1,5,207.45772271338834,64.13486246445292
1,6,362.88161761066823,40.8104657528696
1,7,423.4356910385881,6.910638818301013
1,8,471.6971200475825,-30.40728327711344
1,9,540.1249789678864,-90.09213464855848
1,10,620.8010828799453,-156.41557983364424
1,11,706.5732164540347,-242.22231719375657
1,12,753.2805416964529,-211.17373660324674
1,13,803.8776045982295,-191.46137578239683
1,14,840.1404614477174,-150.79815610814563
1,15,944.5664411205161,-56.11157979798571
1,16,1000.0,0.0
