agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,36.106084977130735,17.94878363889918
1,3,121.22731690169931,74.1375681746133
1,4,209.27314346036195,106.13037310750127
1,5,364.3742395312673,44.57234741274901
1,6,446.07776974907,-30.945515001349627
1,7,480.6980527422105,-61.20069179694621
1,8,525.453580202922,-106.33920568178003
1,9,622.1106884161327,-207.5499218954959
1,10,722.178830763119,-242.24003536489073
1,11,816.3792575185863,-193.95673450353115
1,12,846.7050542706506,-229.78565136437766
1,13,939.2057920947221,-214.12963979506375
1,14,941.7442867777831,-213.87321260658214
2,1,0.0,0.0
2,2,48.01051598856057,16.332888118989473
2,3,128.91916435321804,47.348832345899055
2,4,224.69224534546467,70.38931179037104
2,5,273.84669537242263,74.19916152102103
2,6,373.7774620384671,49.62376189653896
2,7,492.94922483342407,-27.69005893135415
2,8,525.5246983213415,-49.087866609942324
2,9,666.3728361957054,-140.3916337532368
2,10,747.8225488700978,-156.03750263359726
2,11,760.8586350783562,-152.90170913293403
2,12,819.4390227455243,-165.3639984609317
2,13,973.8015962052057,-27.29183637095746
2,14,1000.0,0.0
