agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,56.87181717944665,-57.055771846887886
1,3,140.29981790139664,-150.45398881966818
1,4,254.6300902946166,-186.82854889201138
1,5,371.7596210337192,-210.91454395045326
1,6,447.38766423504603,-206.15819248195507
1,7,435.33984535134323,-206.94553698024188
1,8,556.4737306956723,-199.09060626000067
1,9,688.7048072317119,-145.59467832989515
1,10,792.9832712845794,-58.101773598265865
1,11,833.3406317264979,-24.242184497058943
1,12,903.5221383174952,34.64139542586371
1,13,953.1802862083199,58.344018017396344
2,1,0.0,0.0
2,2,74.90197804493593,50.266516975785834
2,3,167.95728376696746,119.31322665151852
2,4,301.2973993580127,165.84632138521602
2,5,446.72774922481375,173.74631756136083
2,6,470.01204380859866,173.2968478885546
2,7,482.8275371259868,173.30707706016256
2,8,589.8573712767159,165.28741897744428
2,9,714.4563126501905,145.20121958002136
2,10,791.8009859964056,134.530683000322
2,11,886.3079272600988,118.98206653889036
2,12,982.909998739462,99.43425942828313
2,13,1050.0,86.60254037844386
