method,pct,agent,i,x,y
hexspline_cl,100,1,1,0.000000,0.000000
hexspline_cl,100,1,2,23.004005,0.385278
hexspline_cl,100,1,3,43.237164,2.428921
hexspline_cl,100,1,4,60.966719,5.898159
hexspline_cl,100,1,5,76.459907,10.560221
hexspline_cl,100,1,6,89.983969,16.182337
hexspline_cl,100,1,7,101.806144,22.531736
hexspline_cl,100,1,8,112.193672,29.375648
hexspline_cl,100,1,9,121.413792,36.481302
hexspline_cl,100,1,10,129.733744,43.615928
hexspline_cl,100,1,11,137.420768,50.546755
hexspline_cl,100,1,12,144.742104,57.041014
hexspline_cl,100,1,13,151.964990,62.865933
hexspline_cl,100,1,14,159.310315,67.840066
hexspline_cl,100,1,15,166.813567,71.987266
hexspline_cl,100,1,16,174.463881,75.382707
hexspline_cl,100,1,17,182.250393,78.101566
hexspline_cl,100,1,18,190.162239,80.219018
hexspline_cl,100,1,19,198.188554,81.810239
hexspline_cl,100,1,20,206.318476,82.950406
hexspline_cl,100,1,21,214.541138,83.714693
hexspline_cl,100,1,22,222.845678,84.178277
hexspline_cl,100,1,23,231.221232,84.416334
hexspline_cl,100,1,24,239.656935,84.504039
hexspline_cl,100,1,25,248.141922,84.516568
hexspline_cl,100,1,26,256.665742,84.516568
hexspline_cl,100,1,27,265.219582,84.516568
hexspline_cl,100,1,28,273.795043,84.516568
hexspline_cl,100,1,29,282.383725,84.516568
hexspline_cl,100,1,30,290.977228,84.516568
hexspline_cl,100,1,31,299.567152,84.516568
hexspline_cl,100,1,32,308.145097,84.516568
hexspline_cl,100,1,33,316.702662,84.516568
hexspline_cl,100,1,34,325.231448,84.516568
hexspline_cl,100,1,35,333.723055,84.516567
hexspline_cl,100,1,36,342.169083,84.516567
hexspline_cl,100,1,37,350.561131,84.516567
hexspline_cl,100,1,38,358.888644,84.524920
hexspline_cl,100,1,39,367.132439,84.583390
hexspline_cl,100,1,40,375.271177,84.742094
hexspline_cl,100,1,41,383.283519,85.051150
hexspline_cl,100,1,42,391.148128,85.560675
hexspline_cl,100,1,43,398.843665,86.320785
hexspline_cl,100,1,44,406.348790,87.381599
hexspline_cl,100,1,45,413.642165,88.793234
hexspline_cl,100,1,46,420.702452,90.605806
hexspline_cl,100,1,47,427.508312,92.869434
hexspline_cl,100,1,48,434.038407,95.634233
hexspline_cl,100,1,49,440.271396,98.950322
hexspline_cl,100,1,50,446.193922,102.851112
hexspline_cl,100,1,51,451.824542,107.303191
hexspline_cl,100,1,52,457.189793,112.256442
hexspline_cl,100,1,53,462.316212,117.660748
hexspline_cl,100,1,54,467.230335,123.465992
hexspline_cl,100,1,55,471.958699,129.622057
hexspline_cl,100,1,56,476.527843,136.078824
hexspline_cl,100,1,57,480.964301,142.786178
hexspline_cl,100,1,58,485.294612,149.694001
hexspline_cl,100,1,59,489.545312,156.752175
hexspline_cl,100,1,60,493.742938,163.910584
hexspline_cl,100,1,61,497.914028,171.119110
hexspline_cl,100,1,62,502.085517,178.327635
hexspline_cl,100,1,63,506.285941,185.486044
hexspline_cl,100,1,64,510.544236,192.544218
hexspline_cl,100,1,65,514.889336,199.452041
hexspline_cl,100,1,66,519.350177,206.159394
hexspline_cl,100,1,67,523.955693,212.616162
hexspline_cl,100,1,68,528.734821,218.772226
hexspline_cl,100,1,69,533.716495,224.577470
hexspline_cl,100,1,70,538.929651,229.981776
hexspline_cl,100,1,71,544.403224,234.935027
hexspline_cl,100,1,72,550.166148,239.387105
hexspline_cl,100,1,73,556.247359,243.287895
hexspline_cl,100,1,74,562.661727,246.595631
hexspline_cl,100,1,75,569.367860,249.301960
hexspline_cl,100,1,76,576.310299,251.406883
hexspline_cl,100,1,77,583.433587,252.910399
hexspline_cl,100,1,78,590.682266,253.812509
hexspline_cl,100,1,79,598.000878,254.113213
hexspline_cl,100,1,80,605.333966,253.812509
hexspline_cl,100,1,81,612.626071,252.910400
hexspline_cl,100,1,82,619.821736,251.406883
hexspline_cl,100,1,83,626.865502,249.301961
hexspline_cl,100,1,84,633.701913,246.595632
hexspline_cl,100,1,85,640.275510,243.287896
hexspline_cl,100,1,86,646.543694,239.387107
hexspline_cl,100,1,87,652.515305,234.935029
hexspline_cl,100,1,88,658.212038,229.981778
hexspline_cl,100,1,89,663.655593,224.577473
hexspline_cl,100,1,90,668.867667,218.772230
hexspline_cl,100,1,91,673.869956,212.616167
hexspline_cl,100,1,92,678.684159,206.159400
hexspline_cl,100,1,93,683.331973,199.452047
hexspline_cl,100,1,94,687.835095,192.544226
hexspline_cl,100,1,95,692.215224,185.486052
hexspline_cl,100,1,96,696.494056,178.327644
hexspline_cl,100,1,97,700.693290,171.119119
hexspline_cl,100,1,98,704.836985,163.910827
hexspline_cl,100,1,99,708.958655,156.754055
hexspline_cl,100,1,100,713.094174,149.700321
hexspline_cl,100,1,101,717.279417,142.801145
hexspline_cl,100,1,102,721.550261,136.108047
hexspline_cl,100,1,103,725.942581,129.672546
hexspline_cl,100,1,104,730.492252,123.546161
hexspline_cl,100,1,105,735.235150,117.780412
hexspline_cl,100,1,106,740.207149,112.426818
hexspline_cl,100,1,107,745.444126,107.536899
hexspline_cl,100,1,108,750.981955,103.162173
hexspline_cl,100,1,109,756.856513,99.354162
hexspline_cl,100,1,110,763.092559,96.147196
hexspline_cl,100,1,111,769.670394,93.506862
hexspline_cl,100,1,112,776.559205,91.381558
hexspline_cl,100,1,113,783.728178,89.719683
hexspline_cl,100,1,114,791.146498,88.469636
hexspline_cl,100,1,115,798.783351,87.579815
hexspline_cl,100,1,116,806.607924,86.998620
hexspline_cl,100,1,117,814.589402,86.674448
hexspline_cl,100,1,118,822.696971,86.555699
hexspline_cl,100,1,119,830.899817,86.590771
hexspline_cl,100,1,120,839.167127,86.728063
hexspline_cl,100,1,121,847.468086,86.915974
hexspline_cl,100,1,122,855.777000,87.110843
hexspline_cl,100,1,123,864.088659,87.300768
hexspline_cl,100,1,124,872.402970,87.481789
hexspline_cl,100,1,125,880.719842,87.649944
hexspline_cl,100,1,126,889.039185,87.801273
hexspline_cl,100,1,127,897.360908,87.931815
hexspline_cl,100,1,128,905.684918,88.037608
hexspline_cl,100,1,129,914.011124,88.114693
hexspline_cl,100,1,130,922.339436,88.159108
hexspline_cl,100,1,131,930.669763,88.166891
hexspline_cl,100,1,132,939.002012,88.134083
hexspline_cl,100,1,133,947.336094,88.056723
hexspline_cl,100,1,134,955.667549,87.940946
hexspline_cl,100,1,135,963.974456,87.833283
hexspline_cl,100,1,136,972.230523,87.790359
hexspline_cl,100,1,137,980.409460,87.868801
hexspline_cl,100,1,138,988.484979,88.125236
hexspline_cl,100,1,139,996.430788,88.616290
hexspline_cl,100,1,140,1004.220598,89.398590
hexspline_cl,100,1,141,1011.828119,90.528763
hexspline_cl,100,1,142,1019.227060,92.063436
hexspline_cl,100,1,143,1026.391133,94.059234
hexspline_cl,100,1,144,1033.294046,96.572784
hexspline_cl,100,1,145,1039.909510,99.660714
hexspline_cl,100,1,146,1046.224352,103.353150
hexspline_cl,100,1,147,1052.277868,107.574226
hexspline_cl,100,1,148,1058.122470,112.221574
hexspline_cl,100,1,149,1063.810572,117.192827
hexspline_cl,100,1,150,1069.394586,122.385619
hexspline_cl,100,1,151,1074.926925,127.697584
hexspline_cl,100,1,152,1080.460002,133.026354
hexspline_cl,100,1,153,1086.046230,138.269562
hexspline_cl,100,1,154,1091.738021,143.324843
hexspline_cl,100,1,155,1097.587789,148.089829
hexspline_cl,100,1,156,1103.647945,152.462153
hexspline_cl,100,1,157,1109.970904,156.339450
hexspline_cl,100,1,158,1116.595931,159.644697
hexspline_cl,100,1,159,1123.509709,162.402254
hexspline_cl,100,1,160,1130.685774,164.661826
hexspline_cl,100,1,161,1138.097661,166.473119
hexspline_cl,100,1,162,1145.718906,167.885836
hexspline_cl,100,1,163,1153.523045,168.949682
hexspline_cl,100,1,164,1161.483614,169.714364
hexspline_cl,100,1,165,1169.574149,170.229585
hexspline_cl,100,1,166,1177.768185,170.545050
hexspline_cl,100,1,167,1186.039259,170.710465
hexspline_cl,100,1,168,1194.360906,170.775534
hexspline_cl,100,1,169,1202.706662,170.789963
hexspline_cl,100,1,170,1211.059329,170.795184
hexspline_cl,100,1,171,1219.438778,170.799548
hexspline_cl,100,1,172,1227.874143,170.803132
hexspline_cl,100,1,173,1236.394561,170.806015
hexspline_cl,100,1,174,1245.029167,170.808275
hexspline_cl,100,1,175,1253.807098,170.809991
hexspline_cl,100,1,176,1262.757489,170.811239
hexspline_cl,100,1,177,1271.909476,170.812099
hexspline_cl,100,1,178,1281.292196,170.812649
hexspline_cl,100,1,179,1290.934783,170.812967
hexspline_cl,100,1,180,1300.866374,170.813131
hexspline_cl,100,1,181,1311.116106,170.813219
hexspline_cl,100,1,182,1321.732036,170.813297
hexspline_cl,100,1,183,1332.837922,170.813378
hexspline_cl,100,1,184,1344.576443,170.813464
hexspline_cl,100,1,185,1357.090277,170.813554
hexspline_cl,100,1,186,1370.522105,170.813651
hexspline_cl,100,1,187,1385.014605,170.813755
hexspline_cl,100,1,188,1400.710458,170.813866
hexspline_cl,100,1,189,1417.752342,170.813986
hexspline_cl,100,1,190,1436.282936,170.814115
hexspline_cl,100,1,191,1456.444921,170.814254
hexspline_cl,100,1,192,1478.380976,170.814405
hexspline_cl,100,1,193,1502.233780,170.814567
hexspline_cl,100,2,1,0.000000,0.000000
hexspline_cl,100,2,2,12.520821,20.344525
hexspline_cl,100,2,3,25.995393,37.308238
hexspline_cl,100,2,4,40.227605,51.198459
hexspline_cl,100,2,5,55.021343,62.322508
hexspline_cl,100,2,6,70.180497,70.987706
hexspline_cl,100,2,7,85.508954,77.501373
hexspline_cl,100,2,8,100.810602,82.170830
hexspline_cl,100,2,9,115.889328,85.303397
hexspline_cl,100,2,10,130.549022,87.206395
hexspline_cl,100,2,11,144.593570,88.187144
hexspline_cl,100,2,12,157.826862,88.552965
hexspline_cl,100,2,13,170.052784,88.611178
hexspline_cl,100,2,14,181.128721,88.617883
hexspline_cl,100,2,15,191.126047,88.624293
hexspline_cl,100,2,16,200.169628,88.630404
hexspline_cl,100,2,17,208.384335,88.636207
hexspline_cl,100,2,18,215.895037,88.641697
hexspline_cl,100,2,19,222.826602,88.646868
hexspline_cl,100,2,20,229.303899,88.651712
hexspline_cl,100,2,21,235.451797,88.656223
hexspline_cl,100,2,22,241.395166,88.660395
hexspline_cl,100,2,23,247.258873,88.664221
hexspline_cl,100,2,24,253.167788,88.667695
hexspline_cl,100,2,25,259.246781,88.670810
hexspline_cl,100,2,26,265.596631,88.673565
hexspline_cl,100,2,27,272.221774,88.675981
hexspline_cl,100,2,28,279.102553,88.678083
hexspline_cl,100,2,29,286.219314,88.679898
hexspline_cl,100,2,30,293.552404,88.681451
hexspline_cl,100,2,31,301.082167,88.682769
hexspline_cl,100,2,32,308.788949,88.683877
hexspline_cl,100,2,33,316.653096,88.684802
hexspline_cl,100,2,34,324.654954,88.685569
hexspline_cl,100,2,35,332.774867,88.686204
hexspline_cl,100,2,36,340.993182,88.686734
hexspline_cl,100,2,37,349.290243,88.687183
hexspline_cl,100,2,38,357.648446,88.687576
hexspline_cl,100,2,39,366.058379,88.687921
hexspline_cl,100,2,40,374.512680,88.688225
hexspline_cl,100,2,41,383.003986,88.688496
hexspline_cl,100,2,42,391.524934,88.688738
hexspline_cl,100,2,43,400.068163,88.688960
hexspline_cl,100,2,44,408.626310,88.689168
hexspline_cl,100,2,45,417.192011,88.689368
hexspline_cl,100,2,46,425.757906,88.689566
hexspline_cl,100,2,47,434.316631,88.689770
hexspline_cl,100,2,48,442.860824,88.689986
hexspline_cl,100,2,49,451.383122,88.690221
hexspline_cl,100,2,50,459.877299,88.690703
hexspline_cl,100,2,51,468.341671,88.692551
hexspline_cl,100,2,52,476.775692,88.697104
hexspline_cl,100,2,53,485.178815,88.705702
hexspline_cl,100,2,54,493.550492,88.719686
hexspline_cl,100,2,55,501.890175,88.740396
hexspline_cl,100,2,56,510.197319,88.769172
hexspline_cl,100,2,57,518.471375,88.807354
hexspline_cl,100,2,58,526.711796,88.856281
hexspline_cl,100,2,59,534.918036,88.917295
hexspline_cl,100,2,60,543.089547,88.991735
hexspline_cl,100,2,61,551.225781,89.080942
hexspline_cl,100,2,62,559.327745,89.185999
hexspline_cl,100,2,63,567.402657,89.306963
hexspline_cl,100,2,64,575.459286,89.443635
hexspline_cl,100,2,65,583.506404,89.595817
hexspline_cl,100,2,66,591.552781,89.763309
