agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,103.54351110619879,-3.8514997766261794
1,3,207.1970441553697,-7.7376476386962905
1,4,311.28152203554475,-11.536178815224337
1,5,416.20671201987574,-14.725777807954252
1,6,520.8126496125485,-17.710987011674217
1,7,619.5956203581751,-17.98856600781082
1,8,718.1321104658584,-17.811009256107344
1,9,808.1757979386862,-16.566172615322042
1,10,890.9239408138297,-12.815955578330035
1,11,980.4645113242349,-6.1540812728888366
1,12,996.3576667705041,-3.4707993675160975
2,1,0.0,0.0
2,2,100.866972044544,-1.2592006693513624
2,3,202.88653957798317,-1.6626085163228947
2,4,303.65999749894735,-3.2140945115790163
2,5,405.6923308557338,-3.6333961379097066
2,6,506.28122755840815,-5.18885274194617
2,7,607.3624494590293,-5.809421424100336
2,8,707.2276233840093,-6.386651528817991
2,9,802.3892150128303,-5.827948099819007
2,10,894.417979267214,-3.3406539264852193
2,11,993.6786615746854,-0.4503779122303621
2,12,1000.0,0.0
