agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,52.04000850677973,-84.51003010139597
1,3,152.08833701600616,-86.11836737722716
1,4,252.13281637222622,-86.98684740127939
1,5,351.4691232079393,-87.91879385461965
1,6,451.31752890467294,-88.19396580987038
1,7,548.328647632852,-88.06356968654791
1,8,647.8413423354657,-87.5708818635237
1,9,747.8690097525758,-86.32219926387477
1,10,847.8761723493103,-84.5055843920865
1,11,902.1295473384259,-2.107575884490499
1,12,999.7757821769574,-0.17076111153174395
1,13,998.1830500975125,0.11408795945715287
2,1,0.0,0.0
2,2,101.5822588783118,-0.7728333801588627
2,3,198.35722096321848,-0.4219201978544539
2,4,297.821275880328,0.5630867526746354
2,5,397.82395807088903,1.448367162507274
2,6,497.8279874452396,-0.5562713891093423
2,7,548.8472194177608,-86.9587397559041
2,8,648.8472190958978,-88.50775758082169
2,9,748.8472195660197,-88.55067688809588
2,10,848.8472198079182,-88.58428894292513
2,11,948.8539230289659,-87.75531550007567
2,12,999.2929651560225,-0.20527885860759937
2,13,1000.0,0.0
