agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,100.94294368083192,0.2879568106955489
1,3,200.87697607250053,0.42662593290900847
1,4,300.0947921893431,0.664382024142711
1,5,398.75008204097855,0.9480802149265635
1,6,498.73198721510335,0.9922369262719513
1,7,598.4008675224759,1.5506891566574612
1,8,698.3999338951787,1.6035448885229144
1,9,798.3987703721048,1.6053679380860284
1,10,851.5880358989017,84.99575570394201
1,11,948.3964581036412,84.99631772450718
1,12,998.4385374895569,-1.5811378283701234
1,13,998.3787453449291,1.6024004584633587
2,1,0.0,0.0
2,2,100.79146375123499,1.5748258747674877
2,3,201.2732786341987,1.5740348898717236
2,4,301.60844818982054,-1.6773473073902112
2,5,401.61683185831475,-1.6150318718011034
2,6,501.6167993251187,-1.6120798884244891
2,7,548.3831782640383,88.21461517204146
2,8,648.3831742039853,88.21474531564067
2,9,751.6170689744107,88.21480792567031
2,10,851.616707363887,88.21428845597077
2,11,898.382886936093,-1.6173762841602843
2,12,998.3840364062323,-1.6372334085637903
2,13,1000.0,0.0
