agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,103.25205101814248,-2.1405929245283617
1,3,206.72477772652235,-3.9909360576941184
1,4,308.46632951708307,-6.749509377876805
1,5,410.329787052827,-8.140594915460525
1,6,510.1270897067266,-9.310519412246526
1,7,610.314893458642,-9.708660218714709
1,8,710.1629327338437,-10.125965461446198
1,9,810.4643740213444,-10.195543723007901
1,10,909.7412139732437,-10.15991523860445
1,11,989.9392852216077,-7.881899775261982
1,12,994.4040466509316,-8.937992259416488
2,1,0.0,0.0
2,2,101.11814437719177,-0.753214389088517
2,3,202.4618460721306,-1.0899037272582075
2,4,304.3205079351246,-1.9383428933230245
2,5,404.22845605056136,-2.4662784466231775
2,6,504.2906507505882,-3.0303683771699514
2,7,604.2992512874786,-4.05710999005147
2,8,704.261945270615,-4.2344875201595595
2,9,801.9216263907194,-3.9692184699324495
2,10,901.6708534453936,-3.91842046346274
2,11,995.9466798156137,-1.1106627801578097
2,12,1000.0,0.0
