agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,117.62319618532399,-17.443701513811554
1,3,237.0851103952072,-34.053153385489104
1,4,363.8606359965751,-48.6202847576138
1,5,499.7875688975289,-76.60204913461749
1,6,563.7343079631453,-64.35583837899898
1,7,644.5909752763317,-51.93293743242062
1,8,711.6721201990753,-46.013787340025786
1,9,787.9215504780275,-34.99306919082677
1,10,869.6572629210821,-22.65613223685819
1,11,950.9693282232181,-10.489989225876963
1,12,993.5963233077197,-3.360964324755246
2,1,0.0,0.0
2,2,115.01427835009562,-10.947902729644825
2,3,230.07838768932598,-22.455132646069956
2,4,345.44617672287427,-36.17540454752516
2,5,463.94489728690417,-50.082511237599434
2,6,549.1821993514616,-49.97942925698709
2,7,628.781185227741,-40.21160034664145
2,8,698.2207331382579,-37.16958279506579
2,9,782.2190455636543,-29.161336886534446
2,10,872.3610851238508,-19.257127289437847
2,11,963.056320606456,-9.046492841133452
2,12,1000.0,0.0
