agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,50.24999999999378,-86.35254037844705
1,3,150.24999999998093,-86.35254037844985
1,4,250.24999999977283,-86.35254037849106
1,5,349.75059100880577,-86.85253629471984
1,6,449.75059100880577,-86.85253632267793
1,7,549.7505910088058,-86.85253632267793
1,8,649.7500000022641,-86.35254037860787
1,9,749.750000000026,-86.35254037845048
1,10,849.7500000000127,-86.35254037844847
1,11,900.2499999999864,-0.24999999999423933
1,12,1000.2499999999761,-0.24999999999347208
1,13,999.7500000000014,-0.24999999997628858
2,1,0.0,0.0
2,2,100.24999999998502,0.24999999999394068
2,3,149.7500000000166,-86.85254037843806
2,4,249.75000000002242,-86.8525403784379
2,5,349.7500000011833,-86.85254037832827
2,6,449.75059100880577,-86.35254446436821
2,7,549.7505910088058,-86.35254449274508
2,8,649.7505910088058,-86.35254446436821
2,9,750.2499999988166,-86.85254037832827
2,10,850.2499999999827,-86.85254037843838
2,11,950.2499999999939,-86.85254037844051
2,12,1000.2499999999912,-0.2499999999918269
2,13,1000.0,0.0
