method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,75,1,1,1.000,1.0122,1.0122,20.9,20.9,1.234,1.234
hexspline_cl,70,1,1,1.000,1.0079,1.0079,21.8,21.8,1.288,1.288
hexspline_cl,65,1,1,1.000,1.0861,1.0861,20.7,20.7,1.218,1.218
hexspline_cl,60,1,1,1.000,1.0778,1.0778,38.4,38.4,2.262,2.262
hexspline_cl,55,1,1,1.000,1.0738,1.0738,55.2,55.2,3.255,3.255
hexspline_cl,50,1,1,1.000,1.0411,1.0411,56.7,56.7,3.341,3.341
hexspline_cl,45,1,1,1.000,1.0965,1.0965,100.8,100.8,5.938,5.938
hexspline_cl,40,1,1,1.000,1.1009,1.1009,102.8,102.8,6.059,6.059
hexspline_cl,35,1,1,1.000,1.1032,1.1032,103.0,103.0,6.069,6.069
hexspline_cl,30,1,0,0.000,,,,,,
hexspline_cl,25,1,0,0.000,,,,,,
hexspline_cl,20,1,0,0.000,,,,,,
