method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s001,75,9.5269,true,,1844.0928428521577,9.526936773801578,1.0122,20.9
hexspline_cl,s001,70,8.8918,true,,1836.176655248375,8.179572743962703,1.0079,21.8
hexspline_cl,s001,65,8.2567,true,,1978.595281017842,7.586049608755796,1.0861,20.7
hexspline_cl,s001,60,7.6215,true,,1963.6327885624105,7.350577972171791,1.0778,38.4
hexspline_cl,s001,55,6.9864,true,,1956.3466967072604,6.962842884866093,1.0738,55.2
hexspline_cl,s001,50,6.3513,true,,1896.609126711713,5.756457273778327,1.0411,56.7
hexspline_cl,s001,45,5.7162,true,,1997.618912447236,4.2418595956019365,1.0965,100.8
hexspline_cl,s001,40,5.0810,true,,2005.5802431553464,5.081032250289665,1.1009,102.8
hexspline_cl,s001,35,4.4459,true,,2009.7878332409523,4.4459047765822755,1.1032,103.0
hexspline_cl,s001,30,3.8108,false,recovery_failed,2019.6028448224256,3.828384885410793,,92.5
hexspline_cl,s001,25,3.1756,false,recovery_failed,2019.6028461459825,3.8283848846265074,,92.4
hexspline_cl,s001,20,2.5405,false,not_run_below_stop,,,,0.0
