scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,75,9.5269,hexspline_cl,hexspline_cl,2,true,,1844.0928428521577,9.526936773801578,1.0122,24.0,1.2530,719,1844.093,"[6.6281, 9.5269]","[8.5054, 8.7496]",8.749561015749526,1.6501984205774534e-6,optimized
s001,70,8.8918,hexspline_cl,hexspline_cl,2,true,,1836.176655248375,8.179572743962703,1.0079,24.7,1.2929,719,1836.177,"[6.3313, 8.1796]","[8.5054, 8.7496]",8.749561015749526,7.399233569599373e-9,optimized
s001,65,8.2567,hexspline_cl,hexspline_cl,2,true,,1978.595281017842,7.586049608755796,1.0861,23.8,1.2429,21789,1978.595,"[5.1752, 7.586]","[5.5318, 7.8234]",7.823367216164437,0.015058999244993113,optimized
s001,60,7.6215,hexspline_cl,hexspline_cl,2,true,,1963.6327885624105,7.350577972171791,1.0778,42.6,2.2249,327250,1963.633,"[5.1975, 7.3506]","[5.1975, 7.3506]",7.350577972171791,0.015926336520625934,seed_only
s001,55,6.9864,hexspline_cl,hexspline_cl,2,true,,1956.3466967072604,6.962842884866093,1.0738,58.7,3.0667,495341,1956.347,"[0.9069, 6.9628]","[1.0127, 6.6942]",6.694212314001002,0.005869795609896755,optimized
s001,50,6.3513,hexspline_cl,hexspline_cl,2,true,,1896.609126711713,5.756457273778327,1.0411,63.8,3.3355,538537,1896.609,"[1.4375, 5.7565]","[0.8277, 6.0018]",6.001842770927195,0.011091927780382095,optimized
s001,45,5.7162,hexspline_cl,hexspline_cl,2,true,,1997.618912447236,4.2418595956019365,1.0965,107.8,5.6323,1000000,1997.619,"[0.8222, 4.2419]","[0.8277, 6.0018]",6.001769284028875,0.01243005840602282,optimized
s001,40,5.0810,hexspline_cl,hexspline_cl,2,true,,2005.5802431553464,5.081032250289665,1.1009,108.0,5.6398,1000000,2005.58,"[0.822, 5.081]","[0.8277, 6.0018]",6.001769284028875,2.0427103351039477e-6,optimized
s001,35,4.4459,hexspline_cl,hexspline_cl,2,true,,2009.7878332409523,4.4459047765822755,1.1032,108.2,5.6545,1000000,2009.788,"[0.8185, 4.4459]","[0.8277, 6.0018]",6.001769284028875,3.5441772450184317e-7,optimized
s001,30,3.8108,hexspline_cl,hexspline_cl,2,false,recovery_failed,2019.6028448224256,3.828384885410793,,99.3,5.1880,1000000,2019.603,"[0.8185, 3.8284]","[0.8277, 6.0018]",6.001769284028875,-0.01760891541079257,recovery_failed
s001,25,3.1756,hexspline_cl,hexspline_cl,2,false,recovery_failed,2019.6028461459825,3.8283848846265074,,95.5,4.9875,1000000,2019.603,"[0.8185, 3.8284]","[0.8277, 6.0018]",6.001769284028875,-0.6527380766265072,recovery_failed
s001,20,2.5405,hexspline_cl,hexspline_cl,2,false,not_run_below_stop,,,,0.0,,,,,,,,
