agent,i,x,y
1,1,0.000000,0.000000
1,2,120.505451,89.322093
1,3,212.862154,207.517861
1,4,305.218856,325.713628
1,5,449.178711,283.576234
1,6,593.138567,241.438839
1,7,737.098422,199.301445
1,8,772.825333,53.618268
1,9,909.666758,115.054613
1,10,945.393669,-30.628563
1,11,981.120580,-176.311739
1,12,1016.847491,-321.994915
1,13,878.448443,-379.836972
1,14,846.537938,-233.270538
1,15,842.775660,-83.317728
2,1,0.000000,0.000000
2,2,120.505451,89.322093
2,3,212.862154,207.517861
2,4,305.218856,325.713628
2,5,449.178711,283.576234
2,6,593.138567,241.438839
2,7,737.098422,199.301445
2,8,772.825333,53.618268
2,9,909.666758,115.054613
2,10,945.393669,-30.628563
2,11,981.120580,-176.311739
2,12,1016.847491,-321.994915
2,13,878.448443,-379.836972
2,14,846.537938,-233.270538
2,15,842.775660,-83.317728
2,16,900.000000,0.000000
