node,parent,agent,x,y,heading,dist,unc,c11,c12,c22,on_solution
1,0,1,0.000000,0.000000,0.000000,0.000000,0.911844,1.187044,0.118342,0.594190,true
1,0,2,0.000000,0.000000,0.000000,0.000000,0.911844,1.187044,0.118342,0.594190,true
2,1,1,-27.075470,-147.536161,-1.752294,150.000000,3.769441,6.439756,6.036284,37.008144,false
2,1,2,-27.075470,-147.536161,-1.752294,150.000000,3.769441,6.439756,6.036284,37.008144,false
3,2,1,-109.694384,-589.886831,-1.755441,600.000000,7.195296,22.310564,24.083955,146.137336,false
3,2,2,-109.694384,-589.886831,-1.755441,600.000000,7.195296,22.310564,24.083955,146.137336,false
4,2,1,-469.131277,-63.353842,-3.329773,600.000000,8.797161,115.831298,-10.298496,52.622036,false
4,2,2,422.924530,-147.536161,0.000000,600.000000,5.714390,39.499703,-0.516628,27.001898,false
5,1,1,120.505451,89.322093,0.637864,150.000000,3.699934,26.867138,16.064711,16.580762,true
5,1,2,120.505451,89.322093,0.637864,150.000000,3.699934,26.867138,16.064711,16.580762,true
6,2,1,409.755290,-255.605062,-0.242524,600.000000,0.932281,0.869124,-0.078393,0.876242,false
6,2,2,-447.752227,12.248275,-3.504589,600.000000,8.752076,106.331823,-27.157591,62.116077,false
7,5,1,305.218856,325.713628,0.907508,450.000000,1.152618,1.863406,0.225874,0.974564,true
7,5,2,305.218856,325.713628,0.907508,450.000000,1.152618,1.863406,0.225874,0.974564,true
8,7,1,426.321590,237.203020,-0.631146,600.000000,2.854740,13.635011,-3.886744,5.978858,false
8,7,2,436.783283,253.666410,-0.501014,600.000000,2.854434,13.633555,-3.886741,5.977409,false
9,5,1,-98.707621,294.128413,2.390158,450.000000,7.782273,70.796302,-17.191750,55.984931,false
9,5,2,-98.707621,294.128413,2.390158,450.000000,7.782273,70.796302,-17.191750,55.984931,false
10,7,1,504.386173,101.364837,-0.844786,750.000000,5.074376,35.836399,-28.600259,41.326720,false
10,7,2,504.386173,101.364837,-0.844786,750.000000,5.074376,35.836399,-28.600259,41.326720,false
11,10,1,794.998513,26.903657,-0.250826,1050.000000,7.823723,106.729386,-44.629398,53.767066,false
11,10,2,794.998513,26.903657,-0.250826,1050.000000,7.823723,106.729386,-44.629398,53.767066,false
12,8,1,208.489206,30.928804,-2.383441,900.000000,6.638280,62.746604,17.887359,36.047165,false
12,8,2,734.685758,218.252923,-0.118321,900.000000,5.597307,73.883433,-8.565371,14.278230,false
13,11,1,956.788257,279.537935,1.001192,1350.000000,10.973431,134.452290,-14.352631,109.377495,false
13,11,2,950.118980,283.686913,1.027374,1350.000000,10.974023,134.192856,-14.481195,109.639915,false
14,7,1,39.368843,464.723594,2.659802,750.000000,5.177461,61.099762,-26.341000,23.116550,false
14,7,2,39.368843,464.723594,2.659802,750.000000,5.177461,61.099762,-26.341000,23.116550,false
15,5,1,10.898915,191.725253,2.390158,300.000000,6.487560,48.831720,-0.563519,36.282847,false
15,5,2,213.513211,-28.362046,-0.901988,300.000000,6.515862,45.513065,-0.287969,39.606956,false
16,9,1,262.808732,562.094692,0.637864,900.000000,10.264976,131.952664,25.554811,89.091254,false
16,9,2,262.808732,562.094692,0.637864,900.000000,10.264976,131.952664,25.554811,89.091254,false
17,2,1,-68.075906,-444.721229,-1.707894,450.000000,6.271892,16.018301,15.062001,110.762932,false
17,2,2,-68.075906,-444.721229,-1.707894,450.000000,6.271892,16.018301,15.062001,110.762932,false
18,2,1,384.748345,-328.922890,-0.414882,600.000000,0.967527,0.932491,-0.092005,0.948817,false
18,2,2,375.360573,-348.894627,-0.463927,600.000000,0.968277,0.933936,-0.092005,0.950262,false
19,1,1,10.999711,-449.865543,-1.546350,450.000000,6.272990,13.746794,-2.325308,113.034440,false
19,1,2,10.999711,-449.865543,-1.546350,450.000000,6.272990,13.746794,-2.325308,113.034440,false
20,5,1,-208.314157,396.531574,2.390158,600.000000,8.755662,92.760884,-33.819981,75.687016,false
20,5,2,-208.314157,396.531574,2.390158,600.000000,8.755662,92.760884,-33.819981,75.687016,false
21,18,1,300.500734,-453.029054,-2.167176,750.000000,3.732531,15.741623,15.135225,26.882216,false
21,18,2,285.129906,-468.721280,-2.216221,750.000000,3.750473,16.507551,15.615020,26.756391,false
22,18,1,796.601936,-510.242000,-0.414717,1050.000000,1.939467,5.493923,-0.985487,2.752186,false
22,18,2,799.013862,-197.178147,0.343886,1050.000000,4.460444,37.319454,3.530490,10.940610,false
23,22,1,872.304362,-380.746276,1.041782,1200.000000,1.270393,2.011467,-0.137938,1.304370,false
23,22,2,948.756918,-205.954091,-0.058540,1200.000000,1.273675,2.021465,-0.138524,1.311363,false
24,9,1,-179.644426,167.838138,4.142452,600.000000,9.175939,84.667808,-2.048740,83.780092,false
24,9,2,-179.644426,167.838138,4.142452,600.000000,9.175939,84.667808,-2.048740,83.780092,false
25,23,1,1022.202560,-386.271714,-0.036845,1350.000000,3.643166,22.395284,-2.771056,8.208968,false
25,23,2,1009.875959,-342.937531,-1.151125,1350.000000,3.698516,13.147643,-6.483562,17.429140,false
26,15,1,-27.581174,336.705537,1.830231,450.000000,7.888925,55.192042,-8.828488,71.589191,false
26,15,2,124.763892,-149.289952,-2.203915,450.000000,7.836257,61.348534,15.611689,65.438153,false
27,10,1,309.481401,-304.236112,-2.018750,1200.000000,0.846507,0.683355,-0.057639,0.756269,false
27,10,2,486.160385,-348.265923,-1.611309,1200.000000,0.844486,0.680037,-0.057481,0.752750,false
28,12,1,44.922593,282.416305,-4.135735,1200.000000,9.496834,90.897743,-12.582980,91.229360,false
28,12,2,915.822958,-20.889953,-0.922548,1200.000000,8.519637,106.520978,-40.652534,64.974019,false
29,18,1,501.401462,-234.625220,0.679818,750.000000,0.938204,0.886578,-0.012341,0.874095,false
29,18,2,486.194252,-247.820914,0.739373,750.000000,0.861090,0.743975,-0.019209,0.739480,false
30,10,1,212.499700,-241.129377,-2.276588,1200.000000,9.855255,89.366826,20.430877,110.229854,false
30,10,2,212.499700,-241.129377,-2.276588,1200.000000,9.855255,89.366826,20.430877,110.229854,false
31,29,1,951.015300,-215.986641,0.041431,1200.000000,5.810109,85.725218,1.092362,13.307090,false
31,29,2,127.936218,24.486232,2.491667,1200.000000,6.130131,71.183442,-42.237054,44.899663,false
32,11,1,815.780187,326.182995,1.501469,1350.000000,10.661740,114.522232,-39.358140,126.355777,false
32,11,2,815.780187,326.182995,1.501469,1350.000000,10.661740,114.522232,-39.358140,126.355777,false
33,11,1,1230.917024,-84.788114,-0.250826,1500.000000,10.174401,213.068867,-68.673107,72.427586,false
33,11,2,1230.917024,-84.788114,-0.250826,1500.000000,10.174401,213.068867,-68.673107,72.427586,false
34,9,1,21.797830,383.450506,0.637864,600.000000,9.127906,96.476396,-1.245381,71.971504,false
34,9,2,-179.644426,167.838138,4.142452,600.000000,9.170359,88.608767,-1.781451,79.847904,false
35,11,1,1133.784434,323.086201,0.718403,1500.000000,11.836050,170.043378,-2.723419,115.460000,false
35,11,2,883.348272,-414.338136,-1.373180,1500.000000,1.619947,3.360439,-0.433911,2.105338,false
36,12,1,-82.513865,-41.990416,-2.896069,1200.000000,8.546867,133.807928,33.605668,48.319174,false
36,12,2,816.283522,-70.436885,-1.295333,1200.000000,9.038474,87.148763,-26.014587,84.346234,false
37,8,1,575.574638,222.252175,-0.099838,750.000000,4.517028,45.028204,-5.838309,10.002407,false
37,8,2,571.112729,320.416689,0.461176,750.000000,1.248544,2.393293,-0.305187,1.054274,false
38,2,1,-422.064085,-363.137632,-2.641947,600.000000,8.254512,95.984698,48.090668,72.463202,false
38,2,2,422.924530,-147.536161,0.000000,600.000000,5.726563,39.036136,0.305501,27.551620,false
39,8,1,317.405398,134.065912,-2.383441,750.000000,5.237741,35.351653,12.739454,25.880387,false
39,8,2,342.171692,137.267755,-2.253308,750.000000,5.261337,33.902641,12.620332,27.300167,false
40,37,1,588.903175,371.658835,1.481822,900.000000,1.031938,1.502079,-0.212298,0.784963,false
40,37,2,654.103832,195.466792,-0.984507,900.000000,1.034585,1.509047,-0.213078,0.789296,false
41,29,1,406.982479,-118.070273,2.251654,900.000000,3.493560,17.624828,-6.743334,11.031802,false
41,29,2,635.704460,-259.932788,-0.080834,900.000000,3.417961,21.671099,-3.768566,6.953129,false
42,11,1,940.304684,-10.326934,-0.250826,1200.000000,8.710753,142.175879,-52.643968,59.987239,false
42,11,2,940.304684,-10.326934,-0.250826,1200.000000,8.710753,142.175879,-52.643968,59.987239,false
43,36,1,-20.389643,-178.520929,-1.143775,1350.000000,10.256762,143.692253,21.039962,80.101517,false
43,36,2,950.893149,-4.253442,0.456961,1350.000000,10.255341,118.159506,-12.816175,95.002157,false
44,23,1,1142.097587,-20.591287,0.927869,1650.000000,6.584401,55.524574,24.696557,44.836342,false
44,23,2,1398.433285,-223.017625,-0.037928,1650.000000,6.445583,77.653636,6.857335,22.832858,false
45,36,1,-382.172371,-27.680292,-3.189311,1500.000000,10.224012,208.656240,30.429260,56.804196,false
45,36,2,1085.502777,61.930002,0.456961,1500.000000,11.204571,149.170250,0.382238,105.658081,false
46,23,1,1022.273835,-377.720159,0.020175,1350.000000,3.691341,23.607251,-0.201104,7.866582,false
46,23,2,930.359622,-57.086568,1.693755,1350.000000,3.766533,9.561060,-2.182221,21.548496,false
47,8,1,448.750405,-61.957386,-1.495964,900.000000,6.429778,22.299572,-8.800987,80.119114,false
47,8,2,414.350950,-45.493732,-1.645641,900.000000,6.429924,22.301062,-8.801005,80.120723,false
48,42,1,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
48,42,2,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
49,29,1,635.339681,-302.157090,-0.467003,900.000000,3.190224,19.644758,-6.584050,7.479439,false
49,29,2,633.352962,-276.877993,-0.194946,900.000000,3.190527,19.646223,-6.584057,7.480891,false
50,46,1,993.202215,-79.132080,1.667854,1650.000000,7.163747,32.563736,-6.630707,82.227492,false
50,46,2,1018.091576,229.798608,1.274019,1650.000000,6.578289,23.595798,16.461480,90.847092,false
51,13,1,1176.069313,74.804405,-0.751103,1650.000000,12.477404,179.593516,-47.598533,147.575629,false
51,13,2,1174.684690,84.764210,-0.724920,1650.000000,12.476473,179.881566,-47.570986,147.284539,false
52,50,1,848.984177,-120.377172,3.420148,1800.000000,8.799416,67.524623,2.174443,88.857804,false
52,50,2,869.087171,247.052224,3.026313,1800.000000,8.662061,60.654780,12.652792,95.454777,false
53,14,1,-93.740984,34.861088,4.412096,1200.000000,10.109138,82.349504,1.915259,126.866808,false
53,14,2,-93.740984,34.861088,4.412096,1200.000000,10.109138,82.349504,1.915259,126.866808,false
54,2,1,108.687032,-211.321295,-0.439221,300.000000,6.461741,37.912285,-6.792796,47.202282,false
54,2,2,108.687032,-211.321295,-0.439221,300.000000,6.461741,37.912285,-6.792796,47.202282,false
55,8,1,517.273950,117.923230,-0.919335,750.000000,4.820728,30.055367,-19.957222,31.221084,false
55,8,2,483.040603,110.977026,-1.257305,750.000000,4.963121,27.027761,-17.858257,34.249269,false
56,32,1,666.722860,309.392727,3.253763,1500.000000,2.436112,8.833058,-1.223407,4.156736,false
56,32,2,666.722860,309.392727,3.253763,1500.000000,2.436112,8.833058,-1.223407,4.156736,false
57,56,1,697.895370,758.311734,1.501469,1950.000000,5.394946,11.420915,4.205302,75.721727,false
57,56,2,697.895370,758.311734,1.501469,1950.000000,5.394946,11.420915,4.205302,75.721727,false
58,49,1,1066.791733,-430.020796,-0.288111,1350.000000,4.570063,51.115772,-12.732218,11.705049,false
58,49,2,467.925739,-695.367937,-1.947241,1350.000000,6.546093,34.149154,14.115471,59.605687,false
59,11,1,805.389350,176.543326,1.501469,1200.000000,9.552472,111.056007,-42.325870,91.107111,false
59,11,2,805.389350,176.543326,1.501469,1200.000000,9.552472,111.056007,-42.325870,91.107111,false
60,2,1,-472.045294,-214.632031,-2.991933,600.000000,8.652970,116.716618,20.779809,51.731282,false
60,2,2,-472.045294,-214.632031,-2.991933,600.000000,8.652970,116.716618,20.779809,51.731282,false
61,10,1,781.456280,455.952141,0.907508,1200.000000,4.500664,22.821550,13.725399,26.233594,false
61,10,2,945.792900,13.842834,-0.195741,1200.000000,8.807034,137.035214,-41.436766,56.431886,false
62,31,1,987.504726,-70.492580,1.325068,1350.000000,8.147214,91.864445,8.957539,48.834530,false
62,31,2,3.465465,-59.221782,3.733631,1350.000000,8.461243,98.302654,-26.801203,59.447117,false
63,59,1,506.623409,149.360380,3.232327,1500.000000,11.419952,184.441120,-35.885168,99.196408,false
63,59,2,506.623409,149.360380,3.232327,1500.000000,11.419952,184.441120,-35.885168,99.196408,false
64,12,1,224.570059,-118.206726,-1.463384,1050.000000,8.287428,67.288623,14.330567,73.155134,false
64,12,2,882.082435,246.077725,0.186579,1050.000000,6.812216,110.236441,-2.489395,19.591889,false
65,47,1,78.881030,-318.270954,-2.535591,1350.000000,9.766810,77.363913,38.515121,136.792159,false
65,47,2,123.640709,-388.986899,-2.273159,1350.000000,9.712512,74.492560,38.792105,139.658508,false
66,59,1,1241.307861,64.851555,-0.250826,1650.000000,11.810681,217.395488,-66.369579,109.767631,false
66,59,2,1241.307861,64.851555,-0.250826,1650.000000,11.810681,217.395488,-66.369579,109.767631,false
67,54,1,223.382635,223.816521,1.313074,750.000000,9.550681,60.979700,6.415199,137.118158,false
67,54,2,409.950020,-545.597545,-0.837297,750.000000,8.884027,81.219791,-43.332776,99.815991,false
68,42,1,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
68,42,2,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
69,49,1,882.395460,-131.970598,0.603209,1200.000000,6.325114,74.027557,16.565103,25.327976,false
69,49,2,906.076638,-151.890806,0.429728,1200.000000,6.324968,74.026007,16.565079,25.326496,false
70,43,1,274.059905,-121.079969,0.192660,1650.000000,11.647338,215.210594,33.313609,90.671947,false
70,43,2,1032.490913,-292.943249,-1.295333,1650.000000,11.997793,131.306926,-30.211362,164.755040,false
