ev,iter,si,parent,g,h,f,uncs,nodes,reason
pop,1,1,-1,0.0,,,0.911844,1,
push,1,2,1,150.0,750.0,900.0,3.683871,175,
push,1,3,1,150.0,900.0,1050.0,3.771867,127,
push,1,4,1,150.0,900.0,1050.0,3.739625,230,
pop,2,2,1,150.0,,,3.683871,175,
prune,2,0,2,300.0,,,5.106823,181,obstacle:1
push,2,5,2,300.0,750.0,1050.0,6.255637,133,
push,2,6,2,300.0,750.0,1050.0,6.248731,236,
pop,3,4,1,150.0,,,3.739625,230,
push,3,7,4,300.0,900.0,1200.0,5.145482,284,
push,3,8,4,300.0,750.0,1050.0,6.248731,235,
push,3,9,4,300.0,1200.0,1500.0,6.267584,279,
pop,4,3,1,150.0,,,3.771867,127,
push,4,10,3,300.0,900.0,1200.0,5.173955,73,
push,4,11,3,300.0,1200.0,1500.0,6.267584,66,
push,4,12,3,300.0,750.0,1050.0,6.255637,128,
pop,5,6,2,300.0,,,6.248731,236,
push,5,13,6,450.0,750.0,1200.0,4.0268,290,
push,5,14,6,450.0,600.0,1050.0,7.495371,241,
push,5,15,6,450.0,1050.0,1500.0,7.953513,285,
pop,6,8,4,300.0,,,6.248731,235,
prune,6,0,8,450.0,,,7.495371,241,dominated
prune,6,0,8,450.0,,,7.961546,186,obstacle:1
prune,6,0,8,450.0,,,4.0268,290,dominated
pop,7,5,2,300.0,,,6.255637,133,
push,7,16,5,450.0,750.0,1200.0,5.707253,79,
push,7,17,5,450.0,1050.0,1500.0,7.961449,72,
push,7,18,5,450.0,600.0,1050.0,7.112083,134,
pop,8,12,3,300.0,,,6.255637,128,
prune,8,0,12,450.0,,,7.112083,134,dominated
prune,8,0,12,450.0,,,5.707253,79,dominated
prune,8,0,12,450.0,,,7.961449,182,obstacle:1
pop,9,18,5,450.0,,,7.112083,134,
push,9,19,18,600.0,450.0,1050.0,7.218056,140,
push,9,20,18,600.0,600.0,1200.0,0.870705,85,
push,9,21,18,600.0,450.0,1050.0,8.698679,188,
pop,10,19,18,600.0,,,7.218056,140,
prune,10,0,19,750.0,,,8.186834,146,obstacle:1
push,10,22,19,750.0,450.0,1200.0,3.586548,91,
prune,10,0,19,750.0,,,8.761971,194,obstacle:1
pop,11,14,6,450.0,,,7.495371,241,
push,11,23,14,600.0,450.0,1050.0,8.451927,247,
push,11,24,14,600.0,450.0,1050.0,9.077205,192,
push,11,25,14,600.0,600.0,1200.0,4.311732,296,
pop,12,23,14,600.0,,,8.451927,247,
push,12,26,23,750.0,300.0,1050.0,9.262826,253,
push,12,27,23,750.0,300.0,1050.0,9.96958,198,
push,12,28,23,750.0,450.0,1200.0,4.503396,302,
pop,13,21,18,600.0,,,8.698679,188,
push,13,29,21,750.0,450.0,1200.0,9.791935,248,
push,13,30,21,750.0,300.0,1050.0,9.650806,193,
push,13,31,21,750.0,750.0,1500.0,9.818396,243,
pop,14,24,14,600.0,,,9.077205,192,
push,14,32,24,750.0,450.0,1200.0,8.677895,145,
push,14,33,24,750.0,750.0,1500.0,9.310403,138,
prune,14,0,24,750.0,,,9.971436,193,dominated
pop,15,26,23,750.0,,,9.262826,253,
push,15,34,26,900.0,150.0,1050.0,9.984056,259,
push,15,35,26,900.0,150.0,1050.0,10.735158,204,
push,15,36,26,900.0,450.0,1350.0,10.313407,308,
pop,16,30,21,750.0,,,9.650806,193,
push,16,37,30,900.0,150.0,1050.0,10.452456,199,
prune,16,0,30,900.0,,,10.75805,151,obstacle:1
push,16,38,30,900.0,300.0,1200.0,10.73692,254,
pop,17,27,23,750.0,,,9.96958,198,
prune,17,0,27,900.0,,,11.050297,151,obstacle:1
prune,17,0,27,900.0,,,9.166441,144,obstacle:1
prune,17,0,27,900.0,,,10.736478,199,dominated
pop,18,34,26,900.0,,,9.984056,259,
push,18,39,34,1050.0,900.0,1950.0,10.641495,265,
push,18,40,34,1050.0,0.0,1050.0,11.418864,210,
push,18,41,34,1050.0,900.0,1950.0,11.275753,314,
pop,19,37,30,900.0,,,10.452456,199,
push,19,42,37,1050.0,0.0,1050.0,11.159819,205,
push,19,43,37,1050.0,900.0,1950.0,11.547978,157,
push,19,44,37,1050.0,900.0,1950.0,11.535585,260,
pop,20,35,26,900.0,,,10.735158,204,
prune,20,0,35,1050.0,,,11.807484,157,dominated
prune,20,0,35,1050.0,,,11.80527,150,obstacle:1
prune,20,0,35,1050.0,,,11.418864,205,dominated
pop,21,42,37,1050.0,,,11.159819,205,
prune,21,42,37,1050.0,,,11.159819,205,escort_unmet
pop,22,40,34,1050.0,,,11.418864,210,
prune,22,40,34,1050.0,,,11.418864,210,escort_unmet
pop,23,20,18,600.0,,,0.870705,85,
push,23,45,20,750.0,600.0,1350.0,1.170187,37,
push,23,46,20,750.0,1200.0,1950.0,1.598663,30,
push,23,47,20,750.0,450.0,1200.0,2.537904,86,
pop,24,47,20,750.0,,,2.537904,86,
push,24,48,47,900.0,300.0,1200.0,2.689216,92,
push,24,49,47,900.0,600.0,1500.0,1.443075,43,
prune,24,0,47,900.0,,,4.89465,147,obstacle:1
pop,25,48,47,900.0,,,2.689216,92,
push,25,50,48,1050.0,300.0,1350.0,4.306128,98,
push,25,51,48,1050.0,600.0,1650.0,1.017373,49,
push,25,52,48,1050.0,150.0,1200.0,5.028477,153,
pop,26,22,19,750.0,,,3.586548,91,
prune,26,0,22,900.0,,,1.455332,43,dominated
push,26,53,22,900.0,1050.0,1950.0,1.227578,36,
prune,26,0,22,900.0,,,2.935658,92,dominated
pop,27,13,6,450.0,,,4.0268,290,
push,27,54,13,600.0,750.0,1350.0,0.901689,350,
push,27,55,13,600.0,600.0,1200.0,3.709138,295,
push,27,56,13,600.0,1350.0,1950.0,3.650682,345,
pop,28,55,13,600.0,,,3.709138,295,
push,28,57,55,750.0,450.0,1200.0,3.631277,301,
push,28,58,55,750.0,450.0,1200.0,5.821271,252,
push,28,59,55,750.0,600.0,1350.0,1.084355,356,
pop,29,57,55,750.0,,,3.631277,301,
push,29,60,57,900.0,300.0,1200.0,5.12712,307,
push,29,61,57,900.0,300.0,1200.0,5.732214,258,
push,29,62,57,900.0,600.0,1500.0,1.219264,362,
pop,30,25,14,600.0,,,4.311732,296,
prune,30,0,25,750.0,,,1.087247,356,dominated
prune,30,0,25,750.0,,,3.814113,301,dominated
push,30,63,25,750.0,1200.0,1950.0,0.904038,351,
pop,31,28,23,750.0,,,4.503396,302,
prune,31,0,28,900.0,,,1.226292,362,dominated
prune,31,0,28,900.0,,,5.860822,307,dominated
push,31,64,28,900.0,1050.0,1950.0,1.092751,357,
pop,32,52,48,1050.0,,,5.028477,153,
push,32,65,52,1200.0,0.0,1200.0,6.263696,206,
push,32,66,52,1200.0,900.0,2100.0,6.811928,158,
push,32,67,52,1200.0,750.0,1950.0,6.948424,201,
pop,33,60,57,900.0,,,5.12712,307,
push,33,68,60,1050.0,300.0,1350.0,6.254114,313,
push,33,69,60,1050.0,150.0,1200.0,7.216425,264,
push,33,70,60,1050.0,600.0,1650.0,7.229168,368,
pop,34,7,4,300.0,,,5.145482,284,
push,34,71,7,450.0,900.0,1350.0,3.498929,344,
push,34,72,7,450.0,750.0,1200.0,4.026314,289,
push,34,73,7,450.0,1500.0,1950.0,7.514106,339,
pop,35,72,7,450.0,,,4.026314,289,
push,35,74,72,600.0,600.0,1200.0,3.708967,295,
push,35,75,72,600.0,600.0,1200.0,6.01711,246,
push,35,76,72,600.0,750.0,1350.0,0.901689,350,
pop,36,74,72,600.0,,,3.708967,295,
push,36,77,74,750.0,450.0,1200.0,3.631213,301,
push,36,78,74,750.0,450.0,1200.0,5.821175,252,
push,36,79,74,750.0,600.0,1350.0,1.084355,356,
pop,37,77,74,750.0,,,3.631213,301,
push,37,80,77,900.0,300.0,1200.0,5.127063,307,
push,37,81,77,900.0,300.0,1200.0,5.732189,258,
push,37,82,77,900.0,600.0,1500.0,1.219263,362,
pop,38,80,77,900.0,,,5.127063,307,
push,38,83,80,1050.0,300.0,1350.0,6.254063,313,
push,38,84,80,1050.0,150.0,1200.0,7.2164,264,
push,38,85,80,1050.0,600.0,1650.0,7.229144,368,
pop,39,10,3,300.0,,,5.173955,73,
push,39,86,10,450.0,900.0,1350.0,6.257636,25,
push,39,87,10,450.0,1500.0,1950.0,7.52307,18,
push,39,88,10,450.0,750.0,1200.0,5.70738,74,
pop,40,16,5,450.0,,,5.707253,79,
push,40,89,16,600.0,750.0,1350.0,1.811273,31,
push,40,90,16,600.0,1350.0,1950.0,7.362134,24,
push,40,91,16,600.0,600.0,1200.0,0.868818,80,
pop,41,91,16,600.0,,,0.868818,80,
push,41,92,91,750.0,450.0,1200.0,2.537344,86,
push,41,93,91,750.0,600.0,1350.0,1.170169,37,
push,41,94,91,750.0,450.0,1200.0,3.572626,141,
pop,42,92,91,750.0,,,2.537344,86,
push,42,95,92,900.0,300.0,1200.0,2.689063,92,
push,42,96,92,900.0,600.0,1500.0,1.443071,43,
prune,42,0,92,900.0,,,4.894445,147,obstacle:1
pop,43,95,92,900.0,,,2.689063,92,
push,43,97,95,1050.0,300.0,1350.0,4.306009,98,
push,43,98,95,1050.0,600.0,1650.0,1.017373,49,
push,43,99,95,1050.0,150.0,1200.0,5.028415,153,
pop,44,94,91,750.0,,,3.572626,141,
prune,44,0,94,900.0,,,5.032625,194,obstacle:1
prune,44,0,94,900.0,,,6.061104,146,obstacle:1
push,44,100,94,900.0,600.0,1500.0,6.05909,189,
pop,45,99,95,1050.0,,,5.028415,153,
push,45,101,99,1200.0,0.0,1200.0,6.263644,206,
push,45,102,99,1200.0,900.0,2100.0,6.811874,158,
push,45,103,99,1200.0,750.0,1950.0,6.948394,201,
pop,46,88,10,450.0,,,5.70738,74,
prune,46,0,88,600.0,,,0.868818,80,dominated
prune,46,0,88,600.0,,,1.811276,31,dominated
push,46,104,88,600.0,600.0,1200.0,7.024238,135,
pop,47,81,77,900.0,,,5.732189,258,
push,47,105,81,1050.0,150.0,1200.0,6.923756,204,
push,47,106,81,1050.0,450.0,1500.0,7.512843,197,
push,47,107,81,1050.0,150.0,1200.0,7.247285,259,
pop,48,61,57,900.0,,,5.732214,258,
prune,48,0,61,1050.0,,,6.923776,204,dominated
prune,48,0,61,1050.0,,,7.512858,197,dominated
prune,48,0,61,1050.0,,,7.24731,259,dominated
pop,49,78,74,750.0,,,5.821175,252,
push,49,108,78,900.0,300.0,1200.0,7.013911,198,
push,49,109,78,900.0,600.0,1500.0,7.491455,191,
push,49,110,78,900.0,300.0,1200.0,7.318277,253,
pop,50,58,55,750.0,,,5.821271,252,
prune,50,0,58,900.0,,,7.013997,198,dominated
prune,50,0,58,900.0,,,7.491507,191,dominated
prune,50,0,58,900.0,,,7.318364,253,dominated
pop,51,75,72,600.0,,,6.01711,246,
push,51,111,75,750.0,450.0,1200.0,7.190789,192,
prune,51,0,75,750.0,,,7.566494,185,obstacle:1
push,51,112,75,750.0,450.0,1200.0,7.514954,247,
pop,52,101,99,1200.0,,,6.263644,206,
prune,52,101,99,1200.0,,,6.263644,206,escort_unmet
pop,53,65,52,1200.0,,,6.263696,206,
prune,53,65,52,1200.0,,,6.263696,206,escort_unmet
pop,54,105,81,1050.0,,,6.923756,204,
push,54,113,105,1200.0,900.0,2100.0,7.861954,157,
prune,54,0,105,1200.0,,,8.626052,150,obstacle:1
push,54,114,105,1200.0,0.0,1200.0,8.460191,205,
pop,55,108,78,900.0,,,7.013911,198,
prune,55,0,108,1050.0,,,7.950329,151,obstacle:1
prune,55,0,108,1050.0,,,7.646139,144,obstacle:1
push,55,115,108,1050.0,150.0,1200.0,8.527132,199,
pop,56,104,88,600.0,,,7.024238,135,
push,56,116,104,750.0,450.0,1200.0,8.180295,188,
push,56,117,104,750.0,450.0,1200.0,7.463002,140,
