step,combo,primary_unc,helper_unc,admissible,reason,chosen
2,175,3.683870856897875,3.683870856897875,true,,false
2,127,3.480511112522789,3.550477998191701,true,,false
2,230,3.474478963668481,3.5189450923588192,true,,true
3,284,5.117816319175599,5.116213436626018,true,,true
3,235,5.418886030916558,5.418878234237899,true,,false
3,279,5.52757819531095,5.731946309084643,true,,false
4,344,6.955333045872851,3.5804064871615906,true,,true
4,289,7.134002532647561,3.9922760544227818,true,,false
4,339,7.134002532647561,7.247252189412639,true,,false
5,349,1.2771946780700534,0.9022561151667817,true,,true
6,355,3.8171413940135346,1.0540720205556289,true,,false
6,300,3.6309604702006055,2.806247318386968,true,,true
7,252,5.111951044940398,4.709808604863923,true,,false
7,245,5.170625953258624,5.02773114477416,true,,false
7,301,3.7446960622563514,3.516195800156068,true,,true
8,307,5.749532323258001,5.065022435313978,true,,true
8,258,5.759128706969927,5.577471838708452,true,,false
8,362,5.759128706969927,1.2183250796516076,true,,false
