ev,iter,si,parent,g,h,f,uncs,nodes,reason
pop,1,1,-1,0.0,,,0.911844,1,
push,1,2,1,150.0,750.0,900.0,2.2827,175,
push,1,3,1,150.0,900.0,1050.0,2.400966,127,
push,1,4,1,150.0,900.0,1050.0,2.358725,230,
pop,2,2,1,150.0,,,2.2827,175,
prune,2,0,2,300.0,,,1.290741,181,obstacle:1
push,2,5,2,300.0,750.0,1050.0,0.971937,133,
push,2,6,2,300.0,750.0,1050.0,0.971937,236,
pop,3,5,2,300.0,,,0.971937,133,
push,3,7,5,450.0,750.0,1200.0,3.400223,79,
push,3,8,5,450.0,1050.0,1500.0,2.447466,72,
push,3,9,5,450.0,600.0,1050.0,3.63291,134,
pop,4,6,2,300.0,,,0.971937,236,
push,4,10,6,450.0,750.0,1200.0,2.83441,290,
push,4,11,6,450.0,600.0,1050.0,3.699552,241,
push,4,12,6,450.0,1050.0,1500.0,2.497524,285,
pop,5,4,1,150.0,,,2.358725,230,
push,5,13,4,300.0,900.0,1200.0,1.290741,284,
push,5,14,4,300.0,750.0,1050.0,0.971937,235,
push,5,15,4,300.0,1200.0,1500.0,0.971937,279,
pop,6,14,4,300.0,,,0.971937,235,
prune,6,0,14,450.0,,,3.699552,241,dominated
prune,6,0,14,450.0,,,2.497904,186,obstacle:1
prune,6,0,14,450.0,,,2.83441,290,dominated
pop,7,3,1,150.0,,,2.400966,127,
push,7,16,3,300.0,900.0,1200.0,1.290741,73,
push,7,17,3,300.0,1200.0,1500.0,0.971937,66,
push,7,18,3,300.0,750.0,1050.0,0.971937,128,
pop,8,18,3,300.0,,,0.971937,128,
prune,8,0,18,450.0,,,3.63291,134,dominated
prune,8,0,18,450.0,,,3.400223,79,dominated
prune,8,0,18,450.0,,,2.447466,182,obstacle:1
pop,9,9,5,450.0,,,3.63291,134,
push,9,19,9,600.0,450.0,1050.0,4.754799,140,
push,9,20,9,600.0,600.0,1200.0,0.866284,85,
push,9,21,9,600.0,450.0,1050.0,6.0745,188,
pop,10,11,6,450.0,,,3.699552,241,
push,10,22,11,600.0,450.0,1050.0,5.123567,247,
push,10,23,11,600.0,450.0,1050.0,6.178101,192,
push,10,24,11,600.0,600.0,1200.0,3.846546,296,
pop,11,19,9,600.0,,,4.754799,140,
prune,11,0,19,750.0,,,5.934643,146,obstacle:1
push,11,25,19,750.0,450.0,1200.0,3.429904,91,
prune,11,0,19,750.0,,,7.015367,194,obstacle:1
pop,12,22,11,600.0,,,5.123567,247,
push,12,26,22,750.0,300.0,1050.0,6.226539,253,
push,12,27,22,750.0,300.0,1050.0,7.464041,198,
push,12,28,22,750.0,450.0,1200.0,4.186163,302,
pop,13,21,9,600.0,,,6.0745,188,
push,13,29,21,750.0,450.0,1200.0,7.312342,248,
push,13,30,21,750.0,300.0,1050.0,7.399898,193,
push,13,31,21,750.0,750.0,1500.0,7.797835,243,
pop,14,23,11,600.0,,,6.178101,192,
push,14,32,23,750.0,450.0,1200.0,6.741804,145,
push,14,33,23,750.0,750.0,1500.0,7.463156,138,
push,14,34,23,750.0,300.0,1050.0,7.464604,193,
pop,15,26,22,750.0,,,6.226539,253,
push,15,35,26,900.0,150.0,1050.0,7.161175,259,
push,15,36,26,900.0,150.0,1050.0,8.435261,204,
push,15,37,26,900.0,450.0,1350.0,8.300556,308,
pop,16,35,26,900.0,,,7.161175,259,
push,16,38,35,1050.0,900.0,1950.0,7.986871,265,
push,16,39,35,1050.0,0.0,1050.0,9.254584,210,
push,16,40,35,1050.0,900.0,1950.0,9.248495,314,
pop,17,30,21,750.0,,,7.399898,193,
push,17,41,30,900.0,150.0,1050.0,8.386976,199,
prune,17,0,30,900.0,,,8.971263,151,obstacle:1
push,17,42,30,900.0,300.0,1200.0,8.666443,254,
pop,18,27,22,750.0,,,7.464041,198,
prune,18,0,27,900.0,,,8.733161,151,obstacle:1
prune,18,0,27,900.0,,,7.918991,144,obstacle:1
push,18,43,27,900.0,150.0,1050.0,8.435778,199,
pop,19,34,23,750.0,,,7.464604,193,
prune,19,0,34,900.0,,,8.436219,199,dominated
prune,19,0,34,900.0,,,8.733762,151,obstacle:1
push,19,44,34,900.0,300.0,1200.0,9.028031,254,
pop,20,41,30,900.0,,,8.386976,199,
push,20,45,41,1050.0,0.0,1050.0,9.214699,205,
push,20,46,41,1050.0,900.0,1950.0,9.888807,157,
push,20,47,41,1050.0,900.0,1950.0,9.668769,260,
pop,21,36,26,900.0,,,8.435261,204,
push,21,48,36,1050.0,900.0,1950.0,9.71595,157,
prune,21,0,36,1050.0,,,9.928879,150,obstacle:1
push,21,49,36,1050.0,0.0,1050.0,9.254584,205,
pop,22,43,27,900.0,,,8.435778,199,
prune,22,0,43,1050.0,,,9.25502,205,dominated
prune,22,0,43,1050.0,,,9.716502,157,dominated
push,22,50,43,1050.0,900.0,1950.0,9.937187,260,
pop,23,45,41,1050.0,,,9.214699,205,
prune,23,45,41,1050.0,,,9.214699,205,goal_spline
pop,24,49,36,1050.0,,,9.254584,205,
goal,24,49,36,1050.0,,,9.254584,205,
